County,Tabulator ID,Batch,# of Ballot Cards,Location,Date,,,,
Mesa,1,40,100,Storage,6/12/2018,,,,
Mesa,1,41,100,Storage,6/12/2018,,,,
Mesa,1,42,100,Storage,6/12/2018,,,,
Mesa,1,43,96,Storage,6/12/2018,,,,
Mesa,1,44,95,Storage,6/12/2018,,,,
Mesa,1,45,15,Storage,6/12/2018,,,,
Mesa,1,46,95,Storage,6/12/2018,,,,
Mesa,1,47,70,Storage,6/12/2018,,,,
Mesa,1,48,15,Storage,6/13/2018,,,,
Mesa,1,49,32,Storage,6/13/2018,,,,
Mesa,1,50,38,Storage,6/13/2018,,,,
Mesa,1,51,100,Storage,6/13/2018,,,,
Mesa,1,52,100,Storage,6/13/2018,,,,
Mesa,1,53,96,Storage,6/13/2018,,,,
Mesa,1,54,96,Storage,6/13/2018,,,,
Mesa,1,55,100,Storage,6/13/2018,,,,
Mesa,1,56,100,Storage,6/15/2018,,,,
Mesa,1,57,100,Storage,6/15/2018,,,,
Mesa,1,58,6,Storage,6/15/2018,,,,
Mesa,1,59,6,Storage,6/15/2018,,,,
Mesa,1,60,9,Storage,6/15/2018,,,,
Mesa,1,61,8,Storage,6/15/2018,,,,
Mesa,1,62,9,Storage,6/15/2018,,,,
Mesa,1,63,13,Storage,6/15/2018,,,,
Mesa,1,64,18,Storage,6/15/2018,,,,
Mesa,1,65,100,Storage,6/15/2018,,,,
Mesa,1,66,100,Storage,6/20/2018,,,,
Mesa,1,67,100,Storage,6/20/2018,,,,
Mesa,1,68,7,Storage,6/20/2018,,,,
Mesa,1,69,18,Storage,6/20/2018,,,,
Mesa,1,70,24,Storage,6/20/2018,,,,
Mesa,1,71,21,Storage,6/20/2018,,,,
Mesa,1,72,14,Storage,6/20/2018,,,,
Mesa,1,73,23,Storage,6/20/2018,,,,
Mesa,1,74,100,Storage,6/20/2018,,,,
Mesa,1,75,100,Storage,6/20/2018,,,,
Mesa,1,76,100,Storage,6/20/2018,,,,
Mesa,1,77,99,Storage,6/20/2018,,,,
Mesa,1,78,99,Storage,6/20/2018,,,,
Mesa,1,79,77,Storage,6/20/2018,,,,
Mesa,1,80,98,Storage,6/20/2018,,,,
Mesa,1,81,94,Storage,6/20/2018,,,,
Mesa,1,82,100,Storage,6/20/2018,,,,
Mesa,1,83,100,Storage,6/20/2018,,,,
Mesa,1,84,99,Storage,6/20/2018,,,,
Mesa,1,85,9,Storage,6/20/2018,,,,
Mesa,1,86,9,Storage,6/20/2018,,,,
Mesa,1,87,58,Storage,6/20/2018,,,,
Mesa,1,88,100,Storage,6/20/2018,,,,
Mesa,1,89,100,Storage,6/20/2018,,,,
Mesa,1,90,7,Storage,6/26/2018,,,,
Mesa,1,91,100,Storage,6/26/2018,,,,
Mesa,1,92,81,Storage,6/26/2018,,,,
Mesa,1,93,18,Storage,6/26/2018,,,,
Mesa,1,94,100,Storage,6/26/2018,,,,
Mesa,1,95,100,Storage,6/26/2018,,,,
Mesa,1,96,100,Storage,6/26/2018,,,,
Mesa,1,97,99,Storage,6/26/2018,,,,
Mesa,1,98,99,Storage,6/26/2018,,,,
Mesa,1,99,100,Storage,6/26/2018,,,,
Mesa,1,100,100,Storage,6/26/2018,,,,
Mesa,1,101,97,Storage,6/26/2018,,,,
Mesa,1,102,99,Storage,6/26/2018,,,,
Mesa,1,103,15,Storage,6/26/2018,,,,
Mesa,1,104,48,Storage,6/26/2018,,,,
Mesa,1,105,100,Storage,6/26/2018,,,,
Mesa,1,106,43,Storage,6/26/2018,,,,
Mesa,1,107,100,Storage,6/26/2018,,,,
Mesa,1,108,26,Storage,6/26/2018,,,,
Mesa,1,109,100,Storage,6/26/2018,,,,
Mesa,1,110,100,Storage,6/26/2018,,,,
Mesa,1,111,102,Storage,6/26/2018,,,,
Mesa,1,112,100,Storage,6/26/2018,,,,
Mesa,1,113,100,Storage,6/26/2018,,,,
Mesa,1,114,100,Storage,6/26/2018,,,,
Mesa,1,115,97,Storage,6/26/2018,,,,
Mesa,1,116,100,Storage,6/26/2018,,,,
Mesa,1,117,100,Storage,6/26/2018,,,,
Mesa,1,118,100,Storage,6/26/2018,,,,
Mesa,1,119,98,Storage,6/26/2018,,,,
Mesa,1,120,98,Storage,6/26/2018,,,,
Mesa,1,121,100,Storage,6/26/2018,,,,
Mesa,1,122,100,Storage,6/26/2018,,,,
Mesa,1,123,14,Storage,6/26/2018,,,,
Mesa,1,124,100,Storage,6/26/2018,,,,
Mesa,1,125,82,Storage,6/26/2018,,,,
Mesa,1,126,97,Storage,6/26/2018,,,,
Mesa,1,127,97,Storage,6/26/2018,,,,
Mesa,1,128,6,Storage,6/26/2018,,,,
Mesa,1,129,99,Storage,6/26/2018,,,,
Mesa,1,130,100,Storage,6/26/2018,,,,
Mesa,1,131,100,Storage,6/26/2018,,,,
Mesa,1,132,78,Storage,6/26/2018,,,,
Mesa,1,133,100,Storage,6/26/2018,,,,
Mesa,1,134,42,Storage,6/26/2018,,,,
Mesa,1,135,100,Storage,6/26/2018,,,,
Mesa,2,1,100,Storage,6/12/2018,,,,
Mesa,2,2,100,Storage,6/12/2018,,,,
Mesa,2,3,100,Storage,6/12/2018,,,,
Mesa,2,4,100,Storage,6/12/2018,,,,
Mesa,2,5,84,Storage,6/12/2018,,,,
Mesa,2,6,116,Storage,6/12/2018,,,,
Mesa,2,7,27,Storage,6/12/2018,,,,
Mesa,2,8,55,Storage,6/12/2018,,,,
Mesa,2,9,28,Storage,6/12/2018,,,,
Mesa,2,10,37,Storage,6/12/2018,,,,
Mesa,2,11,23,Storage,6/12/2018,,,,
Mesa,2,12,40,Storage,6/12/2018,,,,
Mesa,2,13,100,Storage,6/12/2018,,,,
Mesa,2,14,100,Storage,6/12/2018,,,,
Mesa,2,15,100,Storage,6/12/2018,,,,
Mesa,2,16,99,Storage,6/12/2018,,,,
Mesa,2,17,98,Storage,6/12/2018,,,,
Mesa,2,18,85,Storage,6/12/2018,,,,
Mesa,2,19,98,Storage,6/12/2018,,,,
Mesa,2,20,100,Storage,6/12/2018,,,,
Mesa,2,21,96,Storage,6/12/2018,,,,
Mesa,2,22,96,Storage,6/12/2018,,,,
Mesa,2,23,20,Storage,6/12/2018,,,,
Mesa,2,24,14,Storage,6/14/2018,,,,
Mesa,2,25,20,Storage,6/14/2018,,,,
Mesa,2,26,16,Storage,6/14/2018,,,,
Mesa,2,27,15,Storage,6/14/2018,,,,
Mesa,2,28,15,Storage,6/14/2018,,,,
Mesa,2,29,12,Storage,6/14/2018,,,,
Mesa,2,30,13,Storage,6/14/2018,,,,
Mesa,2,31,9,Storage,6/14/2018,,,,
Mesa,2,32,38,Storage,6/14/2018,,,,
Mesa,2,33,100,Storage,6/14/2018,,,,
Mesa,2,34,100,Storage,6/14/2018,,,,
Mesa,2,35,100,Storage,6/14/2018,,,,
Mesa,2,36,100,Storage,6/14/2018,,,,
Mesa,2,37,100,Storage,6/14/2018,,,,
Mesa,2,38,99,Storage,6/14/2018,,,,
Mesa,2,39,98,Storage,6/14/2018,,,,
Mesa,2,40,100,Storage,6/14/2018,,,,
Mesa,2,41,97,Storage,6/14/2018,,,,
Mesa,2,42,47,Storage,6/14/2018,,,,
Mesa,2,43,15,Storage,6/14/2018,,,,
Mesa,2,44,15,Storage,6/14/2018,,,,
Mesa,2,45,47,Storage,6/14/2018,,,,
Mesa,2,46,96,Storage,6/14/2018,,,,
Mesa,2,47,96,Storage,6/14/2018,,,,
Mesa,2,48,100,Storage,6/14/2018,,,,
Mesa,2,49,19,Storage,6/14/2018,,,,
Mesa,2,50,99,Storage,6/14/2018,,,,
Mesa,2,51,100,Storage,6/18/2018,,,,
Mesa,2,52,100,Storage,6/18/2018,,,,
Mesa,2,53,99,Storage,6/18/2018,,,,
Mesa,2,54,100,Storage,6/18/2018,,,,
Mesa,2,55,97,Storage,6/18/2018,,,,
Mesa,2,56,99,Storage,6/18/2018,,,,
Mesa,2,57,52,Storage,6/19/2018,,,,
Mesa,2,58,100,Storage,6/19/2018,,,,
Mesa,2,59,99,Storage,6/19/2018,,,,
Mesa,2,60,99,Storage,6/19/2018,,,,
Mesa,2,61,100,Storage,6/19/2018,,,,
Mesa,2,62,17,Storage,6/19/2018,,,,
Mesa,2,63,26,Storage,6/19/2018,,,,
Mesa,2,64,7,Storage,6/19/2018,,,,
Mesa,2,65,6,Storage,6/19/2018,,,,
Mesa,2,66,9,Storage,6/19/2018,,,,
Mesa,2,67,11,Storage,6/19/2018,,,,
Mesa,2,68,100,Storage,6/19/2018,,,,
Mesa,2,69,98,Storage,6/19/2018,,,,
Mesa,2,70,96,Storage,6/19/2018,,,,
Mesa,2,71,99,Storage,6/19/2018,,,,
Mesa,2,72,99,Storage,6/19/2018,,,,
Mesa,2,73,100,Storage,6/19/2018,,,,
Mesa,2,74,100,Storage,6/19/2018,,,,
Mesa,2,75,100,Storage,6/19/2018,,,,
Mesa,2,76,100,Storage,6/19/2018,,,,
Mesa,2,77,18,Storage,6/19/2018,,,,
Mesa,2,78,71,Storage,6/19/2018,,,,
Mesa,2,79,93,Storage,6/19/2018,,,,
Mesa,2,80,70,Storage,6/19/2018,,,,
Mesa,2,81,78,Storage,6/19/2018,,,,
Mesa,2,82,99,Storage,6/19/2018,,,,
Mesa,2,83,100,Storage,6/19/2018,,,,
Mesa,2,84,50,Storage,6/20/2018,,,,
Mesa,2,85,20,Storage,6/21/2018,,,,
Mesa,2,86,9,Storage,6/21/2018,,,,
Mesa,2,87,30,Storage,6/21/2018,,,,
Mesa,2,88,69,Storage,6/21/2018,,,,
Mesa,2,89,30,Storage,6/21/2018,,,,
Mesa,2,90,39,Storage,6/21/2018,,,,
Mesa,2,91,100,Storage,6/21/2018,,,,
Mesa,2,92,36,Storage,6/21/2018,,,,
Mesa,2,93,16,Storage,6/21/2018,,,,
Mesa,2,94,100,Storage,6/21/2018,,,,
Mesa,2,95,99,Storage,6/21/2018,,,,
Mesa,2,96,92,Storage,6/21/2018,,,,
Mesa,2,97,100,Storage,6/21/2018,,,,
Mesa,2,98,100,Storage,6/21/2018,,,,
Mesa,2,99,100,Storage,6/21/2018,,,,
Mesa,2,100,8,Storage,6/21/2018,,,,
Mesa,2,101,10,Storage,6/21/2018,,,,
Mesa,2,102,1,Storage,6/21/2018,,,,
Mesa,2,103,3,Storage,6/21/2018,,,,
Mesa,2,104,12,Storage,6/21/2018,,,,
Mesa,2,105,7,Storage,6/21/2018,,,,
Mesa,2,106,17,Storage,6/21/2018,,,,
Mesa,2,107,13,Storage,6/21/2018,,,,
Mesa,2,108,100,Storage,6/21/2018,,,,
Mesa,2,109,100,Storage,6/21/2018,,,,
Mesa,2,110,100,Storage,6/21/2018,,,,
Mesa,2,111,100,Storage,6/21/2018,,,,
Mesa,2,112,39,Storage,6/21/2018,,,,
Mesa,2,113,100,Storage,6/22/2018,,,,
Mesa,2,114,97,Storage,6/22/2018,,,,
Mesa,2,115,100,Storage,6/22/2018,,,,
Mesa,2,116,100,Storage,6/22/2018,,,,
Mesa,2,117,100,Storage,6/22/2018,,,,
Mesa,2,118,80,Storage,6/22/2018,,,,
Mesa,2,119,100,Storage,6/22/2018,,,,
Mesa,2,120,49,Storage,6/22/2018,,,,
Mesa,2,121,100,Storage,6/22/2018,,,,
Mesa,2,122,100,Storage,6/22/2018,,,,
Mesa,2,123,18,Storage,6/22/2018,,,,
Mesa,2,124,30,Storage,6/22/2018,,,,
Mesa,2,125,19,Storage,6/22/2018,,,,
Mesa,2,126,100,Storage,6/25/2018,,,,
Mesa,2,127,98,Storage,6/25/2018,,,,
Mesa,2,128,100,Storage,6/25/2018,,,,
Mesa,2,129,95,Storage,6/25/2018,,,,
Mesa,2,130,100,Storage,6/25/2018,,,,
Mesa,2,131,100,Storage,6/25/2018,,,,
Mesa,2,132,100,Storage,6/25/2018,,,,
Mesa,2,133,100,Storage,6/25/2018,,,,
Mesa,2,134,100,Storage,6/25/2018,,,,
Mesa,2,135,10,Storage,6/25/2018,,,,
Mesa,2,136,10,Storage,6/25/2018,,,,
Mesa,2,137,56,Storage,6/25/2018,,,,
Mesa,2,138,86,Storage,6/25/2018,,,,
Mesa,2,139,84,Storage,6/25/2018,,,,
Mesa,2,140,99,Storage,6/26/2018,,,,
Mesa,2,141,100,Storage,6/26/2018,,,,
Mesa,2,142,100,Storage,6/26/2018,,,,
Mesa,2,143,71,Storage,6/26/2018,,,,
Mesa,2,144,14,Storage,6/26/2018,,,,
Mesa,2,145,100,Storage,6/26/2018,,,,
Mesa,2,146,68,Storage,6/26/2018,,,,
Mesa,2,147,100,Storage,6/26/2018,,,,
Mesa,2,148,100,Storage,6/26/2018,,,,
Mesa,2,149,99,Storage,6/26/2018,,,,
Mesa,2,150,48,Storage,6/26/2018,,,,
Mesa,2,151,54,Storage,6/26/2018,,,,
Mesa,2,152,82,Storage,6/26/2018,,,,
Mesa,2,153,100,Storage,6/26/2018,,,,
Mesa,2,154,100,Storage,6/26/2018,,,,
Mesa,2,155,100,Storage,6/26/2018,,,,
Mesa,2,156,99,Storage,6/26/2018,,,,
Mesa,2,157,100,Storage,6/26/2018,,,,
Mesa,2,158,100,Storage,6/26/2018,,,,
Mesa,2,159,54,Storage,6/26/2018,,,,
Mesa,2,160,94,Storage,6/28/2018,,,,
Mesa,2,161,93,Storage,6/28/2018,,,,
Mesa,2,162,17,Storage,6/28/2018,,,,
Mesa,2,163,9,Storage,6/28/2018,,,,
Mesa,2,164,8,Storage,6/28/2018,,,,
Mesa,2,165,9,Storage,6/28/2018,,,,
Mesa,2,166,34,Storage,6/28/2018,,,,
Mesa,2,168,33,Storage,6/28/2018,,,,
Mesa,3,1,26,Storage,6/12/2018,,,,
Mesa,3,2,100,Storage,6/12/2018,,,,
Mesa,3,3,75,Storage,6/12/2018,,,,
Mesa,3,4,100,Storage,6/12/2018,,,,
Mesa,3,5,49,Storage,6/12/2018,,,,
Mesa,3,6,100,Storage,6/12/2018,,,,
Mesa,3,7,100,Storage,6/12/2018,,,,
Mesa,3,8,100,Storage,6/12/2018,,,,
Mesa,3,9,100,Storage,6/12/2018,,,,
Mesa,3,10,100,Storage,6/12/2018,,,,
Mesa,3,11,73,Storage,6/12/2018,,,,
Mesa,3,12,24,Storage,6/12/2018,,,,
Mesa,3,13,47,Storage,6/12/2018,,,,
Mesa,3,14,99,Storage,6/12/2018,,,,
Mesa,3,15,8,Storage,6/12/2018,,,,
Mesa,3,16,100,Storage,6/12/2018,,,,
Mesa,3,17,100,Storage,6/12/2018,,,,
Mesa,3,18,100,Storage,6/12/2018,,,,
Mesa,3,19,99,Storage,6/12/2018,,,,
Mesa,3,20,100,Storage,6/12/2018,,,,
Mesa,3,21,71,Storage,6/12/2018,,,,
Mesa,3,22,100,Storage,6/12/2018,,,,
Mesa,3,23,96,Storage,6/12/2018,,,,
Mesa,3,24,99,Storage,6/12/2018,,,,
Mesa,3,25,95,Storage,6/12/2018,,,,
Mesa,3,26,27,Storage,6/12/2018,,,,
Mesa,3,27,98,Storage,6/12/2018,,,,
Mesa,3,28,46,Storage,6/12/2018,,,,
Mesa,3,29,96,Storage,6/12/2018,,,,
Mesa,3,30,100,Storage,6/13/2018,,,,
Mesa,3,31,99,Storage,6/13/2018,,,,
Mesa,3,32,100,Storage,6/13/2018,,,,
Mesa,3,33,100,Storage,6/13/2018,,,,
Mesa,3,34,100,Storage,6/13/2018,,,,
Mesa,3,35,100,Storage,6/13/2018,,,,
Mesa,3,36,96,Storage,6/13/2018,,,,
Mesa,3,37,98,Storage,6/13/2018,,,,
Mesa,3,38,14,Storage,6/13/2018,,,,
Mesa,3,39,11,Storage,6/13/2018,,,,
Mesa,3,40,10,Storage,6/13/2018,,,,
Mesa,3,41,51,Storage,6/13/2018,,,,
Mesa,3,42,21,Storage,6/13/2018,,,,
Mesa,3,43,100,Storage,6/13/2018,,,,
Mesa,3,44,100,Storage,6/15/2018,,,,
Mesa,3,45,99,Storage,6/15/2018,,,,
Mesa,3,46,100,Storage,6/15/2018,,,,
Mesa,3,47,100,Storage,6/15/2018,,,,
Mesa,3,48,95,Storage,6/15/2018,,,,
Mesa,3,49,100,Storage,6/15/2018,,,,
Mesa,3,50,7,Storage,6/15/2018,,,,
Mesa,3,51,33,Storage,6/15/2018,,,,
Mesa,3,52,98,Storage,6/15/2018,,,,
Mesa,3,53,99,Storage,6/15/2018,,,,
Mesa,3,54,77,Storage,6/15/2018,,,,
Mesa,3,55,10,Storage,6/15/2018,,,,
Mesa,3,56,48,Storage,6/15/2018,,,,
Mesa,3,57,100,Storage,6/18/2018,,,,
Mesa,3,58,22,Storage,6/18/2018,,,,
Mesa,3,59,8,Storage,6/18/2018,,,,
Mesa,3,60,99,Storage,6/18/2018,,,,
Mesa,3,61,99,Storage,6/18/2018,,,,
Mesa,3,62,100,Storage,6/18/2018,,,,
Mesa,3,63,100,Storage,6/18/2018,,,,
Mesa,3,64,99,Storage,6/18/2018,,,,
Mesa,3,65,98,Storage,6/18/2018,,,,
Mesa,3,66,10,Storage,6/18/2018,,,,
Mesa,3,67,28,Storage,6/18/2018,,,,
Mesa,3,68,100,Storage,6/18/2018,,,,
Mesa,3,69,100,Storage,6/18/2018,,,,
Mesa,3,70,95,Storage,6/18/2018,,,,
Mesa,3,71,29,Storage,6/18/2018,,,,
Mesa,3,72,83,Storage,6/18/2018,,,,
Mesa,3,73,90,Storage,6/18/2018,,,,
Mesa,3,74,100,Storage,6/18/2018,,,,
Mesa,3,75,100,Storage,6/18/2018,,,,
Mesa,3,76,100,Storage,6/18/2018,,,,
Mesa,3,77,98,Storage,6/22/2018,,,,
Mesa,3,78,14,Storage,6/22/2018,,,,
Mesa,3,79,17,Storage,6/22/2018,,,,
Mesa,3,80,6,Storage,6/22/2018,,,,
Mesa,3,81,2,Storage,6/22/2018,,,,
Mesa,3,82,6,Storage,6/22/2018,,,,
Mesa,3,83,25,Storage,6/22/2018,,,,
Mesa,3,84,100,Storage,6/22/2018,,,,
Mesa,3,85,100,Storage,6/22/2018,,,,
Mesa,3,86,100,Storage,6/22/2018,,,,
Mesa,3,87,37,Storage,6/23/2018,,,,
Mesa,3,88,17,Storage,6/23/2018,,,,
Mesa,3,89,9,Storage,6/23/2018,,,,
Mesa,3,90,14,Storage,6/23/2018,,,,
Mesa,3,91,13,Storage,6/23/2018,,,,
Mesa,3,92,42,Storage,6/23/2018,,,,
Mesa,3,93,9,Storage,6/23/2018,,,,
Mesa,3,94,11,Storage,6/23/2018,,,,
Mesa,3,95,11,Storage,6/23/2018,,,,
Mesa,3,96,9,Storage,6/23/2018,,,,
Mesa,3,97,16,Storage,6/23/2018,,,,
Mesa,3,98,100,Storage,6/23/2018,,,,
Mesa,3,99,29,Storage,6/23/2018,,,,
Mesa,3,100,100,Storage,6/23/2018,,,,
Mesa,3,101,16,Storage,6/23/2018,,,,
Mesa,3,102,10,Storage,6/23/2018,,,,
Mesa,3,103,98,Storage,6/23/2018,,,,
Mesa,3,104,64,Storage,6/23/2018,,,,
Mesa,3,105,100,Storage,6/23/2018,,,,
Mesa,3,106,46,Storage,6/23/2018,,,,
Mesa,3,107,100,Storage,6/23/2018,,,,
Mesa,3,108,100,Storage,6/23/2018,,,,
Mesa,3,109,100,Storage,6/23/2018,,,,
Mesa,3,110,100,Storage,6/23/2018,,,,
Mesa,3,111,98,Storage,6/23/2018,,,,
Mesa,3,112,97,Storage,6/25/2018,,,,
Mesa,3,113,100,Storage,6/25/2018,,,,
Mesa,3,114,99,Storage,6/25/2018,,,,
Mesa,3,115,100,Storage,6/25/2018,,,,
Mesa,3,116,100,Storage,6/25/2018,,,,
Mesa,3,117,100,Storage,6/25/2018,,,,
Mesa,3,118,100,Storage,6/25/2018,,,,
Mesa,3,119,100,Storage,6/25/2018,,,,
Mesa,3,120,100,Storage,6/25/2018,,,,
Mesa,3,121,100,Storage,6/25/2018,,,,
Mesa,3,122,100,Storage,6/25/2018,,,,
Mesa,3,123,97,Storage,6/25/2018,,,,
Mesa,3,124,70,Storage,6/25/2018,,,,
Mesa,3,125,6,Storage,6/25/2018,,,,
Mesa,3,126,11,Storage,6/25/2018,,,,
Mesa,3,127,6,Storage,6/25/2018,,,,
Mesa,3,128,11,Storage,6/25/2018,,,,
Mesa,3,129,7,Storage,6/25/2018,,,,
Mesa,3,130,14,Storage,6/25/2018,,,,
Mesa,3,131,10,Storage,6/25/2018,,,,
Mesa,3,132,24,Storage,6/25/2018,,,,
Mesa,3,133,100,Storage,6/25/2018,,,,
Mesa,3,134,83,Storage,6/25/2018,,,,
Mesa,3,135,100,Storage,6/25/2018,,,,
Mesa,3,136,100,Storage,6/25/2018,,,,
Mesa,3,137,96,Storage,6/25/2018,,,,
Mesa,3,138,100,Storage,6/25/2018,,,,
Mesa,3,139,99,Storage,6/25/2018,,,,
Mesa,3,140,99,Storage,6/25/2018,,,,
Mesa,3,141,100,Storage,6/26/2018,,,,
Mesa,3,142,100,Storage,6/26/2018,,,,
Mesa,3,143,21,Storage,6/26/2018,,,,
Mesa,3,144,28,Storage,6/26/2018,,,,
Mesa,3,145,23,Storage,6/26/2018,,,,
Mesa,3,146,15,Storage,6/26/2018,,,,
Mesa,3,147,100,Storage,6/26/2018,,,,
Mesa,3,148,100,Storage,6/26/2018,,,,
Mesa,3,149,100,Storage,6/26/2018,,,,
Mesa,3,150,17,Storage,6/26/2018,,,,
Mesa,3,151,7,Storage,6/26/2018,,,,
Mesa,3,152,27,Storage,6/26/2018,,,,
Mesa,3,153,25,Storage,6/26/2018,,,,
Mesa,3,154,99,Storage,6/26/2018,,,,
Mesa,3,155,100,Storage,6/26/2018,,,,
Mesa,3,156,99,Storage,6/26/2018,,,,
Mesa,3,157,100,Storage,6/26/2018,,,,
Mesa,3,158,100,Storage,6/26/2018,,,,
Mesa,3,159,100,Storage,6/26/2018,,,,
Mesa,3,160,94,Storage,6/26/2018,,,,
Mesa,3,161,100,Storage,6/26/2018,,,,
Mesa,3,162,96,Storage,6/26/2018,,,,
Mesa,3,163,100,Storage,6/26/2018,,,,
Mesa,3,164,100,Storage,6/26/2018,,,,
Mesa,3,165,100,Storage,6/26/2018,,,,
Mesa,3,166,45,Storage,6/26/2018,,,,
Mesa,3,167,99,Storage,6/26/2018,,,,
Mesa,3,168,96,Storage,6/26/2018,,,,
Mesa,3,169,100,Storage,6/26/2018,,,,
Mesa,3,170,30,Storage,6/26/2018,,,,
Mesa,3,171,96,Storage,6/26/2018,,,,
Mesa,3,172,10,Storage,6/28/2018,,,,
Mesa,3,173,71,Storage,6/28/2018,,,,
Mesa,3,174,21,Storage,6/28/2018,,,,
Mesa,3,175,66,Storage,6/28/2018,,,,
Mesa,3,176,36,Storage,6/28/2018,DUPS*,,,
Mesa,4,1,15,Storage,6/26/2018,see Delta Log for Batch # from Dexter*,,,
Mesa,4,2,22,Storage,6/26/2018,see Delta Log for Batch # from Dexter*,,,
Mesa,4,3,205,Storage,6/26/2018,see Delta Log for Batch # from Dexter*,,,
