County,Device ID,Batch #,# of Ballot Cards,Location
Weld,2,45,100,Box 39
Weld,2,46,100,Box 39
Weld,2,47,97,Box 39
Weld,2,48,100,Box 39
Weld,3,1,99,Box 1
Weld,3,2,100,Box 1
Weld,3,3,100,Box 1
Weld,3,4,100,Box 1
Weld,3,5,97,Box 1
Weld,3,6,100,Box 1
Weld,3,7,100,Box 4
Weld,3,8,100,Box 4
Weld,3,9,100,Box 4
Weld,3,10,100,Box 4
Weld,3,11,100,Box 4
Weld,3,12,100,Box 4
Weld,3,13,100,Box 6
Weld,3,14,100,Box 6
Weld,3,15,100,Box 6
Weld,3,16,100,Box 6
Weld,3,17,100,Box 6
Weld,3,18,100,Box 6
Weld,3,19,100,Box 8
Weld,3,20,100,Box 8
Weld,3,21,100,Box 8
Weld,3,22,100,Box 8
Weld,3,23,100,Box 8
Weld,3,24,100,Box 8
Weld,3,25,100,Box 10
Weld,3,26,100,Box 10
Weld,3,27,100,Box 10
Weld,3,28,100,Box 10
Weld,3,29,100,Box 10
Weld,3,30,100,Box 10
Weld,3,31,100,Box 12
Weld,3,32,99,Box 12
Weld,3,33,98,Box 12
Weld,3,34,100,Box 12
Weld,3,35,100,Box 12
Weld,3,36,100,Box 12
Weld,3,37,100,Box 14
Weld,3,38,100,Box 14
Weld,3,39,99,Box 14
Weld,3,40,99,Box 14
Weld,3,41,99,Box 14
Weld,3,42,100,Box 14
Weld,3,43,92,Box 16
Weld,3,44,100,Box 16
Weld,3,45,100,Box 16
Weld,3,46,100,Box 16
Weld,3,47,99,Box 16
Weld,3,48,100,Box 16
Weld,3,49,100,Box 18
Weld,3,50,93,Box 18
Weld,3,51,100,Box 18
Weld,3,52,100,Box 18
Weld,3,53,100,Box 18
Weld,3,54,100,Box 18
Weld,3,55,100,Box 21
Weld,3,56,100,Box 21
Weld,3,57,100,Box 21
Weld,3,58,100,Box 21
Weld,3,59,100,Box 21
Weld,3,60,100,Box 21
Weld,3,61,100,Box 40
Weld,3,62,100,Box 40
Weld,3,63,100,Box 40
Weld,3,64,99,Box 40
Weld,3,65,98,Box 40
Weld,3,66,100,Box 40
Weld,3,67,100,Box 43
Weld,3,68,100,Box 43
Weld,3,69,99,Box 43
Weld,3,70,99,Box 43
Weld,3,71,100,Box 43
Weld,3,72,99,Box 43
Weld,3,73,100,Box 45
Weld,3,74,100,Box 45
Weld,3,75,99,Box 45
Weld,3,76,100,Box 45
Weld,3,77,100,Box 45
Weld,3,78,100,Box 45
Weld,3,79,100,Box 47
Weld,3,80,99,Box 47
Weld,3,81,100,Box 47
Weld,3,82,100,Box 47
Weld,3,83,100,Box 47
Weld,3,84,100,Box 47
Weld,3,85,100,Box 49
Weld,3,86,98,Box 49
Weld,3,87,99,Box 49
Weld,3,88,100,Box 49
Weld,3,89,100,Box 49
Weld,3,90,100,Box 49
Weld,3,91,100,Box 50
Weld,3,92,100,Box 50
Weld,3,93,100,Box 50
Weld,3,94,100,Box 50
Weld,3,95,99,Box 50
Weld,3,96,100,Box 50
Weld,3,97,100,Box 53
Weld,3,98,100,Box 53
Weld,3,99,100,Box 53
Weld,3,100,100,Box 53
Weld,3,101,100,Box 53
Weld,3,102,100,Box 53
Weld,3,103,100,Box 55
Weld,3,104,100,Box 55
Weld,3,105,100,Box 55
Weld,3,106,100,Box 55
Weld,3,107,100,Box 55
Weld,3,108,100,Box 55
Weld,3,109,100,Box 57
Weld,3,110,100,Box 57
Weld,3,111,99,Box 57
Weld,3,112,100,Box 57
Weld,3,113,100,Box 57
Weld,3,114,100,Box 57
Weld,3,115,100,Box 61
Weld,3,116,100,Box 61
Weld,3,117,100,Box 61
Weld,3,118,100,Box 61
Weld,3,119,100,Box 61
Weld,3,120,100,Box 61
Weld,3,121,99,Box 62
Weld,3,122,100,Box 62
Weld,3,123,100,Box 62
Weld,3,124,100,Box 62
Weld,3,125,100,Box 62
Weld,3,126,100,Box 62
Weld,3,127,100,Box 64
Weld,3,128,100,Box 64
Weld,3,129,99,Box 64
Weld,3,130,100,Box 64
Weld,3,131,100,Box 64
Weld,3,132,100,Box 64
Weld,3,133,100,Box 67
Weld,3,134,100,Box 67
Weld,3,135,100,Box 67
Weld,3,136,100,Box 67
Weld,3,137,100,Box 67
Weld,3,138,100,Box 67
Weld,3,139,100,Box 69
Weld,3,140,99,Box 69
Weld,3,141,98,Box 69
Weld,3,142,100,Box 69
Weld,3,143,100,Box 69
Weld,3,144,100,Box 69
Weld,3,145,100,Box 70
Weld,3,146,100,Box 70
Weld,3,147,100,Box 70
Weld,3,148,100,Box 70
Weld,3,149,100,Box 70
Weld,3,150,99,Box 70
Weld,3,151,100,Box 71
Weld,3,152,100,Box 71
Weld,3,153,100,Box 71
Weld,3,154,100,Box 71
Weld,3,155,100,Box 71
Weld,3,156,100,Box 71
Weld,3,157,100,Box 73
Weld,3,158,100,Box 73
Weld,3,159,100,Box 73
Weld,3,160,100,Box 73
Weld,3,161,100,Box 73
Weld,3,162,100,Box 73
Weld,3,163,100,Box 74
Weld,3,164,100,Box 74
Weld,3,165,100,Box 74
Weld,3,166,100,Box 74
WEld,3,167,100,Box 63
Weld,3,168,100,Box 63
Weld,3,169,99,Box 63
Weld,3,170,100,Box 63
Weld,3,171,100,Box 63
Weld,3,172,100,Box 63
Weld,3,173,100,Box 77
Weld,3,174,100,Box 77
Weld,3,175,100,Box 77
Weld,3,176,100,Box 77
Weld,3,177,100,Box 77
Weld,3,178,100,Box 77
Weld,3,179,100,Box 78
Weld,3,180,100,Box 78
Weld,3,181,100,Box 78
Weld,3,182,101,Box 78
Weld,4,1,100,Box 2
Weld,4,2,100,Box 2
Weld,4,3,100,Box 2
Weld,4,4,100,Box 2
Weld,4,5,100,Box 2
Weld,4,6,100,Box 2
Weld,4,7,100,Box 3
Weld,4,8,100,Box 3
Weld,4,9,100,Box 3
Weld,4,10,99,Box 3
Weld,4,11,98,Box 3
Weld,4,12,100,Box 3
Weld,4,13,100,Box 5
Weld,4,14,100,Box 5
Weld,4,15,100,Box 5
Weld,4,16,100,Box 5
Weld,4,17,100,Box 5
Weld,4,18,100,Box 5
Weld,4,19,100,Box 7
Weld,4,20,100,Box 7
Weld,4,21,100,Box 7
Weld,4,22,100,Box 7
Weld,4,23,100,Box 7
Weld,4,24,100,Box 7
Weld,4,25,100,Box 9
Weld,4,26,100,Box 9
Weld,4,27,99,Box 9
Weld,4,28,100,Box 9
Weld,4,29,100,Box 9
Weld,4,30,100,Box 9
Weld,4,31,99,Box 11
Weld,4,32,100,Box 11
Weld,4,33,99,Box 11
Weld,4,34,99,Box 11
Weld,4,35,99,Box 11
Weld,4,36,100,Box 11
Weld,4,37,100,Box 13
Weld,4,38,100,Box 13
Weld,4,39,100,Box 13
Weld,4,40,100,Box 13
Weld,4,41,100,Box 13
Weld,4,42,100,Box 13
Weld,4,43,100,Box 15
Weld,4,44,100,Box 15
Weld,4,45,99,Box 15
Weld,4,46,100,Box 15
Weld,4,47,100,Box 15
Weld,4,48,100,Box 15
Weld,4,49,100,Box 17
Weld,4,50,100,Box 17
Weld,4,51,97,Box 17
Weld,4,52,100,Box 17
Weld,4,53,100,Box 17
Weld,4,54,100,Box 17
Weld,4,55,100,Box 19
Weld,4,56,100,Box 19
Weld,4,57,100,Box 19
Weld,4,58,100,Box 19
Weld,4,59,100,Box 19
Weld,4,60,100,Box 19
Weld,4,61,100,Box 20
Weld,4,62,100,Box 20
Weld,4,63,100,Box 20
Weld,4,64,100,Box 20
Weld,4,65,100,Box 20
Weld,4,66,99,Box 20
Weld,4,67,99,Box 22
Weld,4,68,100,Box 22
Weld,4,69,100,Box 22
Weld,4,70,100,Box 22
Weld,4,71,100,Box 22
Weld,4,72,100,Box 22
Weld,4,73,100,Box 41
Weld,4,74,100,Box 41
Weld,4,75,100,Box 41
Weld,4,76,99,Box 41
Weld,4,77,100,Box 41
Weld,4,78,100,Box 41
Weld,4,79,100,Box 42
Weld,4,80,100,Box 42
Weld,4,81,100,Box 42
Weld,4,82,100,Box 42
Weld,4,83,100,Box 42
Weld,4,84,100,Box 42
Weld,4,85,100,Box 44
Weld,4,86,100,Box 44
Weld,4,87,100,Box 44
Weld,4,88,100,Box 44
Weld,4,89,100,Box 44
Weld,4,90,100,Box 44
Weld,4,91,100,Box 46
Weld,4,92,100,Box 46
Weld,4,93,100,Box 46
Weld,4,94,100,Box 46
Weld,4,95,100,Box 46
Weld,4,96,100,Box 46
Weld,4,97,100,Box 48
Weld,4,98,100,Box 48
Weld,4,99,100,Box 48
Weld,4,100,99,Box 48
Weld,4,101,100,Box 48
Weld,4,102,100,Box 48
Weld,4,103,99,Box 51
Weld,4,104,100,Box 51
Weld,4,105,100,Box 51
Weld,4,106,100,Box 51
Weld,4,107,100,Box 51
Weld,4,108,100,Box 51
Weld,4,109,100,Box 52
Weld,4,110,100,Box 52
Weld,4,111,100,Box 52
Weld,4,112,100,Box 52
Weld,4,113,100,Box 52
Weld,4,114,100,Box 52
Weld,4,115,100,Box 54
Weld,4,116,99,Box 54
Weld,4,117,100,Box 54
Weld,4,118,100,Box 54
Weld,4,119,100,Box 54
Weld,4,120,100,Box 54
Weld,4,121,100,Box 56
Weld,4,122,100,Box 56
Weld,4,123,100,Box 56
Weld,4,124,100,Box 56
Weld,4,125,100,Box 56
Weld,4,126,100,Box 56
Weld,4,127,100,Box 58
Weld,4,128,100,Box 58
Weld,4,129,100,Box 58
Weld,4,130,100,Box 58
Weld,4,131,100,Box 58
Weld,4,132,100,Box 58
Weld,4,133,100,Box 59
Weld,4,134,100,Box 59
Weld,4,135,100,Box 59
Weld,4,136,100,Box 59
Weld,4,137,100,Box 59
Weld,4,138,99,Box 59
Weld,4,139,100,Box 60
Weld,4,140,100,Box 60
Weld,4,141,100,Box 60
Weld,4,142,100,Box 60
Weld,4,143,100,Box 60
Weld,4,144,99,Box 60
Weld,4,145,100,Box 65
Weld,4,146,100,Box 65
Weld,4,147,100,Box 65
Weld,4,148,99,Box 65
Weld,4,149,100,Box 65
Weld,4,150,100,Box 65
Weld,4,151,100,Box 66
Weld,4,152,100,Box 66
Weld,4,153,100,Box 66
Weld,4,154,100,Box 66
Weld,4,155,100,Box 66
Weld,4,156,100,Box 66
Weld,4,157,100,Box 68
Weld,4,158,100,Box 68
Weld,4,159,100,Box 68
Weld,4,160,100,Box 68
Weld,4,161,100,Box 68
Weld,4,162,100,Box 68
Weld,4,163,100,Box 72
Weld,4,164,100,Box 72
Weld,4,165,100,Box 72
Weld,4,166,100,Box 72
Weld,4,167,100,Box 72
Weld,4,168,100,Box 72
Weld,4,170,100,Box 75
Weld,4,171,100,Box 75
Weld,4,172,100,Box 75
Weld,4,173,100,Box 75
Weld,4,174,100,Box 75
Weld,4,175,100,Box 75
Weld,4,169,91,Box 76
Weld,8,1,286,Box 76
