Canonical List (Final),,
CountyName,ContestName,ContestChoices
Sedgwick,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Summit,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Teller,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Washington,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Weld,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Yuma,Amendment 80 (CONSTITUTIONAL),"Yes/For,No/Against"
Rio Blanco,Amendment 80 (CONSTITUTIONAL) - Rio Blanco,"Yes/For,No/Against"
Adams,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Alamosa,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Arapahoe,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Archuleta,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Baca,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Bent,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Boulder,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Broomfield,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Chaffee,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Cheyenne,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Clear Creek,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Conejos,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Costilla,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Crowley,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Custer,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Delta,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Denver,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Dolores,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Douglas,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Eagle,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
El Paso,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Elbert,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Fremont,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Garfield,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Gilpin,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Grand,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Gunnison,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Hinsdale,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Huerfano,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Jackson,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Jefferson,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Kiowa,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Kit Carson,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
La Plata,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Lake,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Larimer,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Las Animas,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Lincoln,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Logan,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Mesa,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Mineral,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Moffat,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Montezuma,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Montrose,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Morgan,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Otero,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Ouray,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Park,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Phillips,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Pitkin,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Prowers,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Pueblo,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Rio Blanco,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Rio Grande,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Routt,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Saguache,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
San Miguel,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Sedgwick,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Summit,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Teller,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Washington,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Weld,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Yuma,Amendment G (CONSTITUTIONAL),"Yes/For,No/Against"
Adams,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Alamosa,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Arapahoe,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Archuleta,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Baca,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Bent,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Boulder,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Broomfield,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Chaffee,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Cheyenne,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Clear Creek,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Conejos,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Costilla,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Crowley,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Custer,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Delta,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Denver,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Dolores,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Douglas,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Eagle,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
El Paso,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Elbert,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Fremont,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Garfield,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Gilpin,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Grand,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Gunnison,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Hinsdale,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Huerfano,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Jackson,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Jefferson,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Kiowa,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Kit Carson,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
La Plata,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Lake,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Larimer,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Las Animas,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Lincoln,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Logan,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Mesa,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Mineral,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Moffat,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Montezuma,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Montrose,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Morgan,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Otero,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Ouray,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Park,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Phillips,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Pitkin,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Prowers,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Pueblo,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Rio Blanco,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Rio Grande,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Routt,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Saguache,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
San Miguel,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Sedgwick,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Summit,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Teller,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Washington,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Weld,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Yuma,Amendment H (CONSTITUTIONAL),"Yes/For,No/Against"
Adams,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Alamosa,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Arapahoe,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Archuleta,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Baca,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Bent,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Boulder,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Broomfield,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Chaffee,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Cheyenne,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Clear Creek,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Conejos,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Costilla,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Crowley,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Custer,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Delta,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Denver,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Dolores,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Douglas,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Eagle,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
El Paso,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Elbert,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Fremont,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Garfield,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Gilpin,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Grand,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Gunnison,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Hinsdale,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Huerfano,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Jackson,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Jefferson,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Kiowa,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
Kit Carson,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
La Plata,Amendment I (CONSTITUTIONAL),"Yes/For,No/Against"
