County,Tabulator ID,Batch,. of Ballots,Location
Douglas,1,GEN-0339,100,112
Douglas,1,GEN-0340,100,28
Douglas,1,GEN-0341,100,73
Douglas,1,GEN-0342,100,73
Douglas,1,GEN-0343,100,69
Douglas,1,GEN-0344,100,24
Douglas,1,GEN-0345,95,67
Douglas,1,GEN-0346,100,37
Douglas,1,GEN-0347,100,57
Douglas,1,GEN-0348,100,36
Douglas,1,GEN-0349,100,20
Douglas,1,GEN-0350,100,58
Douglas,1,GEN-0351,100,42
Douglas,1,GEN-0352,100,64
Douglas,1,GEN-0353,100,52
Douglas,1,GEN-0354,100,52
Douglas,1,GEN-0355,76,65
Douglas,1,GEN-0356,100,107
Douglas,1,GEN-0357,76,16
Douglas,1,GEN-0358,100,64
Douglas,1,GEN-0359,63,107
Douglas,1,GEN-0360,100,36
Douglas,1,GEN-0361,100,113
Douglas,1,GEN-0362,100,64
Douglas,1,GEN-0363,99,37
Douglas,1,GEN-0364,100,52
Douglas,1,GEN-0365,100,65
Douglas,1,GEN-0366,52,65
Douglas,1,GEN-0367,38,67
Douglas,1,GEN-0368,100,109
Douglas,1,GEN-0369,100,77
Douglas,1,GEN-0370,99,42
Douglas,1,GEN-0371,100,16
Douglas,1,GEN-0372,100,107
Douglas,1,GEN-0373,100,52
Douglas,1,GEN-0374,100,65
Douglas,1,GEN-0375,100,64
Douglas,1,GEN-0376,100,69
Douglas,1,GEN-0377,100,112
Douglas,1,GEN-0378,100,22
Douglas,1,GEN-0379,100,22
Douglas,1,GEN-0380,100,144
Douglas,1,GEN-0381,100,20
Douglas,1,GEN-0382,100,19
Douglas,1,GEN-0383,63,150
Douglas,1,GEN-0384,100,22
Douglas,1,GEN-0385,100,20
Douglas,1,GEN-0386,100,72
Douglas,1,GEN-0387,100,30
Douglas,1,GEN-0388,100,40
Douglas,1,GEN-0389,100,42
Douglas,1,GEN-0390,100,70
Douglas,1,GEN-0391,88,42
Douglas,1,GEN-0392,100,109
Douglas,1,GEN-0393,100,109
Douglas,1,GEN-0394,100,58
Douglas,1,GEN-0395,100,110
Douglas,1,GEN-0396,100,58
Douglas,1,GEN-0397,100,20
Douglas,1,GEN-0398,100,22
