County,Tabulator ID,Batch,# of Ballot Cards,Location/Box #
Mesa,202,2292,100,216
Mesa,202,2293,100,216
Mesa,202,2294,100,216
Mesa,202,2295,100,216
Mesa,202,2296,100,216
Mesa,202,2297,99,216
Mesa,202,2298,99,216
Mesa,202,2299,100,216
Mesa,202,2300,100,217
Mesa,202,2301,99,217
Mesa,202,2302,97,217
Mesa,202,2303,99,217
Mesa,202,2304,100,217
Mesa,202,2305,100,217
Mesa,202,2306,65,217
Mesa,202,2307,100,217
Mesa,202,2308,100,217
Mesa,202,2309,100,217
Mesa,202,2310,99,217
Mesa,202,2311,100,217
Mesa,202,2312,99,217
Mesa,202,2313,100,217
Mesa,202,2314,98,217
Mesa,202,2315,100,217
Mesa,202,2316,88,217
Mesa,202,2317,100,217
Mesa,202,2318,100,218
Mesa,202,2319,67,218
Mesa,202,2320,98,218
Mesa,202,2321,100,218
Mesa,202,2322,100,218
Mesa,202,2323,98,218
Mesa,202,2324,16,218
Mesa,202,2325,164,218
Mesa,202,2326,100,218
Mesa,202,2327,99,218
Mesa,202,2328,99,218
Mesa,202,2329,100,218
Mesa,202,2330,99,218
Mesa,202,2331,98,218
Mesa,202,2332,99,218
Mesa,202,2333,100,218
Mesa,202,2334,99,218
Mesa,202,2335,99,218
Mesa,202,2336,100,218
Mesa,202,2337,11,219
Mesa,202,2338,77,219
Mesa,202,2339,100,219
Mesa,202,2340,98,219
Mesa,202,2341,100,219
Mesa,202,2342,99,219
Mesa,202,2343,100,219
Mesa,202,2344,100,219
Mesa,202,2345,100,219
Mesa,202,2346,99,219
Mesa,202,2347,99,219
Mesa,202,2348,100,219
Mesa,202,2349,98,219
Mesa,202,2350,99,219
Mesa,202,2351,100,219
Mesa,202,2352,100,219
Mesa,202,2353,100,219
Mesa,202,2354,99,219
Mesa,202,2355,100,219
Mesa,202,2356,100,220
Mesa,202,2357,100,220
Mesa,202,2358,100,220
Mesa,202,2359,100,220
Mesa,202,2360,100,220
Mesa,202,2361,100,220
Mesa,202,2362,100,220
Mesa,202,2363,99,220
Mesa,202,2364,99,220
Mesa,202,2365,100,220
Mesa,202,2366,100,220
Mesa,202,2367,98,220
Mesa,202,2368,99,220
Mesa,202,2369,100,220
Mesa,202,2370,99,220
Mesa,202,2371,100,220
Mesa,202,2372,98,220
Mesa,202,2373,99,221
Mesa,202,2374,98,221
Mesa,202,2375,100,221
Mesa,202,2376,100,221
Mesa,202,2377,80,221
Mesa,202,2378,100,221
Mesa,202,2379,99,221
Mesa,202,2380,99,221
Mesa,202,2381,100,221
Mesa,202,2382,99,221
Mesa,202,2383,100,221
Mesa,202,2384,84,221
Mesa,202,2385,100,221
Mesa,202,2386,99,221
Mesa,202,2387,100,221
Mesa,202,2388,99,221
Mesa,202,2389,99,221
Mesa,202,2390,100,221
Mesa,202,2391,100,222
Mesa,202,2392,100,222
Mesa,202,2393,99,222
Mesa,202,2394,96,222
Mesa,202,2395,100,222
Mesa,202,2396,100,222
Mesa,202,2397,100,222
Mesa,202,2398,100,222
Mesa,202,2399,100,222
Mesa,202,2400,99,222
Mesa,202,2401,75,222
Mesa,202,2402,100,222
Mesa,202,2403,99,222
Mesa,202,2404,100,222
Mesa,202,2405,100,222
Mesa,202,2406,99,222
Mesa,202,2407,100,222
Mesa,202,2408,31,222
Mesa,202,2409,99,223
Mesa,202,2410,100,223
Mesa,202,2411,100,223
Mesa,202,2412,99,223
Mesa,202,2413,99,223
Mesa,202,2414,100,223
Mesa,202,2415,100,223
Mesa,202,2416,98,223
Mesa,202,2417,100,223
Mesa,202,2418,98,223
Mesa,202,2419,100,223
Mesa,202,2420,98,223
Mesa,202,2421,99,223
Mesa,202,2422,89,223
Mesa,202,2423,100,223
Mesa,202,2424,100,223
Mesa,202,2425,100,223
Mesa,202,2426,99,224
Mesa,202,2427,97,224
Mesa,202,2428,100,224
Mesa,202,2429,100,224
Mesa,202,2430,99,224
Mesa,202,2431,99,224
Mesa,202,2432,100,224
Mesa,202,2433,98,224
Mesa,202,2434,99,224
Mesa,202,2435,99,224
Mesa,202,2436,100,224
Mesa,202,2437,100,224
Mesa,202,2438,98,224
Mesa,202,2439,99,224
Mesa,202,2440,99,224
Mesa,202,2441,100,224
Mesa,202,2442,100,224
Mesa,202,2443,99,225
Mesa,202,2444,100,225
Mesa,202,2445,99,225
Mesa,202,2446,100,225
Mesa,202,2447,99,225
Mesa,202,2448,99,225
Mesa,202,2449,100,225
Mesa,202,2450,99,225
Mesa,202,2451,98,225
Mesa,202,2452,100,225
Mesa,202,2453,90,225
Mesa,202,2454,99,225
Mesa,202,2455,95,225
Mesa,202,2456,100,225
Mesa,202,2457,100,225
Mesa,202,2458,99,225
Mesa,202,2459,99,225
Mesa,202,2460,99,225
Mesa,202,2461,99,226
Mesa,202,2462,100,226
Mesa,202,2463,99,226
Mesa,202,2464,99,226
Mesa,202,2465,98,226
