contest_name,audit_reason,random_audit_status,winners_allowed,ballot_card_count,contest_ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,zero_discrepancy_count,one_vote_under_count,two_vote_under_count,disagreement_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
City of Arvada Ballot Question 3G,opportunistic_benefits,in_progress,1,306392,45073,"""No/Against""",11656,0.03000000,0,0,0,0,0,0,0,1.03905000,0,192,192
City of Arvada Council Member At-Large,opportunistic_benefits,in_progress,1,306392,45073,"""Michael P. Griffith""",8936,0.03000000,0,0,0,0,0,0,0,1.03905000,0,250,250
City of Arvada Council Member District 1,county_wide_contest,in_progress,1,199921,12103,"""Randy Moorman""",3888,0.03000000,0,0,0,0,0,0,0,1.03905000,0,375,375
City of Arvada Council Member District 3,opportunistic_benefits,in_progress,1,199921,10259,"""Rebecka Lovisone""",3475,0.03000000,0,0,0,0,0,0,0,1.03905000,0,420,420
City of Aspen Ballot Issue 2A,county_wide_contest,in_progress,1,6134,2410,"""Yes/For""",322,0.03000000,0,0,0,0,0,0,0,1.03905000,0,139,139
City of Aspen Ballot Issue 2B,opportunistic_benefits,in_progress,1,6134,2410,"""Yes/For""",545,0.03000000,0,0,0,0,0,0,0,1.03905000,0,83,83
City of Aspen Ballot Question 2C,opportunistic_benefits,in_progress,1,6134,2410,"""Yes/For""",153,0.03000000,0,0,0,0,0,0,0,1.03905000,0,293,293
City of Aurora Council Member - At Large,opportunistic_benefits,in_progress,2,412378,81071,"""Rob Andrews"",""Alli Jackson""",7494,0.03000000,0,0,0,0,0,0,0,1.03905000,0,401,401
City of Aurora Council Member Ward I,opportunistic_benefits,in_progress,1,280770,6972,"""Gianina Horton""",2323,0.03000000,0,0,0,0,0,0,0,1.03905000,0,881,881
City of Aurora Council Member Ward II,opportunistic_benefits,in_progress,1,280770,13255,"""Amy Wiles""",1389,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1473,1473
City of Aurora Council Member Ward III,opportunistic_benefits,in_progress,1,174299,9839,"""Ruben L. Medina""",2851,0.03000000,0,0,0,0,0,0,0,1.03905000,0,446,446
City of Aurora Question 3B,opportunistic_benefits,in_progress,1,412378,81071,"""Yes/For""",3369,0.03000000,0,0,0,0,0,0,0,1.03905000,0,892,892
City of Aurora Question 3C,opportunistic_benefits,in_progress,1,412378,81071,"""Yes/For""",39234,0.03000000,0,0,0,0,0,0,0,1.03905000,0,77,77
City of Aurora Question 3D,opportunistic_benefits,in_progress,1,412378,81071,"""No/Against""",50313,0.03000000,0,0,0,0,0,0,0,1.03905000,0,60,60
City of Aurora Question 3E,opportunistic_benefits,in_progress,1,412378,81071,"""No/Against""",49826,0.03000000,0,0,0,0,0,0,0,1.03905000,0,61,61
City of Aurora Question 3F,opportunistic_benefits,in_progress,1,412378,81071,"""Yes/For""",1115,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2696,2696
City of Boulder Ballot Issue 2A,opportunistic_benefits,in_progress,1,121584,34109,"""For the Measure""",14848,0.03000000,0,0,0,0,0,0,0,1.03905000,0,60,60
City of Boulder Ballot Issue 2B,county_wide_contest,in_progress,1,121584,34109,"""For the Measure""",9647,0.03000000,0,0,0,0,0,0,0,1.03905000,0,92,92
City of Boulder Council Candidates,opportunistic_benefits,in_progress,4,121584,34109,"""Nicole Speer"",""Matt Benjamin"",""Rob Kaplan"",""Mark Wallach""",1086,0.03000000,0,0,0,0,0,0,0,1.03905000,0,816,816
City of Brighton Councilmember - Ward 1,opportunistic_benefits,in_progress,1,186946,2486,"""Rhianon Collins""",217,0.03000000,0,0,0,0,0,0,0,1.03905000,0,6278,6278
City of Brighton Councilmember - Ward 2,opportunistic_benefits,not_auditable,1,186946,1442,"""Ann Taddeo""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Brighton Councilmember - Ward 3,opportunistic_benefits,in_progress,1,106471,1691,"""Melinda Carbajal""",108,0.03000000,0,0,0,0,0,0,0,1.03905000,0,7184,7184
City of Brighton Councilmember - Ward 4,opportunistic_benefits,not_auditable,1,106471,2192,"""Peter Padilla""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Brighton Mayor,opportunistic_benefits,not_auditable,1,186946,7811,"""Gregory Mills""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Brush Councilor Ward 1,opportunistic_benefits,not_auditable,1,6956,438,"""Tyler Horton""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Brush Councilor Ward 2,opportunistic_benefits,not_auditable,1,6956,374,"""Whitney E. Machuca""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Brush Councilor Ward 3,opportunistic_benefits,not_auditable,1,6956,254,"""Nick Skiles""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Brush Mayor,opportunistic_benefits,in_progress,1,6956,1066,"""Dana Sherman""",229,0.03000000,0,0,0,0,0,0,0,1.03905000,0,222,222
City of Canon City - City Council - At Large,opportunistic_benefits,in_progress,1,14829,5708,"""Freddie Toney""",138,0.03000000,0,0,0,0,0,0,0,1.03905000,0,784,784
City of Canon City - City Council - District 1,opportunistic_benefits,in_progress,1,14829,5708,"""Jeremy Reeves""",647,0.03000000,0,0,0,0,0,0,0,1.03905000,0,168,168
City of Canon City - City Council - District 3,opportunistic_benefits,in_progress,1,14829,5708,"""Pamela Simmons""",186,0.03000000,0,0,0,0,0,0,0,1.03905000,0,581,581
CITY OF CANON CITY ISSUE 2A,opportunistic_benefits,in_progress,1,14829,5708,"""YES/FOR""",1886,0.03000000,0,0,0,0,0,0,0,1.03905000,0,58,58
CITY OF CANON CITY ISSUE 2B,county_wide_contest,in_progress,1,14829,5708,"""NO/AGAINST""",528,0.03000000,0,0,0,0,0,0,0,1.03905000,0,205,205
City of Canon City - Mayor,opportunistic_benefits,not_auditable,1,14829,5708,"""Phil Lund""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Castle Pines - Council District 1,opportunistic_benefits,not_auditable,1,131608,2578,"""Chris Eubanks""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Castle Pines - Council District 2,opportunistic_benefits,in_progress,1,131608,2390,"""Kori Salazar""",33,0.03000000,0,0,0,0,0,0,0,1.03905000,0,29062,29062
City of Castle Pines - Council District 3,opportunistic_benefits,not_auditable,1,131608,1290,"""Nate Winegar""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Castle Pines Mayor,opportunistic_benefits,in_progress,1,131608,6258,"""Tracy Engerman""",705,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1361,1361
City of Centennial Council Member District 1,opportunistic_benefits,in_progress,1,174299,10598,"""Cindy Sandhu""",946,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1343,1343
City of Centennial Council Member District 2,opportunistic_benefits,in_progress,1,174299,10610,"""Ashish Vaidya""",309,0.03000000,0,0,0,0,0,0,0,1.03905000,0,4111,4111
City of Centennial Council Member District 3,opportunistic_benefits,in_progress,1,174299,10607,"""Ryan Dwiggins""",2003,0.03000000,0,0,0,0,0,0,0,1.03905000,0,635,635
City of Centennial Council Member District 4,opportunistic_benefits,in_progress,1,174299,8684,"""Durrell Middleton""",392,0.03000000,0,0,0,0,0,0,0,1.03905000,0,3241,3241
City of Centennial Mayor,county_wide_contest,in_progress,1,174299,40499,"""Christine Sweetland""",6006,0.03000000,0,0,0,0,0,0,0,1.03905000,0,212,212
City of Commerce City Councilmember - At Large,opportunistic_benefits,in_progress,2,106471,10854,"""Lori Young"",""Stefanie Trujillo""",317,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2448,2448
City of Commerce City Councilmember - Ward 1,opportunistic_benefits,in_progress,1,106471,2044,"""Jose Guardiola""",294,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2639,2639
City of Commerce City Councilmember - Ward 3,opportunistic_benefits,in_progress,1,106471,2910,"""Joanna Sandoval""",203,0.03000000,0,0,0,0,0,0,0,1.03905000,0,3822,3822
City of Craig Ballot Issue 2A,opportunistic_benefits,in_progress,1,3359,2018,"""Yes/For""",9,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2720,2720
City of Craig Ballot Question 2B,opportunistic_benefits,in_progress,1,3359,2018,"""Yes/For""",733,0.03000000,0,0,0,0,0,0,0,1.03905000,0,34,34
City of Craig City Council,opportunistic_benefits,in_progress,3,3359,2018,"""Jnl Linsacum"",""Michelle Gottschall"",""Joe Herod""",404,0.03000000,0,0,0,0,0,0,0,1.03905000,0,61,61
City of Craig Mayor,opportunistic_benefits,not_auditable,1,3359,2018,"""Chris Nichols""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Cripple Creek Ballot Question 2B,opportunistic_benefits,in_progress,1,10151,271,"""Yes/For""",57,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1298,1298
City of Cripple Creek Council - Ward 4,opportunistic_benefits,not_auditable,1,10151,145,"""Bruce Brown""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Cripple Creek Council - Ward 5,opportunistic_benefits,in_progress,1,10151,126,"""JR Gatlin""",10,0.03000000,0,0,0,0,0,0,0,1.03905000,0,7398,7398
City of Cripple Creek Home Rule Charter Commission,opportunistic_benefits,not_auditable,8,10151,271,"""Bruce Brown"",""Kirk Pennock"",""Jonathon Smith"",""Kelly W. Turner"",""Shawn M. Naprawa"",""Steven DiCamillo"",""Zeb Pennock"",""Elwood Henson""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Dacono Ballot Question 2D,opportunistic_benefits,in_progress,1,80475,1125,"""Yes/For""",435,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1349,1349
City of Dacono Ballot Question 2E,opportunistic_benefits,in_progress,1,80475,1125,"""Yes/For""",868,0.03000000,0,0,0,0,0,0,0,1.03905000,0,676,676
City of Dacono Ballot Question 2F,opportunistic_benefits,in_progress,1,80475,1125,"""Yes/For""",214,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2741,2741
City of Dacono Ballot Question 2G,opportunistic_benefits,in_progress,1,80475,1125,"""Yes/For""",571,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1028,1028
City of Dacono Council Members,opportunistic_benefits,in_progress,2,80475,1125,"""Drew Martinez"",""Kevin Plain""",221,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2654,2654
City of Delta Ballot Issue 2B,county_wide_contest,in_progress,1,11092,2315,"""No/Against""",497,0.03000000,0,0,0,0,0,0,0,1.03905000,0,163,163
City of Delta Ballot Question 2C,opportunistic_benefits,in_progress,1,11092,2315,"""No/Against""",608,0.03000000,0,0,0,0,0,0,0,1.03905000,0,133,133
City of Delta Ballot Question 2D,opportunistic_benefits,in_progress,1,11092,2315,"""No/Against""",681,0.03000000,0,0,0,0,0,0,0,1.03905000,0,119,119
City of Delta Ballot Question 2E,opportunistic_benefits,in_progress,1,11092,2315,"""No/Against""",1089,0.03000000,0,0,0,0,0,0,0,1.03905000,0,75,75
City of delta Ballot Question 2F,opportunistic_benefits,in_progress,1,11092,2315,"""No/Against""",953,0.03000000,0,0,0,0,0,0,0,1.03905000,0,85,85
City of Durango Ballot Issue 2A,opportunistic_benefits,in_progress,1,22019,6982,"""Yes/For""",804,0.03000000,0,0,0,0,0,0,0,1.03905000,0,200,200
City of Edgewater Council Members,opportunistic_benefits,not_auditable,4,199921,1253,"""Hannah Gay Keao"",""Lilly Steirer"",""Joel Newton"",""Mark Stechschulte""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Edgewater Mayor,opportunistic_benefits,in_progress,1,199921,1253,"""Steve Conklin""",950,0.03000000,0,0,0,0,0,0,0,1.03905000,0,1534,1534
City of Englewood Ballot Question Number 2A,opportunistic_benefits,in_progress,1,174299,9685,"""Yes/For""",1950,0.03000000,0,0,0,0,0,0,0,1.03905000,0,652,652
City of Englewood Office of Council Member District 2,opportunistic_benefits,in_progress,1,174299,2167,"""Jack Bethel""",353,0.03000000,0,0,0,0,0,0,0,1.03905000,0,3599,3599
City of Englewood Office of Council Member District 4,opportunistic_benefits,in_progress,1,174299,2396,"""Steve Ward""",447,0.03000000,0,0,0,0,0,0,0,1.03905000,0,2842,2842
City of Englewood Office of Mayor At-Large,opportunistic_benefits,in_progress,1,174299,9685,"""Othoniel Sierra""",3324,0.03000000,0,0,0,0,0,0,0,1.03905000,0,383,383
City of Englewood Office of Municipal Judge,opportunistic_benefits,not_auditable,1,174299,9685,"""Joe Jefferson""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Evans Ballot Issue 2A,opportunistic_benefits,in_progress,1,80475,3265,"""Yes/For""",1300,0.03000000,0,0,0,0,0,0,0,1.03905000,0,452,452
City of Federal Heights Council Member - Ward 1,opportunistic_benefits,not_auditable,1,106471,373,"""Mike Vallero""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Federal Heights Council Member - Ward 2,opportunistic_benefits,not_auditable,1,106471,492,"""Doris Peterson""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
City of Federal Heights Council Member - Ward 3,opportunistic_benefits,in_progress,1,106471,449,"""Sonia Jensen""",69,0.03000000,0,0,0,0,0,0,0,1.03905000,0,11245,11245
