County,Tabulator ID,Batch ID,# of Ballot Cards,Location
La Plata,201,241,50,Bin # 5
La Plata,201,242,50,Bin # 5
La Plata,201,243,50,Bin # 5
La Plata,201,244,50,Bin # 5
La Plata,201,245,50,Bin # 5
La Plata,201,246,50,Bin # 5
La Plata,201,247,50,Bin # 5
La Plata,201,248,50,Bin # 5
La Plata,201,249,50,Bin # 5
La Plata,201,250,50,Bin # 5
La Plata,201,251,50,Bin # 6
La Plata,201,252,50,Bin # 6
La Plata,201,253,50,Bin # 6
La Plata,201,254,50,Bin # 6
La Plata,201,255,50,Bin # 6
La Plata,201,256,50,Bin # 6
La Plata,201,257,50,Bin # 6
La Plata,201,258,50,Bin # 6
La Plata,201,259,50,Bin # 6
La Plata,201,260,50,Bin # 6
La Plata,201,261,50,Bin # 6
La Plata,201,262,50,Bin # 6
La Plata,201,263,50,Bin # 6
La Plata,201,264,50,Bin # 6
La Plata,201,265,50,Bin # 6
La Plata,201,266,50,Bin # 6
La Plata,201,267,50,Bin # 6
La Plata,201,268,50,Bin # 6
La Plata,201,269,50,Bin # 6
La Plata,201,270,50,Bin # 6
La Plata,201,271,50,Bin # 6
La Plata,201,272,50,Bin # 6
La Plata,201,273,50,Bin # 6
La Plata,201,274,50,Bin # 6
La Plata,201,275,50,Bin # 6
La Plata,201,276,50,Bin # 6
La Plata,201,277,50,Bin # 6
La Plata,201,278,50,Bin # 6
La Plata,201,279,50,Bin # 6
La Plata,201,280,50,Bin # 6
La Plata,201,281,50,Bin # 6
La Plata,201,282,50,Bin # 6
La Plata,201,283,50,Bin # 6
La Plata,201,284,50,Bin # 6
La Plata,201,285,50,Bin # 6
La Plata,201,286,50,Bin # 6
La Plata,201,287,50,Bin # 6
La Plata,201,288,50,Bin # 6
La Plata,201,289,50,Bin # 6
La Plata,201,290,50,Bin # 6
La Plata,201,291,50,Bin # 6
La Plata,201,292,50,Bin # 6
La Plata,201,293,50,Bin # 6
La Plata,201,294,50,Bin # 6
