County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,,,,,,,,,,,
Eagle,101,123,25,6,,,,,,,,,,,,,,,,
Eagle,101,124,25,6,,,,,,,,,,,,,,,,
Eagle,101,125,25,6,,,,,,,,,,,,,,,,
Eagle,101,126,25,6,,,,,,,,,,,,,,,,
Eagle,101,127,25,6,,,,,,,,,,,,,,,,
Eagle,101,128,25,6,,,,,,,,,,,,,,,,
Eagle,101,129,25,6,,,,,,,,,,,,,,,,
Eagle,101,130,25,6,,,,,,,,,,,,,,,,
Eagle,101,131,25,6,,,,,,,,,,,,,,,,
Eagle,101,132,25,6,,,,,,,,,,,,,,,,
Eagle,101,133,25,7,,,,,,,,,,,,,,,,
Eagle,101,134,25,7,,,,,,,,,,,,,,,,
Eagle,101,135,25,7,,,,,,,,,,,,,,,,
Eagle,101,136,25,7,,,,,,,,,,,,,,,,
Eagle,101,137,25,7,,,,,,,,,,,,,,,,
Eagle,101,138,25,7,,,,,,,,,,,,,,,,
Eagle,101,139,25,7,,,,,,,,,,,,,,,,
Eagle,101,140,25,7,,,,,,,,,,,,,,,,
Eagle,101,141,25,7,,,,,,,,,,,,,,,,
Eagle,101,142,25,7,,,,,,,,,,,,,,,,
Eagle,101,143,25,7,,,,,,,,,,,,,,,,
Eagle,101,144,25,7,,,,,,,,,,,,,,,,
Eagle,101,145,25,7,,,,,,,,,,,,,,,,
Eagle,101,146,25,7,,,,,,,,,,,,,,,,
Eagle,101,147,25,7,,,,,,,,,,,,,,,,
Eagle,101,148,25,7,,,,,,,,,,,,,,,,
Eagle,101,149,25,7,,,,,,,,,,,,,,,,
Eagle,101,150,25,7,,,,,,,,,,,,,,,,
Eagle,101,151,25,7,,,,,,,,,,,,,,,,
Eagle,101,152,25,7,,,,,,,,,,,,,,,,
Eagle,101,153,25,7,,,,,,,,,,,,,,,,
Eagle,101,154,25,7,,,,,,,,,,,,,,,,
Eagle,101,155,11,7,,,,,,,,,,,,,,,,
Eagle,101,156,25,7,,,,,,,,,,,,,,,,
Eagle,101,157,9,7,,,,,,,,,,,,,,,,
Eagle,101,158,25,8,,,,,,,,,,,,,,,,
Eagle,101,159,25,8,,,,,,,,,,,,,,,,
Eagle,101,160,25,8,,,,,,,,,,,,,,,,
Eagle,101,161,25,8,,,,,,,,,,,,,,,,
Eagle,101,162,25,8,,,,,,,,,,,,,,,,
Eagle,101,163,25,8,,,,,,,,,,,,,,,,
Eagle,101,164,25,8,,,,,,,,,,,,,,,,
Eagle,101,165,25,8,,,,,,,,,,,,,,,,
Eagle,101,166,25,8,,,,,,,,,,,,,,,,
Eagle,101,167,25,8,,,,,,,,,,,,,,,,
Eagle,101,168,25,8,,,,,,,,,,,,,,,,
Eagle,101,169,25,8,,,,,,,,,,,,,,,,
Eagle,101,170,25,8,,,,,,,,,,,,,,,,
Eagle,101,171,25,8,,,,,,,,,,,,,,,,
Eagle,101,172,25,8,,,,,,,,,,,,,,,,
Eagle,101,173,25,8,,,,,,,,,,,,,,,,
Eagle,101,174,25,8,,,,,,,,,,,,,,,,
Eagle,101,175,25,8,,,,,,,,,,,,,,,,
Eagle,101,176,25,8,,,,,,,,,,,,,,,,
Eagle,101,177,25,8,,,,,,,,,,,,,,,,
Eagle,101,178,25,8,,,,,,,,,,,,,,,,
Eagle,101,179,25,9,,,,,,,,,,,,,,,,
Eagle,101,180,25,9,,,,,,,,,,,,,,,,
Eagle,101,181,25,9,,,,,,,,,,,,,,,,
Eagle,101,182,25,9,,,,,,,,,,,,,,,,
Eagle,101,183,25,9,,,,,,,,,,,,,,,,
Eagle,101,184,25,9,,,,,,,,,,,,,,,,
Eagle,101,185,25,9,,,,,,,,,,,,,,,,
Eagle,101,186,25,9,,,,,,,,,,,,,,,,
Eagle,101,187,25,9,,,,,,,,,,,,,,,,
Eagle,101,188,25,9,,,,,,,,,,,,,,,,
Eagle,101,189,25,9,,,,,,,,,,,,,,,,
Eagle,101,190,25,9,,,,,,,,,,,,,,,,
Eagle,101,191,25,9,,,,,,,,,,,,,,,,
Eagle,101,192,25,9,,,,,,,,,,,,,,,,
Eagle,101,193,25,9,,,,,,,,,,,,,,,,
Eagle,101,194,25,9,,,,,,,,,,,,,,,,
Eagle,101,195,25,9,,,,,,,,,,,,,,,,
Eagle,101,196,25,9,,,,,,,,,,,,,,,,
Eagle,101,197,25,9,,,,,,,,,,,,,,,,
Eagle,101,198,25,9,,,,,,,,,,,,,,,,
Eagle,101,199,25,9,,,,,,,,,,,,,,,,
Eagle,101,200,25,9,,,,,,,,,,,,,,,,
Eagle,101,201,25,10,,,,,,,,,,,,,,,,
Eagle,101,202,25,10,,,,,,,,,,,,,,,,
Eagle,101,203,25,10,,,,,,,,,,,,,,,,
Eagle,101,204,25,10,,,,,,,,,,,,,,,,
Eagle,101,205,25,10,,,,,,,,,,,,,,,,
Eagle,101,206,25,10,,,,,,,,,,,,,,,,
Eagle,101,207,25,10,,,,,,,,,,,,,,,,
Eagle,101,208,25,10,,,,,,,,,,,,,,,,
Eagle,101,209,25,10,,,,,,,,,,,,,,,,
Eagle,101,210,25,10,,,,,,,,,,,,,,,,
