County,Tabulator ID,Batch,# of Ballots,Location
Douglas,1,PRES-0597,100,94
Douglas,1,PRES-0598,100,109
Douglas,1,PRES-0599,97,112
Douglas,1,PRES-0600,100,94
Douglas,1,PRES-0601,74,120
Douglas,1,PRES-0602,50,120
Douglas,1,PRES-0603,46,94
Douglas,1,PRES-0604,100,95
Douglas,1,PRES-0605,100,100
Douglas,1,PRES-0606,100,94
Douglas,1,PRES-0607,100,120
Douglas,1,PRES-0608,100,95
Douglas,1,PRES-0609,100,94
Douglas,1,PRES-0610,100,120
Douglas,1,PRES-0611,100,95
Douglas,1,PRES-0612,100,112
Douglas,1,PRES-0613,100,120
Douglas,1,PRES-0614,100,120
Douglas,1,PRES-0615,100,94
Douglas,1,PRES-0616,100,112
Douglas,1,PRES-0617,100,112
Douglas,1,PRES-0618,100,120
Douglas,1,PRES-0619,100,109
Douglas,1,PRES-0620,99,112
Douglas,1,PRES-0621,100,123
Douglas,1,PRES-0622,100,95
Douglas,1,PRES-0623,100,94
Douglas,1,PRES-0624,100,120
Douglas,1,PRES-0625,100,112
Douglas,1,PRES-0626,100,112
Douglas,1,PRES-0627,100,120
Douglas,1,PRES-0628,100,94
Douglas,1,PRES-0629,100,112
Douglas,1,PRES-0630,100,94
Douglas,1,PRES-0631,100,94
Douglas,1,PRES-0632,100,120
Douglas,1,PRES-0633,100,120
Douglas,1,PRES-0634,100,112
Douglas,1,PRES-0635,100,94
Douglas,1,PRES-0636,100,120
Douglas,1,PRES-0637,83,100
Douglas,1,PRES-0638,100,112
Douglas,1,PRES-0639,99,100
Douglas,1,PRES-0640,100,120
Douglas,1,PRES-0641,100,94
Douglas,1,PRES-0642,100,112
Douglas,1,PRES-0643,100,94
Douglas,1,PRES-0644,100,120
Douglas,1,PRES-0645,100,112
Douglas,1,PRES-0646,50,94
Douglas,1,PRES-0647,29,43
Douglas,1,PRES-0648,64,94
Douglas,1,PRES-0649,99,112
Douglas,1,PRES-0650,100,120
Douglas,1,PRES-0651,101,112
Douglas,1,PRES-0652,100,94
Douglas,1,PRES-0653,100,112
Douglas,1,PRES-0654,54,95
Douglas,1,PRES-0655,79,94
