contest_name,audit_reason,random_audit_status,ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,one_vote_under_count,two_vote_under_count,disagreement_count,other_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
Arapahoe County Commissioner - District 4,opportunistic_benefits,in_progress,532104,"""Nancy Jackson""",16352,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,203,203
Arapahoe County Coroner,opportunistic_benefits,not_auditable,532104,"""Kelly C. Lear""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Arapahoe County Court Judge - Clark,opportunistic_benefits,in_progress,532104,"""Yes""",98352,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,34,34
Arapahoe County Court Judge - LaFave,opportunistic_benefits,in_progress,532104,"""Yes""",71069,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,47,47
Arapahoe County Court Judge - Roche,opportunistic_benefits,in_progress,532104,"""Yes""",94010,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,36,36
Arapahoe County Court Judge - Rowles-Stokes,opportunistic_benefits,in_progress,532104,"""Yes""",93281,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,36,36
Arapahoe County Sheriff,county_wide_contest,risk_limit_achieved,532104,"""Tyler Scott Brown""",20490,0.05000000,163,0,0,0,0,0,0,1.03905000,0.00,162,162
Arapahoe County Treasurer,opportunistic_benefits,not_auditable,532104,"""Sue Sandstrom""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Archuleta County Assessor,opportunistic_benefits,not_auditable,6958,"""Natalie Woodruff""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
ARCHULETA COUNTY BALLOT ISSUE 1A COUNTY SALES TAX INCREASE FOR JUSTICE SYSTEM FACILITIES,county_wide_contest,risk_limit_achieved,6958,"""No/against""",427,0.05000000,103,0,0,0,0,0,0,1.03905000,0.00,102,102
Archuleta County Clerk and Recorder,opportunistic_benefits,not_auditable,6958,"""Kristy Archuleta""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Archuleta County Commissioner District 3,opportunistic_benefits,ended,6958,"""Alvin Schaaf""",4641,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,10,10
Archuleta County Coroner,opportunistic_benefits,not_auditable,6958,"""Brandon L. Bishop""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Archuleta County Court Judge - Fay,opportunistic_benefits,ended,6958,"""Yes""",2741,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,16,16
Archuleta County School District 50 JT Ballot Issue 5A,opportunistic_benefits,ended,6958,"""Yes/for""",1460,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,30,30
Archuleta County Sheriff,opportunistic_benefits,ended,6958,"""Richard Valdez""",3530,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,13,13
Archuleta County Surveyor,opportunistic_benefits,not_auditable,6958,"""Dean P. Schultz""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Archuleta County Treasurer,opportunistic_benefits,ended,6958,"""Elsa P. White""",1374,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,32,32
ARKANSAS VALLEY AMBULANCE DISTRICT BALLOT ISSUE 6A,opportunistic_benefits,in_progress,19960,"""Yes/for""",235,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,529,529
Arkansas Valley Ambulance District Board of Directors (serves until May 2020) (Vote for 2),opportunistic_benefits,not_auditable,19960,"""David Van Nattan"",""Jordan Clewell""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Arkansas Valley Ambulance District Board of Directors (serves until May 2022) (Vote for 3),opportunistic_benefits,not_auditable,19960,"""Thomas Kainz"",""Nicole Lewis"",""Andra Dolton""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
ARVADA FIRE PROTECTION DISTRICT BALLOT ISSUE 6E,opportunistic_benefits,ended,610888,"""Yes""",31339,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,122,122
Aspen Fire Protection District Ballot Issue 6A,opportunistic_benefits,in_progress,19027,"""Yes/for""",2661,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,45,45
Attorney General,state_wide_contest,risk_limit_achieved,4651905,"""Phil Weiser""",159106,0.05000000,184,0,0,0,0,0,0,1.03905000,0.00,183,183
Baca County Assessor,opportunistic_benefits,not_auditable,1958,"""Gayla J. Thompson""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Baca County Ballot Question 1A,opportunistic_benefits,in_progress,1958,"""Yes/for""",858,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,15,15
Baca County Clerk and Recorder,opportunistic_benefits,not_auditable,1958,"""Sharon Dubois""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Baca County Commissioner - 2,opportunistic_benefits,not_auditable,1958,"""Shiloh Freed""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Baca County Coroner,opportunistic_benefits,not_auditable,1958,"""Robert L. Morrow""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Baca County Court Judge - Gunkel,opportunistic_benefits,in_progress,1958,"""Yes""",502,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,25,25
Baca County Sheriff,county_wide_contest,risk_limit_achieved,1958,"""Aaron Shiplett""",1063,0.05000000,13,0,0,0,0,0,0,1.03905000,0.00,12,12
Baca County Treasurer,opportunistic_benefits,not_auditable,1958,"""Susan Cochell""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Ballot Issue 2A,opportunistic_benefits,in_progress,28907,"""No/against""",1916,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,94,94
Ballot Issue 2C,opportunistic_benefits,in_progress,28907,"""Yes/for""",33,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,5454,5454
Ballot Issue 4F: BEST General Obligation Bond,opportunistic_benefits,in_progress,4209,"""Yes/for""",338,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,78,78
Ballot Issue 6A,opportunistic_benefits,in_progress,28907,"""No/against""",9,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,19996,19996
Ballot Issue 6B,opportunistic_benefits,in_progress,28907,"""Yes/for""",291,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,619,619
Ballot Issue 6C,opportunistic_benefits,in_progress,28907,"""Yes/for""",328,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,549,549
Ballot Issue 6D,opportunistic_benefits,in_progress,28907,"""No/against""",314,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,574,574
Ballot Question 2B,opportunistic_benefits,in_progress,28907,"""No/against""",50,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,3600,3600
Ballot Question 2D,opportunistic_benefits,in_progress,28907,"""Yes/for""",86,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,2093,2093
Ballot Question 2E,opportunistic_benefits,in_progress,28907,"""Yes/for""",405,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,445,445
Basalt & Rural Fire Protection District Ballot Issue 7F,opportunistic_benefits,in_progress,64228,"""Yes/for""",3016,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,133,133
Bennett School District No. 29J Ballot Issue 5B,opportunistic_benefits,in_progress,877901,"""No/against""",315,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,17351,17351
Bent County Assessor,opportunistic_benefits,in_progress,1921,"""Guy F. Wagner""",246,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,49,49
Bent County Ballot Question 1A,opportunistic_benefits,in_progress,1921,"""Yes/for""",720,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,17,17
Bent County Clerk and Recorder,opportunistic_benefits,not_auditable,1921,"""Lynda G. Moss""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Bent County Commissioner - District 2,county_wide_contest,risk_limit_achieved,1921,"""Chuck Netherton""",374,0.05000000,33,0,0,0,0,0,0,1.03905000,0.00,32,32
Bent County Coroner,opportunistic_benefits,not_auditable,1921,"""Jason Nichols""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Bent County Sheriff,opportunistic_benefits,in_progress,1921,"""Jake R. Six""",606,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,20,20
Bent County Treasurer,opportunistic_benefits,in_progress,1921,"""Kathryn L. Brown""",266,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,45,45
Bent-Prowers Cemetery District Ballot Issue 7C,opportunistic_benefits,in_progress,6193,"""Yes/for""",19,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,2030,2030
Berthoud Fire Protection District Ballot Issue 7B,opportunistic_benefits,in_progress,788082,"""Yes/for""",3033,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1618,1618
BETHUNE SCHOOL DISTRICT R-5 BALLOT ISSUE 4A,opportunistic_benefits,in_progress,3188,"""No/against""",4,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,4962,4962
Black Forest Fire Rescue Protection District - 6C,opportunistic_benefits,in_progress,556085,"""Yes/for""",825,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,4197,4197
Boulder County Assessor,opportunistic_benefits,not_auditable,353493,"""Cynthia Braddock""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Boulder County Ballot Issue 1A - (Alternative Sentencing Facility and Jail Modernization Countywide Sales and Use Tax Extension),opportunistic_benefits,in_progress,353493,"""Yes/for""",83915,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,27,27
Boulder County Clerk and Recorder,opportunistic_benefits,not_auditable,353493,"""Molly Fitzpatrick""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Boulder County Commissioner - District 3,opportunistic_benefits,in_progress,353493,"""Matt Jones""",73875,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,30,30
Boulder County Coroner,opportunistic_benefits,not_auditable,353493,"""Emma R. Hall""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Boulder County Court Judge - Archuleta,opportunistic_benefits,in_progress,353493,"""Yes""",87962,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,26,26
Boulder County Court Judge - Brodsky,opportunistic_benefits,in_progress,353493,"""Yes""",90563,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,25,25
Boulder County Sheriff,opportunistic_benefits,in_progress,353493,"""Joseph K Pelle""",105013,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,21,21
Boulder County Surveyor,opportunistic_benefits,not_auditable,353493,"""Lee Stadele""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Boulder County Treasurer,opportunistic_benefits,not_auditable,353493,"""Paul Weissmann""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Briggsdale School District RE10-J Ballot Issue 5C,opportunistic_benefits,in_progress,261478,"""Yes/for""",10,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,162782,162782
Brookside Mayor,opportunistic_benefits,not_auditable,19960,"""David K. Boden""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Brookside Town Trustee At-Large,opportunistic_benefits,not_auditable,19960,"""Cloyce D. Mann"",""John Grooms""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Broomfield County Ballot Question 2B,county_wide_contest,risk_limit_achieved,36674,"""Yes""",15972,0.05000000,16,0,0,0,0,0,0,1.03905000,0.00,15,15
Broomfield County Court Judge - Bockman,opportunistic_benefits,in_progress,36674,"""Yes""",16579,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,14,14
Candidates for Town Council,opportunistic_benefits,in_progress,45201,"""Tamra Nottingham Underwood"",""Scott Prince"",""Sarah Smith Hymes"",""Chico Thuon""",148,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1902,1902
CANON CITY AREA FIRE PROTECTION DISTRICT BALLOT ISSUE 6B,opportunistic_benefits,in_progress,19960,"""Yes/for""",2554,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,49,49
Carbondale & Rural Fire Protection District Ballot Issue 7B,opportunistic_benefits,in_progress,28798,"""Yes/for""",322,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,557,557
Carbondale & Rural Fire Protection District Ballot Issue 7C,opportunistic_benefits,in_progress,28798,"""Yes/for""",240,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,747,747
Central Colorado Water Conservancy District Ground Water Management Subdistrict Ballot Issue 7E,opportunistic_benefits,in_progress,607275,"""Yes/for""",1443,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,2620,2620
Central Orchard Mesa Fire Protection District Ballot Issue 6A - Property Tax Increase,opportunistic_benefits,in_progress,68803,"""Yes/for""",27,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,15865,15865
Central Orchard Mesa Fire Protection District Ballot Issue 6B - Gallagher Revenue Stabilization,opportunistic_benefits,in_progress,68803,"""No/against""",9,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,47593,47593
Chaffee County Assessor,opportunistic_benefits,not_auditable,11642,"""Brenda Jo Mosby""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
CHAFFEE COUNTY BALLOT ISSUE 1A STRENGTHENING FOREST HEALTH  CONSERVING AND SUPPORTING WORKING RANCHES AND FARMS AND RURAL LAN,opportunistic_benefits,ended,11642,"""Yes/for""",512,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,142,142
Chaffee County Ballot Question 1B Restoring Authority to Chaffee County to Provide High-Speed Internet  Telecommunication and...,opportunistic_benefits,ended,11642,"""Yes/for""",6326,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,12,12
Chaffee County Clerk and Recorder,opportunistic_benefits,not_auditable,11642,"""Lori Mitchell""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Chaffee County Commissioner - District 3,county_wide_contest,risk_limit_achieved,11642,"""Russell \""rusty\"" Granzella""",897,0.05000000,100,0,1,0,0,0,0,1.03905000,0.00,99,99
Chaffee County Coroner,opportunistic_benefits,ended,11642,"""Jeff Graf""",2286,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,32,32
CHAFFEE COUNTY FIRE PROTECTION DISTRICT BALLOT ISSUE 6A GALLAGHER REVENUE STABILIZATION,opportunistic_benefits,ended,11642,"""Yes/for""",1178,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,62,62
Chaffee County Sheriff,opportunistic_benefits,ended,11642,"""John Spezze""",2587,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,29,29
Chaffee County Treasurer,opportunistic_benefits,ended,11642,"""Delores \""dee Dee\"" Copper""",1266,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,58,58
Cheyenne County Assessor,opportunistic_benefits,not_auditable,1027,"""Lacey Welsh""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Cheyenne County Clerk and Recorder,opportunistic_benefits,not_auditable,1027,"""Patricia Daugherty""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Cheyenne County Commissioner - District 2,county_wide_contest,risk_limit_achieved,1027,"""Ronald R. Smith""",477,0.05000000,15,0,0,0,0,0,0,1.03905000,0.00,14,14
Cheyenne County Coroner,opportunistic_benefits,not_auditable,1027,"""Raymond Dean Kern""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Cheyenne County Court Judge - Keefe,opportunistic_benefits,in_progress,1027,"""Yes""",721,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,9,9
Cheyenne County Sheriff,opportunistic_benefits,not_auditable,1027,"""Jeff Miller""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
Cheyenne County Treasurer,opportunistic_benefits,not_auditable,1027,"""Gaila Mitchek""",0,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,0,0
City of Arvada Ballot Issue 3F,opportunistic_benefits,in_progress,956685,"""Yes/for""",20285,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,294,294
City of Aspen Ballot Question 2A,opportunistic_benefits,in_progress,19027,"""Yes/for""",1369,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,87,87
City of Aspen Ballot Question 2B,opportunistic_benefits,in_progress,19027,"""No/against""",1191,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,100,100
City of Aspen Ballot Question 2C,opportunistic_benefits,in_progress,19027,"""No/against""",456,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,260,260
City of Aspen Ballot Question 2D,opportunistic_benefits,in_progress,19027,"""Option B""",522,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,227,227
City of Aurora Ballot Issue 3G,opportunistic_benefits,in_progress,1236426,"""No/against""",3653,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,2108,2108
City of Aurora Ballot Question 3H,opportunistic_benefits,in_progress,1236426,"""Yes/for""",8470,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,909,909
City of Aurora Ballot Question 3I,opportunistic_benefits,in_progress,1236426,"""No/against""",42330,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,182,182
City of Aurora Ballot Question 3J,opportunistic_benefits,in_progress,1236426,"""Yes/for""",38768,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,199,199
City of Aurora Ballot Question 3K,opportunistic_benefits,in_progress,1236426,"""Yes/for""",62325,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,124,124
City of Black Hawk Ballot Issue 2A,opportunistic_benefits,ended,3425,"""Yes/for""",30,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,711,711
City of Boulder Ballot Issue 2C - Imposition of Oil and Gas Pollution Tax,opportunistic_benefits,in_progress,353493,"""For The Measure""",26738,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,83,83
City of Boulder Ballot Issue 2D - Authorize Retention of All Sugar-Sweetened Beverages Tax Revenue,opportunistic_benefits,in_progress,353493,"""For The Measure""",15665,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,141,141
City of Boulder Ballot Question 2E - Charter Amendments for Initiative  Referendum and Recall Processes,county_wide_contest,risk_limit_achieved,353493,"""For The Measure""",9962,0.05000000,222,0,0,0,0,0,0,1.03905000,0.00,221,221
City of Boulder Ballot Question 2F - Charter Amendment for Initiative Petition Signature Verification,opportunistic_benefits,in_progress,353493,"""For The Measure""",26313,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,84,84
City of Boulder Ballot Question 2G - Charter Amendment Related to Electronic and Online Petitions,opportunistic_benefits,in_progress,353493,"""For The Measure""",21101,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,105,105
City of Boulder Ballot Question 2H - Charter Amendment Related to Advisory Commissions,opportunistic_benefits,in_progress,353493,"""For The Measure""",28284,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,78,78
City of Boulder Ballot Question 2I - Charter Amendment for Planning Department Budget Recommendations,opportunistic_benefits,in_progress,353493,"""For The Measure""",11463,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,192,192
CITY OF CANON CITY BALLOT ISSUE 2A,opportunistic_benefits,in_progress,19960,"""No/against""",315,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,395,395
City of Canon City Ballot Question 2B,opportunistic_benefits,in_progress,19960,"""Yes/for""",3201,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,39,39
City of Castle Pines Ballot Question 2H,opportunistic_benefits,in_progress,358525,"""Yes/for""",1218,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1833,1833
City of Castle Pines Ballot Question 2I,opportunistic_benefits,in_progress,358525,"""Jeffrey  Huff"",""Douglas  Gilbert"",""Geoff  Blue""",6,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,371996,371996
City of Cripple Creek Ballot Issue 2A,opportunistic_benefits,ended,13041,"""Yes/for""",254,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,320,320
City of Dacono Ballot Issue 2C,opportunistic_benefits,in_progress,250568,"""No/against""",221,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,7059,7059
City of Dacono Ballot Question 2D,opportunistic_benefits,in_progress,250568,"""Yes/for""",594,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,2627,2627
City of Dacono Ballot Question 2E,opportunistic_benefits,in_progress,250568,"""Yes/for""",122,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,12787,12787
City of Dacono Ballot Question 2F,opportunistic_benefits,in_progress,250568,"""No/against""",619,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,2521,2521
City of Dacono Ballot Question 2G,opportunistic_benefits,in_progress,250568,"""No/against""",895,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,1743,1743
City of Dacono Council Members,opportunistic_benefits,in_progress,250568,"""Jackie L. Thomas"",""Robin A. Dunlap""",63,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,24761,24761
City of Dacono Mayor,opportunistic_benefits,in_progress,250568,"""Joe Baker""",171,0.05000000,0,0,0,0,0,0,0,1.03905000,0.00,9123,9123
