"County","Tabulator ID","Batch",". of Ballots","Location"
"Douglas","1","PRI-0362",100,51
"Douglas","1","PRI-0363",100,47
"Douglas","1","PRI-0364",100,54
"Douglas","1","PRI-0365",100,46
"Douglas","1","PRI-0366",100,46
"Douglas","1","PRI-0367",100,46
"Douglas","1","PRI-0368",100,54
"Douglas","1","PRI-0369",100,47
"Douglas","1","PRI-0370",100,47
"Douglas","1","PRI-0371",100,47
"Douglas","1","PRI-0372",100,54
"Douglas","1","PRI-0373",100,51
"Douglas","1","PRI-0374",100,47
"Douglas","1","PRI-0375",100,47
"Douglas","1","PRI-0376",100,54
"Douglas","1","PRI-0377",100,51
"Douglas","1","PRI-0378",100,54
"Douglas","1","PRI-0379",100,51
"Douglas","1","PRI-0380",100,60
"Douglas","1","PRI-0381",100,54
"Douglas","1","PRI-0382",99,57
"Douglas","1","PRI-0383",100,57
"Douglas","1","PRI-0384",100,54
"Douglas","1","PRI-0385",100,54
"Douglas","1","PRI-0386",100,57
"Douglas","1","PRI-0387",100,57
"Douglas","1","PRI-0388",100,57
"Douglas","1","PRI-0389",100,60
"Douglas","1","PRI-0390",100,57
"Douglas","1","PRI-0391",100,57
"Douglas","1","PRI-0392",100,54
"Douglas","1","PRI-0393",62,60
"Douglas","1","PRI-0394",100,57
"Douglas","1","PRI-0395",100,57
"Douglas","1","PRI-0396",21,57
"Douglas","1","PRI-0397",100,57
"Douglas","1","PRI-0398",100,47
"Douglas","1","PRI-0399",100,60
"Douglas","1","PRI-0400",100,47
"Douglas","1","PRI-0401",43,51
"Douglas","1","PRI-0402",34,59
"Douglas","1","PRI-0403",86,63
"Douglas","1","PRI-0404",200,96
"Douglas","1","PRI-0405",200,94
"Douglas","1","PRI-0406",160,96
"Douglas","1","PRI-0407",171,94
"Douglas","1","PRI-0477",100,47
"Douglas","1","PRI-0478",85,60
"Douglas","1","PRI-0479",100,62
"Douglas","1","PRI-0480",100,60
"Douglas","1","PRI-0481",100,54
"Douglas","1","PRI-0482",100,54
"Douglas","1","PRI-0483",100,49
"Douglas","1","PRI-0484",100,60
"Douglas","1","PRI-0485",100,60
"Douglas","1","PRI-0486",100,54
"Douglas","1","PRI-0487",100,62
"Douglas","1","PRI-0488",58,59
"Douglas","1","PRI-0489",100,60
"Douglas","1","PRI-0490",100,54
"Douglas","1","PRI-0491",100,51
"Douglas","1","PRI-0492",100,57
"Douglas","1","PRI-0493",100,49
"Douglas","1","PRI-0494",100,62
"Douglas","1","PRI-0495",100,57
"Douglas","1","PRI-0496",100,49
"Douglas","1","PRI-0497",100,54
"Douglas","1","PRI-0498",100,54
"Douglas","1","PRI-0499",100,60
"Douglas","1","PRI-0500",100,41
"Douglas","1","PRI-0501",100,49
"Douglas","1","PRI-0502",100,47
"Douglas","1","PRI-0503",100,49
"Douglas","1","PRI-0504",100,58
"Douglas","1","PRI-0505",100,54
"Douglas","1","PRI-0506",100,62
"Douglas","1","PRI-0507",100,49
"Douglas","1","PRI-0508",64,47
"Douglas","1","PRI-0509",100,60
"Douglas","1","PRI-0510",100,46
"Douglas","1","PRI-0511",100,54
"Douglas","1","PRI-0512",100,46
"Douglas","1","PRI-0513",39,60
"Douglas","1","PRI-0514",100,49
"Douglas","1","PRI-0515",100,49
"Douglas","1","PRI-0516",100,54
"Douglas","1","PRI-0517",100,46
"Douglas","1","PRI-0518",52,57
"Douglas","1","PRI-0519",100,49
"Douglas","1","PRI-0520",100,57
"Douglas","1","PRI-0521",100,57
"Douglas","1","PRI-0522",100,54
"Douglas","1","PRI-0523",100,62
"Douglas","1","PRI-0524",97,47
"Douglas","1","PRI-0525",100,46
"Douglas","1","PRI-0526",100,47
"Douglas","1","PRI-0527",100,54
"Douglas","1","PRI-0528",100,54
"Douglas","1","PRI-0529",100,60
"Douglas","1","PRI-0530",100,54
"Douglas","1","PRI-0531",69,60
"Douglas","1","PRI-0532",100,54
"Douglas","1","PRI-0533",100,47
"Douglas","1","PRI-0534",100,54
"Douglas","1","PRI-0535",100,51
"Douglas","1","PRI-0536",100,58
"Douglas","1","PRI-0537",100,47
"Douglas","1","PRI-0538",100,51
"Douglas","1","PRI-0539",100,59
"Douglas","1","PRI-0540",100,60
"Douglas","1","PRI-0541",100,57
