County,Tabulator,Batch,. of Ballots,Location
Douglas,1,PRI-0249,100,13
Douglas,1,PRI-0250,100,67
Douglas,1,PRI-0251,100,11
Douglas,1,PRI-0252,100,41
Douglas,1,PRI-0253,100,11
Douglas,1,PRI-0254,100,25
Douglas,1,PRI-0255,99,14
Douglas,1,PRI-0256,100,13
Douglas,1,PRI-0257,100,41
Douglas,1,PRI-0258,100,13
Douglas,1,PRI-0259,100,67
Douglas,1,PRI-0260,100,13
Douglas,1,PRI-0261,100,27
Douglas,1,PRI-0262,100,13
Douglas,1,PRI-0263,100,13
Douglas,1,PRI-0264,100,67
Douglas,1,PRI-0265,100,43
Douglas,1,PRI-0266,100,25
Douglas,1,PRI-0267,100,27
Douglas,1,PRI-0268,100,13
Douglas,1,PRI-0269,100,13
Douglas,1,PRI-0270,100,43
Douglas,1,PRI-0271,100,67
Douglas,1,PRI-0272,100,67
Douglas,1,PRI-0273,100,27
Douglas,1,PRI-0274,100,43
Douglas,1,PRI-0275,50,43
Douglas,1,PRI-0276,100,67
Douglas,1,PRI-0277,100,67
Douglas,1,PRI-0278,100,13
Douglas,1,PRI-0279,100,43
Douglas,1,PRI-0280,100,43
Douglas,1,PRI-0281,100,13
Douglas,1,PRI-0282,100,67
Douglas,1,PRI-0283,100,67
Douglas,1,PRI-0284,99,41
Douglas,1,PRI-0285,100,67
Douglas,1,PRI-0286,100,27
Douglas,1,PRI-0287,100,27
Douglas,1,PRI-0288,100,43
Douglas,1,PRI-0289,100,27
Douglas,1,PRI-0290,100,27
Douglas,1,PRI-0291,100,13
Douglas,1,PRI-0292,100,13
Douglas,1,PRI-0293,100,43
Douglas,1,PRI-0294,100,67
Douglas,1,PRI-0295,100,13
Douglas,1,PRI-0296,49,70
Douglas,1,PRI-0297,48,16
Douglas,1,PRI-0298,49,72
Douglas,1,PRI-0299,100,43
Douglas,1,PRI-0300,100,43
Douglas,1,PRI-0301,46,67
Douglas,1,PRI-0302,100,67
Douglas,1,PRI-0303,100,14
Douglas,1,PRI-0304,100,27
Douglas,1,PRI-0305,100,68
Douglas,1,PRI-0306,100,43
Douglas,1,PRI-0307,100,43
Douglas,1,PRI-0308,100,28
Douglas,1,PRI-0309,100,45
Douglas,1,PRI-0310,92,14
Douglas,1,PRI-0311,100,27
Douglas,1,PRI-0312,100,70
Douglas,1,PRI-0313,100,68
Douglas,1,PRI-0314,100,70
Douglas,1,PRI-0315,100,43
Douglas,1,PRI-0316,100,43
Douglas,1,PRI-0317,100,43
Douglas,1,PRI-0318,100,68
Douglas,1,PRI-0319,100,67
Douglas,1,PRI-0320,100,68
Douglas,1,PRI-0321,88,27
Douglas,1,PRI-0322,100,43
Douglas,1,PRI-0323,100,27
Douglas,1,PRI-0324,100,67
Douglas,1,PRI-0325,100,14
Douglas,1,PRI-0326,100,45
Douglas,1,PRI-0327,100,68
Douglas,1,PRI-0328,73,27
Douglas,1,PRI-0329,100,27
Douglas,1,PRI-0330,100,27
Douglas,1,PRI-0331,99,13
Douglas,1,PRI-0332,100,68
Douglas,1,PRI-0333,100,27
Douglas,1,PRI-0334,100,43
Douglas,1,PRI-0335,100,67
Douglas,1,PRI-0336,100,68
Douglas,1,PRI-0337,100,68
Douglas,1,PRI-0338,84,68
Douglas,1,PRI-0339,53,45
Douglas,1,PRI-0340,100,68
Douglas,1,PRI-0341,86,13
Douglas,1,PRI-0342,100,14
Douglas,1,PRI-0343,100,68
Douglas,1,PRI-0344,100,43
Douglas,1,PRI-0345,100,14
Douglas,1,PRI-0346,99,14
Douglas,1,PRI-0347,99,14
Douglas,1,PRI-0348,100,14
Douglas,1,PRI-0349,100,68
