County,Tabulator,Batch,# of Cards,Location
Huerfano,102,84,21,Box 4
Huerfano,102,85,17,Box 4
Huerfano,102,86,7,Box 4
Huerfano,102,87,17,Box 4
Huerfano,102,88,9,Box 4
Huerfano,102,89,6,Box 4
Huerfano,102,90,9,Box 4
Huerfano,102,91,8,Box 4
Huerfano,102,92,18,Box 4
Huerfano,102,93,3,Box 4
Huerfano,102,94,4,Box 4
Huerfano,102,95,10,Box 4
Huerfano,102,96,16,Box 4
Huerfano,102,97,23,Box 4
Huerfano,102,98,8,Box 4
Huerfano,102,99,4,Box 4
Huerfano,102,100,12,Box 4
Huerfano,102,101,22,Box 4
Huerfano,102,102,12,Box 4
Huerfano,102,103,10,Box 4
Huerfano,102,104,8,Box 4
Huerfano,102,105,13,Box 4
Huerfano,102,106,9,Box 4
Huerfano,102,107,1,Box 4
Huerfano,102,108,2,Box 5
Huerfano,102,109,3,Box 5
Huerfano,102,110,25,Box 5
Huerfano,102,111,25,Box 5
Huerfano,102,112,6,Box 5
Huerfano,102,113,18,Box 5
Huerfano,102,114,5,Box 5
Huerfano,102,115,9,Box 5
Huerfano,102,116,24,Box 5
Huerfano,102,117,1,Box 5
Huerfano,102,118,25,Box 5
Huerfano,102,119,23,Box 5
Huerfano,102,120,25,Box 5
Huerfano,102,121,24,Box 5
Huerfano,102,122,11,Box 5
Huerfano,102,123,25,Box 5
Huerfano,102,124,20,Box 5
Huerfano,102,125,24,Box 5
Huerfano,102,126,7,Box 5
Huerfano,102,127,25,Box 5
Huerfano,102,128,13,Box 5
Huerfano,102,129,17,Box 5
Huerfano,102,130,25,Box 5
Huerfano,102,131,15,Box 5
Huerfano,102,132,17,Box 5
Huerfano,102,133,19,Box 5
Huerfano,102,134,2,Box 5
Huerfano,102,135,17,Box 6
Huerfano,102,136,24,Box 6
Huerfano,102,137,3,Box 6
Huerfano,102,138,1,Box 6
Huerfano,102,139,7,Box 6
Huerfano,102,140,25,Box 6
Huerfano,102,141,7,Box 6
Huerfano,102,142,24,Box 6
Huerfano,102,143,1,Box 6
Huerfano,102,144,1,Box 6
Huerfano,102,145,20,Box 6
Huerfano,102,146,14,Box 6
Huerfano,102,147,6,Box 6
Huerfano,102,148,3,Box 6
Huerfano,102,149,25,Box 6
Huerfano,102,150,18,Box 6
Huerfano,102,151,8,Box 6
Huerfano,102,152,7,Box 6
Huerfano,102,153,25,Box 7
Huerfano,102,154,25,Box 7
Huerfano,102,155,1,Box 7
Huerfano,102,156,20,Box 7
Huerfano,102,157,10,Box 7
Huerfano,102,158,17,Box 7
Huerfano,102,159,15,Box 7
Huerfano,102,160,8,Box 7
Huerfano,102,161,10,Box 7
Huerfano,102,162,12,Box 7
Huerfano,102,163,16,Box 7
Huerfano,102,164,1,Box 7
Huerfano,102,165,3,Box 7
Huerfano,102,166,2,Box 7
Huerfano,102,167,25,Box 7
Huerfano,102,168,8,Box 7
Huerfano,102,169,17,Box 7
Huerfano,102,170,6,Box 7
Huerfano,102,171,2,Box 7
Huerfano,102,172,14,Box 8
Huerfano,102,173,11,Box 8
Huerfano,102,174,22,Box 8
Huerfano,102,175,10,Box 8
Huerfano,102,176,22,Box 8
Huerfano,102,177,14,Box 8
Huerfano,102,178,7,Box 8
Huerfano,102,179,2,Box 8
Huerfano,102,180,24,Box 8
Huerfano,102,181,8,Box 9
Huerfano,102,182,2,Box 9
Huerfano,102,183,1,Box 9
