County,Tabulator ID,Batch,# of Ballot Cards,Location/Box #
MESA,402,4325,7,413
MESA,402,4326,98,413
MESA,402,4327,100,413
MESA,402,4328,100,413
MESA,402,4329,16,413
MESA,402,4330,49,413
MESA,402,4331,8,413
MESA,402,4332,100,413
MESA,402,4333,4,413
MESA,402,4334,100,413
MESA,402,4335,100,413
MESA,402,4336,100,413
MESA,402,4337,100,413
MESA,402,4338,100,413
MESA,402,4339,100,413
MESA,402,4340,100,413
MESA,402,4341,42,413
MESA,402,4342,100,413
MESA,402,4343,100,414
MESA,402,4344,100,414
MESA,402,4345,100,414
MESA,402,4346,100,414
MESA,402,4347,84,414
MESA,402,4348,100,414
MESA,402,4349,100,414
MESA,402,4350,98,414
MESA,402,4351,99,414
MESA,402,4352,99,414
MESA,402,4353,97,414
MESA,402,4354,99,414
MESA,402,4355,99,414
MESA,402,4356,100,414
MESA,402,4357,99,414
MESA,402,4358,99,414
MESA,402,4359,97,414
MESA,402,4360,100,414
MESA,402,4361,96,414
MESA,402,4362,100,414
MESA,402,4363,135,415
MESA,402,4364,152,415
MESA,402,4365,3,415
MESA,402,4366,100,415
MESA,402,4367,16,415
MESA,402,4368,100,415
MESA,402,4369,100,415
MESA,402,4370,100,415
MESA,402,4371,100,415
MESA,402,4372,20,415
MESA,402,4373,100,415
MESA,402,4374,34,415
MESA,402,4375,100,415
MESA,402,4376,51,415
MESA,402,4377,100,415
MESA,402,4378,100,415
MESA,402,4379,90,415
MESA,402,4380,100,415
MESA,402,4381,6,415
MESA,402,4382,100,415
MESA,402,4383,99,415
MESA,402,4384,43,415
MESA,402,4385,99,415
MESA,402,4386,100,415
MESA,402,4387,99,416
MESA,402,4388,99,416
MESA,402,4389,97,416
MESA,402,4390,98,416
MESA,402,4391,97,416
MESA,402,4392,100,416
MESA,402,4393,26,416
MESA,402,4394,67,416
MESA,402,4395,83,416
MESA,402,4397,98,416
MESA,402,4398,7,416
MESA,402,4399,97,416
MESA,402,4400,3,416
MESA,402,4401,96,416
MESA,402,4402,6,416
MESA,402,4403,99,416
MESA,402,4404,98,416
MESA,402,4405,99,416
MESA,402,4406,100,416
MESA,402,4407,99,416
MESA,402,4408,100,416
MESA,402,4409,99,416
MESA,402,4410,100,416
MESA,402,4411,100,416
MESA,402,4412,99,417
MESA,402,4413,99,417
MESA,402,4414,100,417
MESA,402,4415,100,417
MESA,402,4416,100,417
MESA,402,4417,100,417
MESA,402,4418,100,417
MESA,402,4419,98,417
MESA,402,4420,99,417
MESA,402,4421,99,417
MESA,402,4422,99,417
MESA,402,4423,100,417
MESA,402,4424,99,417
MESA,402,4425,98,417
MESA,402,4426,100,417
MESA,402,4427,100,417
MESA,402,4428,98,417
MESA,402,4429,100,417
MESA,402,4430,100,417
MESA,402,4431,91,418
MESA,402,4432,99,418
MESA,402,4433,100,418
MESA,402,4434,100,418
MESA,402,4435,99,418
MESA,402,4436,96,418
MESA,402,4437,99,418
MESA,402,4438,100,418
MESA,402,4439,100,418
MESA,402,4440,98,418
MESA,402,4441,99,418
MESA,402,4442,100,418
MESA,402,4443,100,418
MESA,402,4444,24,418
MESA,402,4445,100,418
MESA,402,4446,60,418
MESA,402,4447,100,418
MESA,402,4448,99,418
MESA,402,4449,26,418
MESA,402,4450,92,418
MESA,402,4451,6,418
MESA,402,4452,99,418
MESA,402,4453,100,418
MESA,402,4454,99,419
MESA,402,4455,99,419
MESA,402,4456,33,419
MESA,402,4457,100,419
MESA,402,4458,99,419
MESA,402,4459,13,419
MESA,402,4460,99,419
MESA,402,4461,99,419
MESA,402,4462,100,419
MESA,402,4463,101,419
MESA,402,4464,98,419
MESA,402,4465,99,419
MESA,402,4466,100,419
MESA,402,4467,98,419
MESA,402,4468,100,419
MESA,402,4469,100,419
MESA,402,4470,100,419
MESA,402,4471,99,419
MESA,402,4472,70,419
MESA,402,4473,97,419
MESA,402,4474,67,419
MESA,402,4475,99,419
MESA,402,4476,99,420
MESA,402,4477,99,420
MESA,402,4478,99,420
MESA,402,4479,100,420
MESA,402,4480,99,420
MESA,402,4481,10,420
MESA,402,4482,100,420
MESA,402,4483,45,420
MESA,402,4484,100,420
MESA,402,4485,100,420
MESA,402,4486,99,420
MESA,402,4487,100,420
MESA,402,4488,97,420
MESA,402,4489,100,420
MESA,402,4490,100,420
MESA,402,4491,100,420
MESA,402,4492,99,420
MESA,402,4493,100,420
MESA,402,4494,98,420
MESA,402,4495,40,420
MESA,402,4496,100,420
MESA,402,4497,6,420
MESA,402,4498,99,420
MESA,402,4499,58,421
MESA,402,4500,100,421
MESA,402,4501,100,421
MESA,402,4502,100,421
MESA,402,4503,100,421
MESA,402,4504,100,421
MESA,402,4505,100,421
MESA,402,4506,99,421
MESA,402,4507,100,421
MESA,402,4508,100,421
MESA,402,4509,100,421
MESA,402,4510,98,421
MESA,402,4511,96,421
MESA,402,4512,2,421
MESA,402,4513,56,421
MESA,402,4514,100,421
MESA,402,4515,97,421
MESA,402,4516,99,421
MESA,402,4517,17,421
MESA,402,4518,100,421
MESA,402,4519,6,421
MESA,402,4520,100,421
MESA,402,4521,14,421
MESA,402,4522,99,422
MESA,402,4523,18,422
MESA,402,4524,100,422
MESA,402,4525,100,422
MESA,402,4526,100,422
MESA,402,4527,100,422
MESA,402,4528,100,422
MESA,402,4529,39,422
MESA,402,4530,99,422
MESA,402,4531,99,422
MESA,402,4532,100,422
MESA,402,4533,55,422
MESA,402,4534,75,422
MESA,402,4535,100,422
MESA,402,4536,99,422
MESA,402,4537,99,422
MESA,402,4538,85,422
MESA,402,4539,99,422
MESA,402,4540,99,422
MESA,402,4541,100,422
MESA,402,4542,25,422
MESA,402,4543,100,422
MESA,402,4544,100,422
MESA,402,4545,100,423
MESA,402,4546,100,423
MESA,402,4547,100,423
MESA,402,4548,100,423
MESA,402,4549,148,423
MESA,402,4550,112,423
MESA,402,4551,1,423
