County,Tabulator,Batch,# of Ballot Cards,Location
Jefferson,101,69,200,73
Jefferson,101,70,200,73
Jefferson,109,78,200,74
Jefferson,109,79,200,74
Jefferson,109,80,300,74
Jefferson,109,81,200,74
Jefferson,109,82,200,74
Jefferson,109,83,200,74
Jefferson,109,84,230,74
Jefferson,103,43,200,75
Jefferson,103,44,200,75
Jefferson,103,45,200,75
Jefferson,103,46,200,75
Jefferson,103,47,200,75
Jefferson,103,48,200,75
Jefferson,103,49,200,75
Jefferson,105,36,199,76
Jefferson,105,37,200,76
Jefferson,105,38,200,76
Jefferson,105,39,200,76
Jefferson,105,40,200,76
Jefferson,105,41,200,76
Jefferson,105,42,199,76
Jefferson,102,29,200,77
Jefferson,102,30,221,77
Jefferson,102,31,200,77
Jefferson,102,32,200,77
Jefferson,102,33,200,77
Jefferson,102,34,199,77
Jefferson,102,35,200,77
Jefferson,106,71,199,78
Jefferson,106,72,200,78
Jefferson,106,73,172,78
Jefferson,106,74,200,78
Jefferson,106,75,200,78
Jefferson,106,76,176,78
Jefferson,106,77,200,78
Jefferson,104,71,200,79
Jefferson,104,72,200,79
Jefferson,104,73,200,79
Jefferson,104,74,200,79
Jefferson,104,75,200,79
Jefferson,104,76,147,79
Jefferson,104,77,199,79
Jefferson,110,1,188,80
Jefferson,110,2,186,80
Jefferson,110,3,269,80
Jefferson,110,4,154,80
Jefferson,110,5,146,80
Jefferson,110,6,200,80
Jefferson,110,7,200,80
Jefferson,110,8,225,80
Jefferson,107,85,200,81
Jefferson,107,86,200,81
Jefferson,107,87,200,81
Jefferson,107,88,200,81
Jefferson,107,89,200,81
Jefferson,107,90,200,81
Jefferson,107,91,200,81
Jefferson,109,85,200,82
Jefferson,109,86,200,82
Jefferson,109,87,200,82
Jefferson,109,88,200,82
Jefferson,109,89,200,82
Jefferson,109,90,200,82
Jefferson,109,91,200,82
Jefferson,108,36,200,83
Jefferson,108,37,200,83
Jefferson,108,38,200,83
Jefferson,108,39,200,83
Jefferson,108,40,200,83
Jefferson,108,41,200,83
Jefferson,108,42,203,83
Jefferson,101,71,200,84
Jefferson,101,72,200,84
Jefferson,101,73,200,84
Jefferson,101,74,200,84
Jefferson,101,75,200,84
Jefferson,101,76,200,84
Jefferson,101,77,200,84
Jefferson,103,50,200,85
Jefferson,103,51,200,85
Jefferson,103,52,200,85
Jefferson,103,53,200,85
Jefferson,103,54,200,85
Jefferson,103,55,200,85
Jefferson,103,56,200,85
Jefferson,109,92,200,86
Jefferson,109,93,200,86
Jefferson,109,94,200,86
Jefferson,109,95,200,86
Jefferson,109,96,200,86
Jefferson,109,97,200,86
Jefferson,109,98,200,86
Jefferson,106,78,200,87
Jefferson,106,79,200,87
Jefferson,106,80,200,87
Jefferson,104,113,200,133
Jefferson,104,114,200,133
Jefferson,104,115,200,133
Jefferson,104,116,200,133
Jefferson,104,117,200,133
Jefferson,104,118,200,133
Jefferson,104,119,200,133
Jefferson,106,113,200,134
Jefferson,106,114,200,134
Jefferson,106,115,200,134
Jefferson,106,116,200,134
Jefferson,106,117,200,134
Jefferson,106,118,200,134
Jefferson,106,119,200,134
Jefferson,108,64,200,135
Jefferson,108,65,198,135
Jefferson,108,66,200,135
Jefferson,108,67,200,135
Jefferson,108,68,200,135
Jefferson,108,69,200,135
Jefferson,108,70,199,135
Jefferson,101,113,200,136
Jefferson,101,114,200,136
Jefferson,101,115,200,136
Jefferson,101,116,200,136
Jefferson,101,117,200,136
Jefferson,101,118,199,136
Jefferson,101,119,200,136
Jefferson,109,134,200,137
Jefferson,109,135,200,137
Jefferson,109,136,199,137
Jefferson,109,137,200,137
Jefferson,109,138,200,137
Jefferson,109,139,200,137
Jefferson,109,140,200,137
Jefferson,107,148,200,138
Jefferson,107,149,200,138
Jefferson,107,150,200,138
Jefferson,107,151,200,138
Jefferson,107,152,200,138
Jefferson,107,153,200,138
Jefferson,107,154,200,138
Jefferson,107,155,200,139
Jefferson,107,156,200,139
Jefferson,107,157,200,139
Jefferson,107,158,200,139
Jefferson,107,159,200,139
Jefferson,107,160,200,139
Jefferson,107,161,198,139
Jefferson,101,120,200,140
Jefferson,101,121,200,140
Jefferson,101,122,200,140
Jefferson,101,123,200,140
Jefferson,101,124,200,140
Jefferson,101,125,199,140
Jefferson,101,126,200,140
Jefferson,103,92,180,141
Jefferson,103,93,324,141
Jefferson,103,94,200,141
Jefferson,103,95,200,141
Jefferson,103,96,199,141
Jefferson,103,97,200,141
Jefferson,103,98,100,141
Jefferson,106,120,210,142
Jefferson,106,121,203,142
Jefferson,106,122,200,142
Jefferson,106,123,200,142
Jefferson,106,124,200,142
Jefferson,106,125,218,142
Jefferson,106,126,185,142
Jefferson,106,127,87,142
Jefferson,106,128,50,142
Jefferson,106,81,200,87
Jefferson,106,82,200,87
Jefferson,106,83,230,87
Jefferson,106,84,200,87
Jefferson,109,99,200,88
Jefferson,109,100,200,88
Jefferson,109,101,310,88
Jefferson,109,102,200,88
Jefferson,109,103,200,88
Jefferson,109,104,245,88
Jefferson,109,105,200,88
Jefferson,107,92,200,89
Jefferson,107,93,126,89
Jefferson,107,94,200,89
Jefferson,107,95,200,89
Jefferson,107,96,200,89
Jefferson,107,97,200,89
Jefferson,107,98,200,89
Jefferson,103,57,200,90
Jefferson,103,58,200,90
Jefferson,103,59,200,90
Jefferson,103,60,200,90
Jefferson,103,61,200,90
Jefferson,103,62,200,90
Jefferson,103,63,200,90
Jefferson,101,78,200,91
Jefferson,101,79,200,91
Jefferson,101,80,200,91
Jefferson,101,81,200,91
Jefferson,101,82,200,91
Jefferson,101,83,200,91
Jefferson,101,84,200,91
Jefferson,107,99,200,92
Jefferson,107,100,200,92
Jefferson,107,101,200,92
Jefferson,107,102,199,92
Jefferson,107,103,200,92
Jefferson,107,104,200,92
Jefferson,107,105,200,92
Jefferson,102,36,200,93
Jefferson,102,37,200,93
Jefferson,102,38,200,93
Jefferson,102,39,200,93
Jefferson,102,40,200,93
Jefferson,102,41,200,93
Jefferson,102,42,200,93
Jefferson,106,85,200,94
Jefferson,106,86,200,94
Jefferson,106,87,200,94
Jefferson,106,88,200,94
Jefferson,106,89,200,94
Jefferson,106,90,200,94
