County,Tabulator,Batch,# of Cards,Location
Huerfano,102,90,25,Box 4
Huerfano,102,91,4,Box 4
Huerfano,102,92,25,Box 4
Huerfano,102,93,24,Box 4
Huerfano,102,94,25,Box 4
Huerfano,102,95,3,Box 4
Huerfano,102,96,17,Box 4
Huerfano,102,97,2,Box 4
Huerfano,102,98,16,Box 4
Huerfano,102,99,2,Box 4
Huerfano,102,100,6,Box 4
Huerfano,102,101,3,Box 4
Huerfano,102,102,25,Box 4
Huerfano,102,103,3,Box 4
Huerfano,102,104,4,Box 4
Huerfano,102,105,6,Box 4
Huerfano,102,106,1,Box 4
Huerfano,102,107,18,Box 5
Huerfano,102,108,24,Box 5
Huerfano,102,109,25,Box 5
Huerfano,102,110,14,Box 5
Huerfano,102,111,25,Box 5
Huerfano,102,112,16,Box 5
Huerfano,102,113,2,Box 5
Huerfano,102,114,25,Box 5
Huerfano,102,115,23,Box 5
Huerfano,102,116,25,Box 5
Huerfano,102,117,25,Box 5
Huerfano,102,118,25,Box 5
Huerfano,102,119,2,Box 5
Huerfano,102,120,8,Box 5
Huerfano,102,121,2,Box 5
Huerfano,102,122,22,Box 5
Huerfano,102,123,22,Box 5
Huerfano,102,124,25,Box 5
Huerfano,102,125,13,Box 5
Huerfano,102,126,1,Box 6
Huerfano,102,127,25,Box 6
Huerfano,102,128,25,Box 6
Huerfano,102,129,25,Box 6
Huerfano,102,130,25,Box 6
Huerfano,102,131,25,Box 6
Huerfano,102,132,24,Box 6
Huerfano,102,133,1,Box 6
Huerfano,102,134,3,Box 6
Huerfano,102,135,1,Box 6
Huerfano,102,136,24,Box 6
Huerfano,102,137,25,Box 6
Huerfano,102,138,25,Box 6
Huerfano,102,139,25,Box 6
Huerfano,102,140,22,Box 6
Huerfano,102,141,1,Box 6
Huerfano,102,142,2,Box 6
Huerfano,102,143,25,Box 6
Huerfano,102,144,4,Box 6
Huerfano,102,145,25,Box 6
Huerfano,102,146,7,Box 6
Huerfano,102,147,1,Box 6
Huerfano,102,148,5,Box 6
Huerfano,102,149,1,Box 6
Huerfano,102,150,25,Box 7
Huerfano,102,151,12,Box 7
Huerfano,102,152,1,Box 7
Huerfano,102,153,25,Box 7
Huerfano,102,154,25,Box 7
Huerfano,102,155,11,Box 7
Huerfano,102,156,25,Box 7
Huerfano,102,157,24,Box 7
Huerfano,102,158,3,Box 7
Huerfano,102,159,25,Box 7
Huerfano,102,160,22,Box 7
Huerfano,102,161,25,Box 7
Huerfano,102,162,25,Box 7
Huerfano,102,163,25,Box 7
Huerfano,102,164,24,Box 7
Huerfano,102,165,4,Box 7
Huerfano,102,166,25,Box 8
Huerfano,102,167,22,Box 8
Huerfano,102,168,25,Box 8
Huerfano,102,169,25,Box 8
Huerfano,102,170,19,Box 8
Huerfano,102,171,6,Box 8
Huerfano,102,172,3,Box 8
Huerfano,102,173,25,Box 8
Huerfano,102,174,14,Box 8
Huerfano,102,175,25,Box 8
Huerfano,102,176,3,Box 8
Huerfano,102,177,8,Box 8
Huerfano,102,178,5,Box 9
Huerfano,102,179,1,Box 9
Huerfano,102,180,1,Box 9
