County,Tabulator,Batch #,# of ballots,Location
Adams,103,52,100,Box 103-4
Adams,103,53,100,Box 103-5
Adams,103,54,100,Box 103-5
Adams,103,55,100,Box 103-5
Adams,103,56,100,Box 103-5
Adams,103,57,100,Box 103-5
Adams,103,58,100,Box 103-5
Adams,103,59,99,Box 103-5
Adams,103,60,100,Box 103-5
Adams,103,61,100,Box 103-5
Adams,103,62,99,Box 103-5
Adams,103,63,100,Box 103-5
Adams,103,64,100,Box 103-5
Adams,103,65,100,Box 103-5
Adams,103,66,100,Box 103-6
Adams,103,67,100,Box 103-6
Adams,103,68,100,Box 103-6
Adams,103,69,100,Box 103-6
Adams,103,70,100,Box 103-6
Adams,103,71,100,Box 103-6
Adams,103,72,100,Box 103-6
Adams,103,73,100,Box 103-6
Adams,103,74,100,Box 103-6
Adams,103,75,100,Box 103-6
Adams,103,76,99,Box 103-6
Adams,103,77,99,Box 103-6
Adams,103,78,100,Box 103-6
Adams,103,79,100,Box 103-7
Adams,103,80,32,Box 103-7
Adams,103,81,37,Box 103-7
Adams,103,82,99,Box 103-7
Adams,103,83,108,Box 103-7
Adams,103,84,100,Box 103-7
Adams,103,85,99,Box 103-7
Adams,103,86,98,Box 103-7
Adams,103,87,100,Box 103-7
Adams,103,88,100,Box 103-7
Adams,103,89,100,Box 103-7
Adams,103,90,100,Box 103-7
Adams,103,91,100,Box 103-7
Adams,103,92,100,Box 103-8
Adams,103,93,99,Box 103-8
Adams,103,94,98,Box 103-8
Adams,103,95,100,Box 103-8
Adams,103,96,98,Box 103-8
Adams,103,97,98,Box 103-8
Adams,103,98,100,Box 103-8
Adams,103,99,100,Box 103-8
Adams,103,100,66,Box 103-8
Adams,103,101,98,Box 103-8
Adams,103,102,100,Box 103-8
Adams,103,103,100,Box 103-8
Adams,103,104,94,Box 103-8
Adams,104,1,100,Box 104-1
Adams,104,2,100,Box 104-1
Adams,104,3,100,Box 104-1
Adams,104,4,39,Box 104-1
Adams,104,5,61,Box 104-1
Adams,104,6,100,Box 104-1
Adams,104,7,100,Box 104-1
Adams,104,8,100,Box 104-1
Adams,104,9,6,Box 104-1
Adams,104,10,99,Box 104-1
Adams,104,11,100,Box 104-1
Adams,104,12,100,Box 104-1
Adams,104,13,100,Box 104-1
Adams,104,14,99,Box 104-1
Adams,104,15,100,Box 104-1
Adams,104,16,100,Box 104-1
Adams,104,17,100,Box 104-1
Adams,104,18,100,Box 104-2
Adams,104,19,100,Box 104-2
Adams,104,20,99,Box 104-2
Adams,104,21,100,Box 104-2
Adams,104,22,100,Box 104-2
Adams,104,23,100,Box 104-2
Adams,104,24,100,Box 104-2
Adams,104,25,100,Box 104-2
Adams,104,26,100,Box 104-2
Adams,104,27,100,Box 104-2
Adams,104,28,96,Box 104-2
Adams,104,29,100,Box 104-2
Adams,104,30,100,Box 104-2
Adams,104,31,100,Box 104-3
Adams,104,32,100,Box 104-3
Adams,104,33,100,Box 104-3
Adams,104,34,99,Box 104-3
Adams,104,35,100,Box 104-3
Adams,104,36,100,Box 104-3
Adams,104,37,100,Box 104-3
Adams,104,38,100,Box 104-3
Adams,104,39,100,Box 104-3
Adams,104,40,100,Box 104-3
Adams,104,41,99,Box 104-3
Adams,104,42,100,Box 104-3
Adams,104,43,100,Box 104-3
Adams,104,44,100,Box 104-4
Adams,104,45,100,Box 104-4
Adams,104,46,100,Box 104-4
Adams,104,47,100,Box 104-4
Adams,104,48,100,Box 104-4
Adams,104,49,100,Box 104-4
Adams,104,50,100,Box 104-4
Adams,104,51,100,Box 104-4
Adams,104,52,99,Box 104-4
Adams,104,53,110,Box 104-4
Adams,104,54,98,Box 104-4
Adams,104,55,100,Box 104-4
Adams,104,56,100,Box 104-4
Adams,104,57,100,Box 104-5
Adams,104,58,100,Box 104-5
Adams,104,59,100,Box 104-5
