County,Tabulator ID,Batch,#of Ballot Cards,Location
Routt,102,260,25,5
Routt,102,261,25,5
Routt,102,262,25,5
Routt,102,263,25,5
Routt,102,264,25,5
Routt,102,265,25,5
Routt,102,266,25,5
Routt,102,267,25,5
Routt,102,268,25,5
Routt,102,269,25,5
Routt,102,270,25,5
Routt,102,271,24,5
Routt,102,272,24,5
Routt,102,273,24,5
Routt,102,274,24,5
Routt,102,275,24,5
Routt,102,276,24,5
Routt,102,277,24,5
Routt,102,278,24,5
Routt,102,279,24,5
Routt,102,280,24,5
Routt,102,281,24,5
Routt,102,282,23,5
Routt,102,283,23,5
Routt,102,284,23,5
Routt,102,285,23,5
Routt,102,286,23,5
Routt,102,287,23,5
Routt,102,288,23,5
Routt,102,289,23,5
Routt,102,290,23,5
Routt,102,291,23,5
Routt,102,292,23,5
Routt,102,293,23,5
Routt,102,294,23,5
Routt,102,295,22,5
Routt,102,296,22,5
Routt,102,297,21,5
Routt,102,298,21,5
Routt,102,299,26,5
Routt,102,300,270,5
Routt,102,301,239,5
Routt,102,302,25,6
Routt,102,303,25,6
Routt,102,304,25,6
Routt,102,305,25,6
Routt,102,306,24,6
Routt,102,307,25,6
Routt,102,308,25,6
Routt,102,309,25,6
Routt,102,310,25,6
Routt,102,311,25,6
Routt,102,312,25,6
Routt,102,313,25,6
Routt,102,314,25,6
Routt,102,315,25,6
Routt,102,316,25,6
Routt,102,317,24,6
Routt,102,318,24,6
Routt,102,319,24,6
Routt,102,320,24,6
Routt,102,321,24,6
Routt,102,322,24,6
Routt,102,323,23,6
Routt,102,324,24,6
Routt,102,325,23,6
Routt,102,326,22,6
Routt,102,327,17,6
Routt,102,328,28,6
Routt,102,329,9,6
Routt,102,330,25,6
Routt,102,331,25,6
Routt,102,332,25,6
Routt,102,333,25,6
Routt,102,334,25,6
Routt,102,335,25,6
Routt,102,336,25,6
Routt,102,337,25,6
Routt,102,338,25,6
Routt,102,339,24,6
Routt,102,340,24,6
Routt,102,341,24,6
Routt,102,342,24,6
Routt,102,343,24,6
Routt,102,344,24,6
Routt,102,345,24,6
Routt,102,346,23,6
Routt,102,347,23,6
Routt,102,348,23,6
Routt,102,349,23,6
Routt,102,350,22,6
Routt,102,351,22,6
Routt,102,352,25,6
Routt,102,353,25,6
Routt,102,354,25,6
Routt,102,355,25,6
Routt,102,356,25,6
Routt,102,357,25,6
Routt,102,358,25,6
Routt,102,359,24,6
Routt,102,360,24,6
Routt,102,361,24,6
Routt,102,362,24,6
Routt,102,363,24,6
Routt,102,364,24,6
Routt,102,365,24,6
Routt,102,366,24,6
Routt,102,367,23,6
Routt,102,368,23,6
Routt,102,369,23,6
Routt,102,370,22,6
Routt,102,371,22,7
Routt,102,372,21,7
Routt,102,373,23,7
Routt,102,374,29,7
Routt,102,375,35,7
Routt,102,376,25,7
Routt,102,377,25,7
Routt,102,378,25,7
Routt,102,379,25,7
Routt,102,380,25,7
Routt,102,381,25,7
Routt,102,382,25,7
Routt,102,383,25,7
Routt,102,384,25,7
Routt,102,385,24,7
Routt,102,386,24,7
Routt,102,387,24,7
Routt,102,388,23,7
Routt,102,389,23,7
Routt,102,390,23,7
Routt,102,391,23,7
Routt,102,392,15,7
Routt,102,393,8,7
Routt,102,394,25,7
Routt,102,395,25,7
Routt,102,396,25,7
Routt,102,397,25,7
Routt,102,398,25,7
Routt,102,399,24,7
Routt,102,400,24,7
Routt,102,401,24,7
Routt,102,402,24,7
Routt,102,403,24,7
Routt,102,404,24,7
Routt,102,405,24,7
Routt,102,406,23,7
Routt,102,407,22,7
Routt,102,408,24,7
Routt,102,409,30,7
Routt,102,410,72,7
