County,Tabulator,Batch,# of Ballot Cards,Location
Logan,1,246,25,16
Logan,1,247,25,16
Logan,1,248,25,16
Logan,1,249,25,16
Logan,1,250,25,16
Logan,1,251,25,16
Logan,1,252,19,16
Logan,1,253,25,16
Logan,1,254,25,16
Logan,1,255,25,16
Logan,1,256,25,16
Logan,1,257,25,16
Logan,1,258,12,16
Logan,1,259,47,16
Logan,1,260,82,17
