County,Tabulator ID,TrackingId,BatchCount,BallotStorageBox
Douglas,1,COORD-0511,68,61
Douglas,1,COORD-0512,100,61
Douglas,1,COORD-0513,100,61
Douglas,1,COORD-0514,100,64
Douglas,1,COORD-0515,100,74
Douglas,1,COORD-0516,100,61
Douglas,1,COORD-0517,100,74
Douglas,1,COORD-0518,100,64
Douglas,1,COORD-0519,100,72
Douglas,1,COORD-0520,100,62
Douglas,1,COORD-0521,100,66
Douglas,1,COORD-0522,100,72
Douglas,1,COORD-0523,100,69
Douglas,1,COORD-0524,100,74
Douglas,1,COORD-0525,100,69
Douglas,1,COORD-0526,100,66
Douglas,1,COORD-0527,100,72
Douglas,1,COORD-0528,99,72
Douglas,1,COORD-0529,100,66
Douglas,1,COORD-0530,100,66
Douglas,1,COORD-0531,100,66
Douglas,1,COORD-0532,100,66
Douglas,1,COORD-0533,100,64
Douglas,1,COORD-0534,100,69
Douglas,1,COORD-0535,100,64
Douglas,1,COORD-0536,100,69
Douglas,1,COORD-0537,100,76
Douglas,1,COORD-0538,100,69
Douglas,1,COORD-0539,100,69
Douglas,1,COORD-0540,100,72
Douglas,1,COORD-0541,100,69
Douglas,1,COORD-0542,100,78
Douglas,1,COORD-0543,100,75
Douglas,1,COORD-0544,100,66
Douglas,1,COORD-0545,100,62
Douglas,1,COORD-0546,100,69
Douglas,1,COORD-0547,100,69
Douglas,1,COORD-0548,100,72
Douglas,1,COORD-0549,100,74
Douglas,1,COORD-0550,100,66
Douglas,1,COORD-0551,100,69
Douglas,1,COORD-0552,99,62
Douglas,1,COORD-0553,100,69
Douglas,1,COORD-0554,100,69
Douglas,1,COORD-0555,100,66
Douglas,1,COORD-0556,100,74
Douglas,1,COORD-0557,100,72
Douglas,1,COORD-0558,100,66
Douglas,1,COORD-0559,100,74
Douglas,1,COORD-0560,100,72
Douglas,1,COORD-0561,100,62
Douglas,1,COORD-0562,100,75
Douglas,1,COORD-0563,100,74
Douglas,1,COORD-0564,99,75
Douglas,1,COORD-0565,100,74
Douglas,1,COORD-0566,100,62
Douglas,1,COORD-0567,99,72
Douglas,1,COORD-0568,100,81
Douglas,1,COORD-0569,100,74
Douglas,1,COORD-0570,100,62
Douglas,1,COORD-0571,100,62
Douglas,1,COORD-0572,100,74
Douglas,1,COORD-0573,100,72
Douglas,1,COORD-0574,99,75
Douglas,1,COORD-0575,100,76
Douglas,1,COORD-0576,100,74
Douglas,1,COORD-0577,75,72
Douglas,1,COORD-0578,100,76
Douglas,1,COORD-0579,100,72
Douglas,1,COORD-0580,100,75
Douglas,1,COORD-0581,100,74
Douglas,1,COORD-0582,100,62
