County,Device,Batch,#of Ballots,Location
Routt,201,182,25,88
Routt,201,183,25,88
Routt,201,184,25,88
Routt,201,185,25,88
Routt,201,186,36,88
Routt,201,187,24,88
Routt,201,188,18,88
Routt,201,189,22,88
Routt,201,190,24,88
Routt,201,191,24,88
Routt,201,192,24,88
Routt,201,193,24,88
Routt,201,194,24,88
Routt,201,195,24,88
Routt,201,196,24,88
Routt,201,197,26,88
Routt,201,198,24,88
Routt,201,199,24,88
Routt,201,200,24,88
Routt,201,201,24,88
Routt,201,202,24,88
Routt,201,203,22,88
Routt,201,204,24,88
Routt,201,205,25,88
Routt,201,206,25,88
Routt,201,207,25,88
Routt,201,208,25,88
Routt,201,209,25,88
Routt,201,210,25,88
Routt,201,211,25,88
Routt,201,212,25,88
Routt,201,213,25,88
Routt,201,214,25,88
Routt,201,215,25,88
Routt,201,216,25,88
Routt,201,217,25,88
Routt,201,218,25,88
Routt,201,219,25,88
Routt,201,220,25,88
Routt,201,221,24,88
Routt,201,222,22,88
Routt,201,223,24,88
Routt,201,224,25,12
Routt,201,225,25,12
Routt,201,226,25,12
Routt,201,227,25,12
Routt,201,228,25,12
Routt,201,229,25,12
Routt,201,230,25,12
Routt,201,231,25,12
Routt,201,232,25,12
Routt,201,233,25,12
Routt,201,234,25,12
Routt,201,235,25,12
Routt,201,236,25,12
Routt,201,237,25,12
Routt,201,238,25,12
Routt,201,239,24,12
Routt,201,240,23,12
Routt,201,241,23,12
Routt,201,242,22,12
Routt,201,243,24,12
Routt,201,244,24,12
Routt,201,245,25,12
Routt,201,246,25,12
Routt,201,247,25,12
Routt,201,248,25,12
Routt,201,249,25,12
Routt,201,250,25,12
Routt,201,251,25,12
Routt,201,252,25,12
Routt,201,253,24,12
Routt,201,254,24,12
Routt,201,255,24,12
Routt,201,256,24,12
Routt,201,257,24,12
Routt,201,258,24,12
Routt,201,259,19,12
Routt,201,260,25,12
Routt,201,261,25,12
Routt,201,262,24,12
Routt,201,263,21,12
Routt,201,264,25,12
Routt,201,265,25,12
Routt,201,266,25,12
Routt,201,267,25,12
Routt,201,268,25,12
Routt,201,269,25,12
Routt,201,270,25,12
Routt,201,271,25,12
Routt,201,272,25,18
Routt,201,273,25,18
Routt,201,274,16,18
Routt,201,275,16,18
Routt,201,276,23,18
Routt,201,277,23,18
Routt,201,278,24,18
Routt,201,279,25,18
Routt,201,280,25,18
Routt,201,281,25,18
Routt,201,282,25,18
Routt,201,283,25,18
Routt,201,284,25,18
Routt,201,285,25,18
Routt,201,286,25,18
Routt,201,287,32,18
Routt,201,288,24,18
Routt,201,289,23,18
Routt,201,290,25,18
Routt,201,291,25,18
Routt,201,292,25,18
Routt,201,293,25,18
Routt,201,294,25,18
Routt,201,295,25,18
Routt,201,296,25,18
Routt,201,297,25,18
Routt,201,298,25,18
Routt,201,299,25,18
Routt,201,300,25,18
Routt,201,301,24,18
Routt,201,302,24,18
Routt,201,303,25,18
Routt,201,304,25,18
Routt,201,305,12,18
Routt,201,306,25,18
Routt,201,307,24,18
Routt,201,308,24,18
Routt,201,309,25,18
Routt,201,310,24,18
Routt,201,311,24,18
Routt,201,312,25,18
Routt,201,313,25,18
Routt,201,314,23,18
Routt,201,315,25,18
Routt,201,316,25,18
Routt,201,317,25,18
Routt,201,318,24,18
Routt,201,319,24,19
Routt,201,320,22,19
Routt,201,321,24,19
Routt,201,322,24,19
Routt,201,323,25,19
Routt,201,324,25,19
Routt,201,325,25,19
Routt,201,326,25,19
Routt,201,327,24,19
Routt,201,328,25,19
Routt,201,329,25,19
Routt,201,330,25,19
Routt,201,331,25,19
Routt,201,332,25,19
Routt,201,333,25,19
Routt,201,334,24,19
Routt,201,335,24,19
Routt,201,336,14,19
Routt,201,337,36,19
Routt,201,338,7,19
Routt,201,339,25,19
Routt,201,340,25,19
Routt,201,341,23,19
Routt,201,342,32,19
Routt,201,343,31,19
Routt,201,344,24,19
Routt,201,345,25,19
Routt,201,346,25,19
Routt,201,347,25,19
Routt,201,348,22,19
Routt,201,349,18,19
Routt,201,350,25,19
Routt,201,351,25,19
Routt,201,352,25,19
Routt,201,353,25,19
Routt,201,354,24,19
Routt,201,355,24,19
Routt,201,356,25,19
Routt,201,357,25,19
Routt,201,358,25,19
Routt,201,359,21,19
Routt,201,360,25,19
Routt,201,361,26,19
Routt,201,362,25,19
Routt,201,363,24,19
Routt,201,364,25,19
Routt,201,365,24,19
Routt,201,366,25,19
Routt,201,367,0,19
Routt,201,368,0,19
Routt,201,369,30,19
Routt,201,370,62,19
