contest_name,audit_reason,random_audit_status,winners_allowed,ballot_card_count,contest_ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,one_vote_under_count,two_vote_under_count,disagreement_count,other_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
Morgan - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,6805,1171,"""Joseph R Biden Jr""",704,0.03000000,72,0,0,0,0,0,0,1.03905000,0,71,71
Otero - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,4882,1420,"""Joseph R Biden Jr""",1034,0.03000000,36,0,0,0,0,0,0,1.03905000,0,35,35
Ouray - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,2339,906,"""Joseph R Biden Jr""",767,0.03000000,24,0,0,0,0,0,0,1.03905000,0,23,23
Park - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,6237,1651,"""Joseph R Biden Jr""",1278,0.03000000,37,0,0,0,0,0,0,1.03905000,0,36,36
Phillips - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,1460,162,"""Joseph R Biden Jr""",97,0.03000000,111,0,0,0,0,0,0,1.03905000,0,110,110
Pitkin - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,4295,2393,"""Joseph R Biden Jr""",1947,0.03000000,18,0,0,0,0,0,0,1.03905000,0,17,17
President of the United States - REP,state_wide_contest,risk_limit_achieved,1,1462727,882836,"""Donald J. Trump""",263829,0.03000000,42,0,0,0,0,0,0,1.03905000,0,41,41
Prowers - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,2980,505,"""Joseph R Biden Jr""",317,0.03000000,70,0,0,0,0,0,0,1.03905000,0,69,69
Pueblo - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,40555,17081,"""Joseph R Biden Jr""",12464,0.03000000,25,0,0,0,0,0,0,1.03905000,0,24,24
Rio Blanco - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,2181,185,"""Joseph R Biden Jr""",139,0.03000000,116,0,0,0,0,0,0,1.03905000,0,115,115
Rio Grande - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,3303,937,"""Joseph R Biden Jr""",681,0.03000000,37,0,0,0,0,0,0,1.03905000,0,36,36
Routt - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,7078,2995,"""Joseph R Biden Jr""",2392,0.03000000,23,0,0,0,0,0,0,1.03905000,0,22,22
Saguache - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,1759,797,"""Joseph R Biden Jr""",544,0.03000000,25,0,0,0,0,0,0,1.03905000,0,24,24
San Miguel - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,2029,1079,"""Joseph R Biden Jr""",837,0.03000000,19,0,0,0,0,0,0,1.03905000,0,18,18
Sedgwick - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,825,132,"""Joseph R Biden Jr""",96,0.03000000,64,0,0,0,0,0,0,1.03905000,0,63,63
Summit - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,7013,3146,"""Joseph R Biden Jr""",2394,0.03000000,23,0,0,0,0,0,0,1.03905000,0,22,22
Teller - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,9245,1941,"""Joseph R Biden Jr""",1493,0.03000000,47,0,0,0,0,0,0,1.03905000,0,46,46
Washington - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,1890,126,"""Joseph R Biden Jr""",85,0.03000000,164,0,0,0,0,0,0,1.03905000,0,163,163
Weld - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,75236,19199,"""Joseph R Biden Jr""",13990,0.03000000,41,0,0,0,0,0,0,1.03905000,0,40,40
Yuma - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,2845,328,"""Joseph R Biden Jr""",178,0.03000000,118,0,0,0,0,0,0,1.03905000,0,117,117
