county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id,audit_reason,discrepancy
Adams,Adams 12 Five Star School District Director District No 1,102-79-44,37,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 09:47:32.070,1228931,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-82-41,35,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 09:48:28.870,1230295,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,102-92-4,32,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 09:53:29.310,1234252,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,103-10-32,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 11:15:02.160,1191145,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,103-15-49,34,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 11:22:55.090,1195008,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,0103-03-29,32,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 11:11:32.830,1185698,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,103-8-77,32,,,YES,uploaded,,2023-11-20 11:12:24.350,1189893,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-104-17,33,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 09:55:03.690,1253712,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-108-14,35,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:00:17.430,1255705,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,104-10-99,37,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:18:47.980,1190416,,FALSE
