County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,,,
Eagle,101,438,25,18,,,,,,,,
Eagle,101,439,22,18,,,,,,,,
Eagle,101,440,25,18,,,,,,,,
Eagle,101,441,21,18,,,,,,,,
Eagle,101,442,25,18,,,,,,,,
Eagle,101,443,17,19,,,,,,,,
Eagle,101,444,25,19,,,,,,,,
Eagle,101,445,24,19,,,,,,,,
Eagle,101,446,25,19,,,,,,,,
Eagle,101,447,23,19,,,,,,,,
Eagle,101,448,25,19,,,,,,,,
Eagle,101,449,24,19,,,,,,,,
Eagle,101,450,25,19,,,,,,,,
Eagle,101,451,23,19,,,,,,,,
Eagle,101,452,25,19,,,,,,,,
Eagle,101,453,22,19,,,,,,,,
Eagle,101,454,25,19,,,,,,,,
Eagle,101,455,24,19,,,,,,,,
Eagle,101,456,25,19,,,,,,,,
Eagle,101,457,25,19,,,,,,,,
Eagle,101,458,25,19,,,,,,,,
Eagle,101,459,24,19,,,,,,,,
Eagle,101,460,25,19,,,,,,,,
Eagle,101,461,25,19,,,,,,,,
Eagle,101,462,22,19,,,,,,,,
Eagle,101,463,25,19,,,,,,,,
Eagle,101,464,25,19,,,,,,,,
Eagle,101,465,24,19,,,,,,,,
Eagle,101,466,25,19,,,,,,,,
Eagle,101,467,25,20,,,,,,,,
Eagle,101,468,21,20,,,,,,,,
Eagle,101,469,25,20,,,,,,,,
Eagle,101,470,25,20,,,,,,,,
Eagle,101,471,25,20,,,,,,,,
Eagle,101,472,25,20,,,,,,,,
Eagle,101,473,25,20,,,,,,,,
Eagle,101,474,25,20,,,,,,,,
Eagle,101,475,25,20,,,,,,,,
Eagle,101,476,23,20,,,,,,,,
Eagle,101,477,23,20,,,,,,,,
Eagle,101,478,25,20,,,,,,,,
Eagle,101,479,25,20,,,,,,,,
Eagle,101,480,25,20,,,,,,,,
Eagle,101,481,24,20,,,,,,,,
Eagle,101,482,25,20,,,,,,,,
Eagle,101,483,24,20,,,,,,,,
Eagle,101,484,25,20,,,,,,,,
Eagle,101,485,25,20,,,,,,,,
Eagle,101,486,25,20,,,,,,,,
Eagle,101,487,22,20,,,,,,,,
Eagle,101,488,25,20,,,,,,,,
Eagle,101,489,24,20,,,,,,,,
Eagle,101,490,25,20,,,,,,,,
Eagle,101,491,21,21,,,,,,,,
Eagle,101,492,25,21,,,,,,,,
Eagle,101,493,25,21,,,,,,,,
Eagle,101,494,25,21,,,,,,,,
Eagle,101,495,23,21,,,,,,,,
Eagle,101,496,25,21,,,,,,,,
Eagle,101,497,25,21,,,,,,,,
Eagle,101,498,25,21,,,,,,,,
Eagle,101,499,23,21,,,,,,,,
Eagle,101,500,25,21,,,,,,,,
Eagle,101,501,25,21,,,,,,,,
Eagle,101,502,25,21,,,,,,,,
Eagle,101,503,22,21,,,,,,,,
Eagle,101,504,25,21,,,,,,,,
Eagle,101,505,20,21,,,,,,,,
Eagle,101,506,25,21,,,,,,,,
Eagle,101,507,22,21,,,,,,,,
Eagle,101,508,25,21,,,,,,,,
Eagle,101,509,24,21,,,,,,,,
Eagle,101,510,25,21,,,,,,,,
Eagle,101,511,24,21,,,,,,,,
Eagle,101,512,25,21,,,,,,,,
Eagle,101,513,23,22,,,,,,,,
Eagle,101,514,25,22,,,,,,,,
Eagle,101,515,24,22,,,,,,,,
Eagle,101,516,25,22,,,,,,,,
Eagle,101,517,23,22,,,,,,,,
Eagle,101,518,25,22,,,,,,,,
Eagle,101,519,24,22,,,,,,,,
Eagle,101,520,25,22,,,,,,,,
Eagle,101,521,25,22,,,,,,,,
Eagle,101,522,25,22,,,,,,,,
Eagle,101,523,23,22,,,,,,,,
Eagle,101,524,25,22,,,,,,,,
Eagle,101,525,24,22,,,,,,,,
Eagle,101,526,25,22,,,,,,,,
Eagle,101,527,23,22,,,,,,,,
Eagle,101,528,25,22,,,,,,,,
Eagle,101,529,25,22,,,,,,,,
Eagle,101,530,25,22,,,,,,,,
Eagle,101,531,23,22,,,,,,,,
Eagle,101,532,25,22,,,,,,,,
Eagle,101,533,25,22,,,,,,,,
Eagle,101,534,24,22,,,,,,,,
Eagle,101,535,23,22,,,,,,,,
Eagle,101,536,25,22,,,,,,,,
Eagle,101,537,23,23,,,,,,,,
Eagle,101,538,25,23,,,,,,,,
Eagle,101,539,22,23,,,,,,,,
Eagle,101,540,25,23,,,,,,,,
Eagle,101,541,24,23,,,,,,,,
Eagle,101,542,25,23,,,,,,,,
Eagle,101,543,24,23,,,,,,,,
Eagle,101,544,25,23,,,,,,,,
Eagle,101,545,23,23,,,,,,,,
Eagle,101,546,25,23,,,,,,,,
Eagle,101,547,23,23,,,,,,,,
Eagle,101,548,25,23,,,,,,,,
Eagle,101,549,23,23,,,,,,,,
Eagle,101,550,25,23,,,,,,,,
Eagle,101,551,25,23,,,,,,,,
Eagle,101,552,25,23,,,,,,,,
Eagle,101,553,22,23,,,,,,,,
Eagle,101,554,25,23,,,,,,,,
Eagle,101,555,24,23,,,,,,,,
Eagle,101,556,25,23,,,,,,,,
Eagle,101,557,24,23,,,,,,,,
Eagle,101,558,25,23,,,,,,,,
