County,Tabulator ID,Batch #,# of Ballots Cards,Location
Morgan,102,205,49,Box 13
Morgan,102,206,50,Box 13
Morgan,102,207,50,Box 13
Morgan,102,208,26,Box 13
Morgan,102,209,50,Box 13
Morgan,102,210,50,Box 13
Morgan,102,211,50,Box 13
Morgan,102,212,46,Box 13
Morgan,102,213,50,Box 13
Morgan,102,214,50,Box 13
Morgan,102,215,65,Box 13
Morgan,102,216,50,Box 13
Morgan,102,217,50,Box 13
Morgan,102,218,55,Box 13
Morgan,102,219,50,Box 13
Morgan,102,220,50,Box 13
Morgan,102,221,23,Box 13
Morgan,102,222,50,Box 14
Morgan,102,223,71,Box 14
Morgan,102,224,50,Box 14
Morgan,102,225,50,Box 14
Morgan,102,226,50,Box 14
Morgan,102,227,35,Box 14
Morgan,102,228,50,Box 14
Morgan,102,229,50,Box 14
Morgan,102,230,50,Box 14
Morgan,102,231,22,Box 14
Morgan,102,232,50,Box 14
Morgan,102,233,50,Box 14
Morgan,102,234,30,Box 14
Morgan,102,235,50,Box 14
Morgan,102,236,55,Box 14
Morgan,102,237,50,Box 14
Morgan,102,238,50,Box 14
Morgan,102,239,42,Box 14
Morgan,102,240,50,Box 14
Morgan,102,241,50,Box 14
Morgan,102,242,57,Box 14
Morgan,102,243,50,Box 14
Morgan,102,244,50,Box 14
Morgan,102,245,69,Box 14
Morgan,102,246,50,Box 14
Morgan,102,247,50,Box 14
Morgan,102,248,43,Box 14
Morgan,102,249,50,Box 15
Morgan,102,250,50,Box 15
Morgan,102,251,30,Box 15
Morgan,102,252,50,Box 15
Morgan,102,253,58,Box 15
Morgan,102,254,50,Box 15
Morgan,102,255,50,Box 15
Morgan,102,256,36,Box 15
Morgan,102,257,50,Box 15
Morgan,102,258,50,Box 15
Morgan,102,259,42,Box 15
Morgan,102,260,50,Box 15
Morgan,102,261,50,Box 15
Morgan,102,262,19,Box 15
Morgan,102,263,50,Box 15
Morgan,102,264,50,Box 15
Morgan,102,265,50,Box 15
Morgan,102,266,38,Box 15
Morgan,102,267,57,Box 15
Morgan,102,268,68,Box 15
Morgan,102,269,50,Box 16
Morgan,102,270,50,Box 16
Morgan,102,271,50,Box 16
Morgan,102,272,50,Box 16
Morgan,102,273,50,Box 16
Morgan,102,274,50,Box 16
Morgan,102,275,50,Box 16
Morgan,102,276,50,Box 16
Morgan,102,277,50,Box 16
Morgan,102,278,50,Box 16
Morgan,102,279,47,Box 16
Morgan,102,280,50,Box 16
Morgan,102,281,50,Box 16
Morgan,102,282,50,Box 16
Morgan,102,283,50,Box 16
Morgan,102,284,50,Box 16
Morgan,102,285,50,Box 16
Morgan,102,286,32,Box 16
Morgan,102,287,67,Box 16
Morgan,102,288,50,Box 16
Morgan,102,289,50,Box 16
Morgan,102,290,51,Box 16
