County,Tabulator,Batch,# of cards,Location
Huerfano,102,229,1,Box 7
Huerfano,102,230,1,Box 7
Huerfano,102,231,1,Box 7
Huerfano,102,232,2,Box 7
Huerfano,102,233,2,Box 7
Huerfano,102,234,1,Box 7
Huerfano,102,235,3,Box 7
Huerfano,102,236,7,Box 7
Huerfano,102,237,11,Box 7
Huerfano,102,238,4,Box 7
Huerfano,102,239,9,Box 7
Huerfano,102,240,12,Box 7
Huerfano,102,241,1,Box 7
Huerfano,102,242,1,Box 7
Huerfano,102,243,5,Box 7
Huerfano,102,244,2,Box 7
Huerfano,102,245,3,Box 7
Huerfano,102,246,7,Box 7
Huerfano,102,247,17,Box 7
Huerfano,102,248,7,Box 7
Huerfano,102,249,2,Box 7
Huerfano,102,250,8,Box 7
Huerfano,102,251,3,Box 7
Huerfano,102,252,8,Box 7
Huerfano,102,253,3,Box 7
Huerfano,102,254,9,Box 8
Huerfano,102,255,7,Box 8
Huerfano,102,256,7,Box 8
Huerfano,102,257,1,Box 8
Huerfano,102,258,8,Box 8
Huerfano,102,259,7,Box 8
Huerfano,102,260,4,Box 8
Huerfano,102,261,9,Box 8
Huerfano,102,262,4,Box 8
Huerfano,102,263,9,Box 8
Huerfano,102,264,1,Box 8
Huerfano,102,265,5,Box 8
Huerfano,102,266,3,Box 8
Huerfano,102,267,5,Box 8
Huerfano,102,268,3,Box 8
Huerfano,102,269,26,Box 8
Huerfano,102,270,7,Box 8
Huerfano,102,271,7,Box 8
Huerfano,102,272,16,Box 8
Huerfano,102,273,21,Box 8
Huerfano,102,274,4,Box 8
Huerfano,102,275,1,Box 8
Huerfano,102,276,1,Box 8
Huerfano,102,277,1,Box 8
Huerfano,102,278,7,Box 8
Huerfano,102,279,4,Box 8
Huerfano,102,280,11,Box 8
Huerfano,102,281,7,Box 8
Huerfano,102,282,1,Box 8
Huerfano,102,283,2,Box 8
Huerfano,102,284,2,Box 8
Huerfano,102,285,2,Box 9
Huerfano,102,286,5,Box 9
Huerfano,102,287,19,Box 9
Huerfano,102,288,3,Box 9
Huerfano,102,289,15,Box 9
Huerfano,102,290,24,Box 9
Huerfano,102,291,11,Box 9
Huerfano,102,292,8,Box 9
Huerfano,102,293,10,Box 9
Huerfano,102,294,11,Box 9
Huerfano,102,295,7,Box 9
Huerfano,102,296,1,Box 9
Huerfano,102,297,9,Box 9
Huerfano,102,298,3,Box 9
Huerfano,102,299,10,Box 9
Huerfano,102,300,7,Box 9
Huerfano,102,301,4,Box 9
Huerfano,102,302,1,Box 9
Huerfano,102,303,14,Box 9
Huerfano,102,304,1,Box 9
Huerfano,102,305,2,Box 9
Huerfano,102,306,3,Box 9
Huerfano,102,307,8,Box 9
Huerfano,102,308,8,Box 9
Huerfano,102,309,1,Box 9
Huerfano,102,310,1,Box 9
Huerfano,102,311,8,Box 9
Huerfano,102,312,1,Box 9
Huerfano,102,313,3,Box 9
Huerfano,102,314,1,Box 9
Huerfano,102,315,1,Box 9
Huerfano,102,316,3,Box 9
Huerfano,102,317,5,Box 9
Huerfano,102,318,7,Box 9
Huerfano,102,319,2,Box 9
Huerfano,102,320,2,Box 9
Huerfano,102,321,4,Box 9
Huerfano,102,322,4,Box 9
Huerfano,102,323,4,Box 9
Huerfano,102,324,4,Box 9
Huerfano,102,325,1,Box 9
Huerfano,102,326,1,Box 9
Huerfano,102,327,2,Box 10A
Huerfano,102,328,2,Box 10A
Huerfano,102,329,1,Box 10A
Huerfano,102,330,8,Box 10A
Huerfano,102,331,16,Box 10A
Huerfano,102,332,9,Box 10A
Huerfano,102,333,2,Box 10A
Huerfano,102,334,8,Box 10A
Huerfano,102,335,11,Box 10A
Huerfano,102,336,15,Box 10A
Huerfano,102,337,2,Box 10A
Huerfano,102,338,5,Box 10A
Huerfano,102,339,2,Box 10A
Huerfano,102,340,12,Box 10A
Huerfano,102,341,2,Box 10A
Huerfano,102,342,1,Box 10A
Huerfano,102,343,4,Box 10A
Huerfano,102,344,9,Box 10A
Huerfano,102,345,6,Box 10A
Huerfano,102,346,4,Box 10A
Huerfano,102,347,10,Box 10A
Huerfano,102,348,5,Box 10A
Huerfano,102,349,9,Box 10A
Huerfano,102,350,3,Box 10A
Huerfano,102,351,4,Box 10A
Huerfano,102,352,1,Box 10A
Huerfano,102,353,4,Box 10A
Huerfano,102,354,1,Box 10A
Huerfano,102,355,5,Box 10A
Huerfano,102,356,10,Box 10A
Huerfano,102,357,12,Box 10A
Huerfano,102,358,10,Box 10A
Huerfano,102,359,1,Box 10A
Huerfano,102,360,8,Box 10A
Huerfano,102,361,16,Box 10A
Huerfano,102,362,16,Box 10A
Huerfano,102,363,5,Box 10A
Huerfano,102,364,4,Box 10A
Huerfano,102,365,3,Box 10A
Huerfano,102,366,3,Box 10A
Huerfano,102,367,3,Box 10A
Huerfano,102,368,1,Box 10A
Huerfano,102,369,3,Box 10A
Huerfano,102,370,2,Box 10A
Huerfano,102,371,2,Box 10A
Huerfano,102,372,4,Box 10A
Huerfano,102,373,3,Box 10A
Huerfano,102,374,14,Box 10A
Huerfano,102,375,25,Box 10A
Huerfano,102,376,8,Box 10A
Huerfano,102,377,5,Box 10A
Huerfano,102,378,4,Box 10A
Huerfano,102,379,15,Box 10A
Huerfano,102,380,6,Box 10A
Huerfano,102,381,14,Box 10B
Huerfano,102,382,11,Box 10B
Huerfano,102,383,13,Box 10B
Huerfano,102,384,10,Box 10B
Huerfano,102,385,13,Box 10B
Huerfano,102,386,16,Box 10B
Huerfano,102,387,7,Box 10B
Huerfano,102,388,1,Box 10B
Huerfano,102,389,5,Box 10B
Huerfano,102,390,9,Box 10B
Huerfano,102,391,4,Box 10B
Huerfano,102,392,3,Box 10B
Huerfano,102,393,2,Box 10B
Huerfano,102,394,8,Box 10B
Huerfano,102,395,3,Box 10B
Huerfano,102,396,9,Box 10B
Huerfano,102,397,2,Box 10C
Huerfano,102,398,10,Box 10C
Huerfano,102,399,10,Box 10C
Huerfano,102,400,7,Box 10C
Huerfano,102,401,5,Box 10C
Huerfano,102,402,3,Box 10C
Huerfano,102,403,6,Box 10C
Huerfano,102,404,6,Box 10C
Huerfano,102,405,7,Box 10C
Huerfano,102,406,17,Box 10C
Huerfano,102,407,10,Box 10C
Huerfano,102,408,10,Box 10C
Huerfano,102,409,9,Box 10D
Huerfano,102,410,1,Box 10D
Huerfano,102,411,3,Box 10D
Huerfano,102,412,3,Box 10D
Huerfano,102,413,2,Box 10D
Huerfano,102,414,15,Box 10D
Huerfano,102,415,6,Box 10D
Huerfano,102,416,6,Box 10D
Huerfano,102,417,14,Box 10D
Huerfano,102,418,9,Box 10D
Huerfano,102,419,3,Box 10D
Huerfano,102,420,10,Box 10D
Huerfano,102,421,2,Box 10D
Huerfano,102,422,2,Box 10D
Huerfano,102,423,4,Box 10D
Huerfano,102,424,1,Box 10D
Huerfano,102,425,3,Box 10D
Huerfano,102,426,1,Box 10D
Huerfano,102,427,2,Box 10D
Huerfano,102,428,5,Box 10D
Huerfano,102,429,2,Box 10D
Huerfano,102,430,3,Box 10D
Huerfano,102,431,3,Box 10D
Huerfano,102,432,6,Box 10D
Huerfano,102,433,1,Box 10D
Huerfano,102,434,9,Box 11
Huerfano,102,435,2,Box 11
Huerfano,102,436,2,Box 11
Huerfano,102,437,3,Box 11
Huerfano,102,438,2,Box 11
Huerfano,102,439,12,Box 11
Huerfano,102,440,10,Box 11
Huerfano,102,441,10,Box 11
Huerfano,102,442,6,Box 11
Huerfano,102,443,4,Box 11
Huerfano,102,444,11,Box 11
Huerfano,102,445,3,Box 11
Huerfano,102,446,9,Box 11
Huerfano,102,447,8,Box 11
Huerfano,102,448,3,Box 11
Huerfano,102,449,13,Box 11
Huerfano,102,450,2,Box 11
Huerfano,102,451,7,Box 11
Huerfano,102,452,10,Box 12
Huerfano,102,453,9,Box 12
Huerfano,102,454,2,Box 12
Huerfano,102,455,10,Box 12
Huerfano,102,456,1,Box 12
Huerfano,102,457,3,Box 12
Huerfano,102,458,7,Box 12
Huerfano,102,459,4,Box 12
Huerfano,102,460,5,Box 12
Huerfano,102,461,4,Box 12
Huerfano,102,462,10,Box 12
Huerfano,102,463,2,Box 12
Huerfano,102,464,3,Box 12
Huerfano,102,465,2,Box 12
Huerfano,102,466,4,Box 12
Huerfano,102,467,10,Box 12
Huerfano,102,468,8,Box 12
Huerfano,102,469,5,Box 12
Huerfano,102,470,1,Box 12
Huerfano,102,471,3,Box 12
Huerfano,102,472,3,Box 12
Huerfano,102,473,3,Box 12
Huerfano,102,474,11,Box 12
Huerfano,102,475,10,Box 12
Huerfano,102,476,9,Box 13
Huerfano,102,477,8,Box 13
Huerfano,102,478,1,Box 13
Huerfano,102,479,3,Box 13
Huerfano,102,480,2,Box 13
Huerfano,102,481,2,Box 13
Huerfano,102,482,1,Box 13
Huerfano,102,483,1,Box 13
Huerfano,102,484,7,Box 13
Huerfano,102,485,11,Box 13
Huerfano,102,486,5,Box 13
Huerfano,102,487,6,Box 13
Huerfano,102,488,11,Box 13
Huerfano,102,489,8,Box 13
Huerfano,102,490,7,Box 13
Huerfano,102,491,5,Box 13
Huerfano,102,492,6,Box 13
Huerfano,102,493,6,Box 13
Huerfano,102,494,1,Box 13
Huerfano,102,495,2,Box 13
Huerfano,102,496,3,Box 13
Huerfano,102,497,4,Box 13
Huerfano,102,498,4,Box 13
Huerfano,102,499,4,Box 13
Huerfano,102,500,2,Box 13
Huerfano,102,501,1,Box 13
Huerfano,102,502,2,Box 14
Huerfano,102,503,6,Box 14
Huerfano,102,504,8,Box 14
Huerfano,102,505,3,Box 14
Huerfano,102,506,2,Box 14
Huerfano,102,507,1,Box 14
Huerfano,102,508,8,Box 14
Huerfano,102,509,9,Box 14
Huerfano,102,510,9,Box 14
Huerfano,102,511,2,Box 14
Huerfano,102,512,6,Box 14
Huerfano,102,513,9,Box 14
Huerfano,102,514,14,Box 14
Huerfano,102,515,9,Box 14
Huerfano,102,516,7,Box 15
Huerfano,102,517,10,Box 15
Huerfano,102,518,5,Box 15
Huerfano,102,519,6,Box 15
Huerfano,102,520,5,Box 15
Huerfano,102,521,4,Box 15
Huerfano,102,522,5,Box 15
Huerfano,102,523,5,Box 15
Huerfano,102,524,6,Box 15
Huerfano,102,525,3,Box 16
Huerfano,102,526,3,Box 16
Huerfano,102,527,2,Box 16
Huerfano,102,528,3,Box 16
Huerfano,102,529,1,Box 16
Huerfano,102,530,8,Box 16
Huerfano,102,531,2,Box 16
Huerfano,102,532,8,Box 16
Huerfano,102,533,11,Box 16
Huerfano,102,534,6,Box 16
Huerfano,102,535,1,Box 16
Huerfano,102,536,1,Box 16
Huerfano,102,537,6,Box 16
Huerfano,102,538,9,Box 16
Huerfano,102,539,6,Box 16
Huerfano,102,540,10,Box 16
Huerfano,102,541,7,Box 16
Huerfano,102,542,3,Box 17
Huerfano,102,543,13,Box 17
Huerfano,102,544,4,Box 17
Huerfano,102,545,6,Box 17
Huerfano,102,546,8,Box 17
Huerfano,102,547,1,Box 17
Huerfano,102,548,1,Box 17
Huerfano,102,549,5,Box 17
Huerfano,102,550,3,Box 17
Huerfano,102,551,1,Box 17
Huerfano,102,552,6,Box 18
Huerfano,102,553,6,Box 18
Huerfano,102,554,2,Box 18
Huerfano,102,555,2,Box 18
Huerfano,102,556,11,Box 18
Huerfano,102,557,10,Box 18
Huerfano,102,558,7,Box 18
Huerfano,102,559,7,Box 18
Huerfano,102,560,9,Box 18
Huerfano,102,561,14,Box 18
Huerfano,102,562,8,Box 18
Huerfano,102,563,5,Box 18
Huerfano,102,564,1,Box 18
Huerfano,102,565,7,Box 18
Huerfano,102,566,7,Box 18
Huerfano,102,567,12,Box 18
Huerfano,102,568,2,Box 18
Huerfano,102,569,5,Box 18
Huerfano,102,570,5,Box 18
Huerfano,102,571,2,Box 18
Huerfano,102,572,2,Box 18
Huerfano,102,573,8,Box 19
Huerfano,102,574,23,Box 19
Huerfano,102,575,3,Box 19
Huerfano,102,576,1,Box 19
