County,Tabulator,Batch #,# in Batch,Location
Moffat,102,281,25,Ballot Box 6
Moffat,102,282,25,Ballot Box 6
Moffat,102,283,25,Ballot Box 6
Moffat,102,284,25,Ballot Box 6
Moffat,102,285,25,Ballot Box 6
Moffat,102,286,25,Ballot Box 6
Moffat,102,287,25,Ballot Box 6
Moffat,102,288,25,Ballot Box 6
Moffat,102,289,25,Ballot Box 6
Moffat,102,290,17,Ballot Box 6
Moffat,102,291,13,Ballot Box 6
Moffat,102,292,25,Ballot Box 6
Moffat,102,293,25,Ballot Box 6
Moffat,102,294,25,Ballot Box 6
Moffat,102,295,25,Ballot Box 6
Moffat,102,296,25,Ballot Box 6
Moffat,102,297,25,Ballot Box 6
Moffat,102,298,25,Ballot Box 6
Moffat,102,299,25,Ballot Box 6
Moffat,102,300,25,Ballot Box 6
Moffat,102,301,25,Ballot Box 6
Moffat,102,302,25,Ballot Box 7
Moffat,102,303,25,Ballot Box 7
Moffat,102,304,25,Ballot Box 7
Moffat,102,305,25,Ballot Box 7
Moffat,102,306,2,Ballot Box 7
Moffat,102,307,6,Ballot Box 7
Moffat,102,308,3,Ballot Box 7
Moffat,102,309,11,Ballot Box 7
Moffat,102,310,18,Ballot Box 7
Moffat,102,311,25,Ballot Box 7
Moffat,102,312,24,Ballot Box 7
Moffat,102,313,25,Ballot Box 7
Moffat,102,314,16,Ballot Box 7
Moffat,102,315,6,Ballot Box 7
Moffat,102,316,3,Ballot Box 7
Moffat,102,317,13,Ballot Box 7
Moffat,102,318,1,Ballot Box 7
Moffat,102,319,15,Ballot Box 7
Moffat,102,320,5,Ballot Box 7
