County,Tabulator,Batch,# of Ballots,Locator
Otero,102,231,24,22
Otero,102,232,25,22
Otero,102,233,25,22
Otero,102,234,24,22
Otero,102,235,25,22
Otero,102,236,25,22
Otero,102,237,24,22
Otero,102,238,25,22
Otero,102,239,24,22
Otero,102,240,25,22
Otero,102,241,25,22
Otero,102,242,24,22
Otero,102,243,24,22
Otero,102,244,25,22
Otero,102,245,25,22
Otero,102,246,24,22
Otero,102,247,24,22
Otero,102,248,24,22
Otero,102,249,22,22
Otero,102,250,25,22
Otero,102,251,23,22
Otero,102,252,24,22
Otero,102,253,24,22
Otero,102,254,25,22
Otero,102,255,25,22
Otero,102,256,25,22
Otero,102,257,25,22
Otero,102,258,25,22
Otero,102,259,23,22
Otero,102,260,25,22
Otero,102,261,24,22
Otero,102,262,24,22
Otero,102,263,24,22
Otero,102,264,25,22
Otero,102,265,25,22
Otero,102,266,25,22
Otero,102,267,24,10
Otero,102,268,24,10
Otero,102,269,25,10
Otero,102,270,24,10
Otero,102,271,25,10
Otero,102,272,23,10
Otero,102,273,24,10
Otero,102,274,24,10
Otero,102,275,24,10
Otero,102,276,24,10
Otero,102,277,25,10
Otero,102,278,25,10
Otero,102,279,25,10
Otero,102,280,25,10
Otero,102,281,24,10
Otero,102,282,24,10
Otero,102,283,24,10
Otero,102,284,24,10
Otero,102,285,25,10
Otero,102,286,25,10
Otero,102,287,25,10
Otero,102,288,25,10
Otero,102,289,24,10
Otero,102,290,25,10
Otero,102,291,25,11
Otero,102,292,25,11
Otero,102,293,25,11
Otero,102,294,25,11
Otero,102,295,25,11
Otero,102,296,25,11
Otero,102,297,25,11
Otero,102,298,25,11
Otero,102,299,25,11
Otero,102,300,25,11
Otero,102,301,24,11
Otero,102,302,23,11
Otero,102,303,23,11
Otero,102,304,23,11
Otero,102,305,20,11
Otero,102,306,25,11
Otero,102,307,25,11
Otero,102,308,25,11
Otero,102,309,25,11
Otero,102,310,24,11
Otero,102,311,15,8
Otero,102,312,25,8
Otero,102,313,25,8
Otero,102,314,23,8
Otero,102,315,25,8
Otero,102,316,24,8
Otero,102,317,23,8
Otero,102,318,23,8
Otero,102,319,24,8
Otero,102,320,23,8
Otero,102,321,25,8
Otero,102,322,25,8
Otero,102,323,25,8
Otero,102,324,25,8
Otero,102,325,24,8
Otero,102,326,24,8
Otero,102,327,24,8
Otero,102,328,23,8
Otero,102,329,25,8
Otero,102,330,24,8
Otero,102,331,25,8
Otero,102,332,24,8
Otero,102,333,25,8
Otero,102,334,22,8
Otero,102,335,13,8
