County,Device,Batch,#of Ballots,Location
Routt,201,308,50,99
Routt,201,309,50,99
Routt,201,310,50,99
Routt,201,311,50,99
Routt,201,312,50,99
Routt,201,313,50,99
Routt,201,314,50,95
Routt,201,315,50,95
Routt,201,316,50,95
Routt,201,317,50,95
Routt,201,318,50,95
Routt,201,319,50,95
Routt,201,320,50,95
Routt,201,321,50,95
Routt,201,322,50,95
Routt,201,323,50,95
Routt,201,324,50,95
Routt,201,325,50,95
Routt,201,326,50,95
Routt,201,327,50,95
Routt,201,328,50,95
Routt,201,329,50,95
Routt,201,330,50,95
Routt,201,331,50,95
Routt,201,332,50,95
Routt,201,333,50,95
Routt,201,334,50,95
Routt,201,335,50,95
Routt,201,336,50,95
Routt,201,337,50,95
Routt,201,338,50,95
Routt,201,339,50,95
Routt,201,340,50,95
Routt,201,341,50,133
Routt,201,342,50,133
Routt,201,343,50,133
Routt,201,344,50,133
Routt,201,345,50,133
Routt,201,346,50,133
Routt,201,347,50,133
Routt,201,348,50,133
Routt,201,349,50,133
Routt,201,350,50,133
Routt,201,351,50,133
Routt,201,352,50,133
Routt,201,353,50,133
Routt,201,354,50,133
Routt,201,355,50,133
Routt,201,356,50,133
Routt,201,357,50,133
Routt,201,358,50,133
Routt,201,359,50,133
Routt,201,360,50,133
Routt,201,361,49,133
Routt,201,362,51,133
Routt,201,363,50,133
Routt,201,364,50,133
Routt,201,365,50,133
Routt,201,366,50,133
Routt,201,367,50,88
Routt,201,368,50,88
Routt,201,369,50,88
Routt,201,370,50,88
Routt,201,371,50,88
Routt,201,372,50,88
Routt,201,373,50,88
Routt,201,374,50,88
Routt,201,375,50,88
Routt,201,376,50,88
Routt,201,377,50,88
Routt,201,378,50,88
Routt,201,379,50,88
Routt,201,380,50,88
Routt,201,381,50,88
Routt,201,382,50,88
Routt,201,383,50,88
Routt,201,384,50,88
Routt,201,385,50,88
Routt,201,386,50,88
Routt,201,387,50,88
Routt,201,388,50,88
Routt,201,389,50,88
Routt,201,390,50,88
Routt,201,391,50,88
Routt,201,392,50,88
Routt,201,393,50,88
Routt,201,394,50,88
Routt,201,395,50,15
Routt,201,396,50,15
Routt,201,397,50,15
Routt,201,398,50,15
Routt,201,399,50,15
Routt,201,400,50,15
Routt,201,401,50,15
Routt,201,402,50,15
Routt,201,403,50,15
Routt,201,404,50,15
Routt,201,405,50,15
Routt,201,406,50,15
Routt,201,407,50,15
Routt,201,408,50,15
Routt,201,409,50,15
Routt,201,410,50,15
Routt,201,411,50,15
Routt,201,412,50,15
Routt,201,413,50,15
Routt,201,414,50,15
Routt,201,415,50,15
Routt,201,416,50,15
Routt,201,417,50,15
Routt,201,418,50,15
Routt,201,419,50,15
Routt,201,420,50,15
Routt,201,421,50,15
Routt,201,422,50,15
Routt,201,423,50,27
Routt,201,424,50,27
Routt,201,425,50,27
Routt,201,426,50,27
Routt,201,427,50,27
Routt,201,428,50,27
Routt,201,429,50,27
Routt,201,430,50,27
Routt,201,431,50,27
Routt,201,432,50,27
Routt,201,433,50,27
Routt,201,434,50,27
Routt,201,435,50,27
Routt,201,436,50,27
Routt,201,437,50,27
Routt,201,438,50,27
Routt,201,439,50,27
Routt,201,440,50,27
Routt,201,441,50,27
Routt,201,442,50,27
Routt,201,443,50,27
Routt,201,444,50,27
Routt,201,445,50,27
Routt,201,446,50,27
Routt,201,447,50,27
Routt,201,448,50,27
Routt,201,449,50,27
Routt,201,450,50,27
Routt,201,451,50,10
Routt,201,452,50,10
Routt,201,453,50,10
Routt,201,454,50,10
Routt,201,455,50,10
Routt,201,456,50,10
Routt,201,457,50,10
Routt,201,458,50,10
Routt,201,459,50,10
Routt,201,460,50,10
Routt,201,461,50,10
Routt,201,462,50,10
Routt,201,463,50,10
Routt,201,464,50,10
Routt,201,465,50,10
Routt,201,466,50,10
Routt,201,467,50,10
Routt,201,468,50,10
Routt,201,469,50,10
Routt,201,470,50,10
Routt,201,471,50,10
Routt,201,472,50,10
Routt,201,473,50,10
Routt,201,474,50,10
Routt,201,475,50,10
Routt,201,476,50,10
