County,Tabulator ID,Batch,# of Ballots,Location,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,163,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,164,24,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,165,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,166,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,167,24,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,168,19,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,169,18,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,170,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,171,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,172,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,173,24,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,174,23,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,175,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,176,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,177,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,178,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,179,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,180,25,Box 4,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,181,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,182,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,183,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,184,19,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,185,20,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,186,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,187,23,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,188,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,189,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,190,24,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,191,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,192,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,193,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,194,27,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,195,20,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,196,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,197,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,198,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,199,25,Box 5,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,200,25,Box 5,,,,,,,,,,,,,,,,,,,,,
