2026 Morgan County Primary,5.17.17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),State Senator - District 1 - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 4 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),State Senator - District 1 - REP (Vote For=1),State Representative - District 63 - REP (Vote For=1),Morgan County Commissioner District 2 - REP (Vote For=1),Morgan County Clerk and Recorder - REP (Vote For=1),Morgan County Treasurer - REP (Vote For=1),Morgan County Assessor - REP (Vote For=1),Morgan County Sheriff - REP (Vote For=1),Morgan County Coroner - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,Julie Gonzales,John Hickenlooper,Eileen Laubacher,Write-in,Jenna Preston,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Jamie Jeffery,Sean Vadney,Alex Astley,Mark Baisley,Lauren Boebert,Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-in,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Byron Pelton,Dusty Johnson,Robert W Pennington,Kevin Strauch,Kirstin M Watson,Tim Amen,Dave (David) D. Martin,Mike Dahl,Paul Noël Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,BallotType,DEM,DEM,DEM,,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
29,102,1,40,102-1-40,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
30,102,1,26,102-1-26,02-REP,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,
31,102,1,16,102-1-16,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
32,102,1,6,102-1-6,02-REP,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
33,102,1,47,102-1-47,02-REP,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
34,102,1,46,102-1-46,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
35,102,1,24,102-1-24,02-REP,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
36,102,1,17,102-1-17,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
37,102,1,10,102-1-10,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
38,102,1,45,102-1-45,02-REP,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,,
39,102,1,44,102-1-44,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,
40,102,1,25,102-1-25,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,,
41,102,1,18,102-1-18,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,,
42,102,1,4,102-1-4,02-REP,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,,
43,102,1,39,102-1-39,02-REP,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,
44,102,1,38,102-1-38,02-REP,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,,
