,,,,,,,"United States Senator - DEM (Vote For=1)","United States Senator - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","State Treasurer - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","State Board of Education Member - Congressional District 3 - DEM (Vote For=1)","State Representative - District 59 - DEM (Vote For=1)","La Plata County Commissioner District 1 - DEM (Vote For=1)","La Plata County Treasurer - DEM (Vote For=1)","La Plata County Assessor - DEM (Vote For=1)","La Plata County Sheriff - DEM (Vote For=1)","La Plata County Coroner - DEM (Vote For=1)","Secretary of State (Vote For=1)","Secretary of State (Vote For=1)","United States Senator - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Secretary of State - REP (Vote For=1)","State Treasurer - REP (Vote For=1)","Attorney General - REP (Vote For=1)","Attorney General - REP (Vote For=1)","State Board of Education Member - Congressional District 3 - REP (Vote For=1)","State Representative - District 59 - REP (Vote For=1)","La Plata County Surveyor - REP (Vote For=1)","La Plata County Coroner - REP (Vote For=1)","Governor - UNI (Vote For=1)","Governor - UNI (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)"
,,,,,,,"Julie Gonzales","John Hickenlooper","Alex Kelloff","Dwayne L. Romero","Phil Weiser","Michael Bennet","Amanda Gonzalez","Jessie Danielson","Jeff Bridges","Jena Griswold","David Seligman","Michael Dougherty","Hetal Doshi","Barb Clementi","Katie Stewart","Elizabeth Philbrick","Miles Walsh","Carrie Woodson","Sean Smith","Trever Nyx","Sean Vadney","Alex Astley","Mark Baisley","Ron Hanks","Jeff Hurd","Scott Bottoms","Victor Marx","Barb Kirkmeyer","Write-in","Kelvin ""K-Man"" Wimberly","James Wiley","Kevin Grantham","Michael J. Allen","David Willson","Sherri M Wright","Naomi Riess","Daryl Z Crites","Cathy Lynn Seibel","Paul Noël Fiorino","Jeff Peckman","FOR THE ORDINANCE","AGAINST THE ORDINANCE"
"CvrNumber","TabulatorNum","BatchId","RecordId","ImprintedId","PrecinctPortion","BallotType","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","LBR","LBR","REP","REP","REP","REP","REP","REP",,,"REP","REP","REP","REP","REP","REP","REP","REP","UNI","UNI",,
10413,103,113,22,"103-113-22","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
10414,103,113,9,"103-113-9","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10415,103,113,43,"103-113-43","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10416,103,113,23,"103-113-23","101 (101)","01-DEM",0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,
10417,103,113,10,"103-113-10","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,,,,
10418,103,113,44,"103-113-44","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10419,103,113,24,"103-113-24","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10420,103,113,16,"103-113-16","101 (101)","01-DEM",0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10421,103,113,42,"103-113-42","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10422,103,113,25,"103-113-25","101 (101)","01-DEM",0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
10423,103,113,8,"103-113-8","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10424,103,113,47,"103-113-47","101 (101)","01-DEM",1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10425,103,113,26,"103-113-26","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10426,103,113,5,"103-113-5","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10427,103,113,46,"103-113-46","101 (101)","01-DEM",0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10428,103,113,27,"103-113-27","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10429,103,113,18,"103-113-18","101 (101)","01-DEM",1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10430,103,113,50,"103-113-50","101 (101)","01-DEM",0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10431,103,113,29,"103-113-29","101 (101)","01-DEM",1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10432,103,113,17,"103-113-17","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10433,103,113,49,"103-113-49","101 (101)","01-DEM",0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10434,103,113,30,"103-113-30","101 (101)","01-DEM",1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10435,103,113,6,"103-113-6","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10436,103,113,31,"103-113-31","101 (101)","01-DEM",0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10437,103,113,15,"103-113-15","101 (101)","01-DEM",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10438,103,113,32,"103-113-32","101 (101)","01-DEM",0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10439,103,113,12,"103-113-12","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10440,103,113,33,"103-113-33","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
10441,103,113,14,"103-113-14","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10442,103,113,45,"103-113-45","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,
10443,103,113,34,"103-113-34","101 (101)","01-DEM",0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10444,103,113,3,"103-113-3","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10445,103,113,35,"103-113-35","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10446,103,113,4,"103-113-4","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10447,103,113,36,"103-113-36","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10448,103,113,7,"103-113-7","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10449,103,113,48,"103-113-48","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
10450,103,113,11,"103-113-11","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10451,103,114,40,"103-114-40","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,,,,
10452,103,114,39,"103-114-39","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
10453,103,114,32,"103-114-32","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
10454,103,114,19,"103-114-19","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
10455,103,114,2,"103-114-2","101 (101)","01-DEM",1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10456,103,114,45,"103-114-45","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
10457,103,114,44,"103-114-44","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
10458,103,114,34,"103-114-34","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,,,,
10459,103,114,20,"103-114-20","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10460,103,114,3,"103-114-3","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,
10461,103,114,38,"103-114-38","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
10462,103,114,21,"103-114-21","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10463,103,114,1,"103-114-1","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10464,103,114,42,"103-114-42","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
10465,103,114,22,"103-114-22","101 (101)","01-DEM",1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10466,103,114,6,"103-114-6","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,
10467,103,114,43,"103-114-43","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
10468,103,114,23,"103-114-23","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,,,,
10469,103,114,18,"103-114-18","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
10470,103,114,41,"103-114-41","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
10471,103,114,24,"103-114-24","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
10472,103,114,13,"103-114-13","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
10473,103,114,47,"103-114-47","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
10474,103,114,25,"103-114-25","101 (101)","01-DEM",1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10475,103,114,7,"103-114-7","101 (101)","01-DEM",1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10476,103,114,26,"103-114-26","101 (101)","01-DEM",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
10477,103,114,12,"103-114-12","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10478,103,114,27,"103-114-27","101 (101)","01-DEM",0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10479,103,114,14,"103-114-14","101 (101)","01-DEM",1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,
10480,103,114,49,"103-114-49","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
10481,103,114,28,"103-114-28","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10482,103,114,9,"103-114-9","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
10483,103,114,50,"103-114-50","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
10484,103,114,29,"103-114-29","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,,,,
10485,103,114,10,"103-114-10","101 (101)","01-DEM",0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10486,103,114,46,"103-114-46","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,,,,
10487,103,114,30,"103-114-30","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
10488,103,114,5,"103-114-5","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10489,103,114,48,"103-114-48","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
10490,103,114,31,"103-114-31","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
10491,103,114,17,"103-114-17","101 (101)","01-DEM",1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10492,103,114,33,"103-114-33","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
10493,103,114,15,"103-114-15","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10494,103,114,35,"103-114-35","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,,,,
10495,103,114,8,"103-114-8","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10496,103,114,36,"103-114-36","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
10497,103,114,11,"103-114-11","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10498,103,114,37,"103-114-37","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
10499,103,114,4,"103-114-4","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10500,103,114,16,"103-114-16","101 (101)","01-DEM",1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10501,103,115,40,"103-115-40","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10502,103,115,39,"103-115-39","101 (101)","01-DEM",1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10503,103,115,29,"103-115-29","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10504,103,115,19,"103-115-19","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10505,103,115,6,"103-115-6","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10506,103,115,38,"103-115-38","101 (101)","01-DEM",1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10507,103,115,20,"103-115-20","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10508,103,115,1,"103-115-1","101 (101)","01-DEM",0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10509,103,115,41,"103-115-41","101 (101)","01-DEM",0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10510,103,115,21,"103-115-21","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10511,103,115,11,"103-115-11","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10512,103,115,43,"103-115-43","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10513,103,115,22,"103-115-22","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10514,103,115,3,"103-115-3","101 (101)","01-DEM",1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10515,103,115,42,"103-115-42","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10516,103,115,23,"103-115-23","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10517,103,115,12,"103-115-12","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10518,103,115,44,"103-115-44","101 (101)","01-DEM",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10519,103,115,24,"103-115-24","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10520,103,115,13,"103-115-13","101 (101)","01-DEM",0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10521,103,115,47,"103-115-47","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10522,103,115,25,"103-115-25","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10523,103,115,5,"103-115-5","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10524,103,115,45,"103-115-45","101 (101)","01-DEM",0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10525,103,115,26,"103-115-26","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10526,103,115,9,"103-115-9","101 (101)","01-DEM",0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10527,103,115,46,"103-115-46","101 (101)","01-DEM",0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10528,103,115,27,"103-115-27","101 (101)","01-DEM",1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10529,103,115,4,"103-115-4","101 (101)","01-DEM",0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10530,103,115,50,"103-115-50","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10531,103,115,28,"103-115-28","101 (101)","01-DEM",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10532,103,115,8,"103-115-8","101 (101)","01-DEM",0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10533,103,115,49,"103-115-49","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10534,103,115,30,"103-115-30","101 (101)","01-DEM",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10535,103,115,17,"103-115-17","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10536,103,115,48,"103-115-48","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10537,103,115,31,"103-115-31","101 (101)","01-DEM",1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10538,103,115,14,"103-115-14","101 (101)","01-DEM",0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10539,103,115,32,"103-115-32","101 (101)","01-DEM",1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10540,103,115,16,"103-115-16","101 (101)","01-DEM",0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10541,103,115,33,"103-115-33","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10542,103,115,7,"103-115-7","101 (101)","01-DEM",1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10543,103,115,34,"103-115-34","101 (101)","01-DEM",0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10544,103,115,2,"103-115-2","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10545,103,115,35,"103-115-35","101 (101)","01-DEM",1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10546,103,115,15,"103-115-15","101 (101)","01-DEM",1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10547,103,115,36,"103-115-36","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10548,103,115,18,"103-115-18","101 (101)","01-DEM",0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10549,103,115,37,"103-115-37","101 (101)","01-DEM",1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10550,103,115,10,"103-115-10","101 (101)","01-DEM",1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
10551,103,116,41,"103-116-41","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
10552,103,116,40,"103-116-40","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
10553,103,116,29,"103-116-29","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,
