,,,,,,,"United States Senator - DEM (Vote For=1)","United States Senator - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Representative to the 120th United States Congress - District 3 - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Governor - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","Secretary of State - DEM (Vote For=1)","State Treasurer - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","Attorney General - DEM (Vote For=1)","State Board of Education Member - Congressional District 3 - DEM (Vote For=1)","State Representative - District 59 - DEM (Vote For=1)","La Plata County Commissioner District 1 - DEM (Vote For=1)","La Plata County Treasurer - DEM (Vote For=1)","La Plata County Assessor - DEM (Vote For=1)","La Plata County Sheriff - DEM (Vote For=1)","La Plata County Coroner - DEM (Vote For=1)","Secretary of State (Vote For=1)","Secretary of State (Vote For=1)","United States Senator - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Representative to the 120th United States Congress - District 3 - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Governor - REP (Vote For=1)","Secretary of State - REP (Vote For=1)","State Treasurer - REP (Vote For=1)","Attorney General - REP (Vote For=1)","Attorney General - REP (Vote For=1)","State Board of Education Member - Congressional District 3 - REP (Vote For=1)","State Representative - District 59 - REP (Vote For=1)","La Plata County Surveyor - REP (Vote For=1)","La Plata County Coroner - REP (Vote For=1)","Governor - UNI (Vote For=1)","Governor - UNI (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)","City of Durango Ballot Issue 2A (Vote For=1)"
,,,,,,,"Julie Gonzales","John Hickenlooper","Alex Kelloff","Dwayne L. Romero","Phil Weiser","Michael Bennet","Amanda Gonzalez","Jessie Danielson","Jeff Bridges","Jena Griswold","David Seligman","Michael Dougherty","Hetal Doshi","Barb Clementi","Katie Stewart","Elizabeth Philbrick","Miles Walsh","Carrie Woodson","Sean Smith","Trever Nyx","Sean Vadney","Alex Astley","Mark Baisley","Ron Hanks","Jeff Hurd","Scott Bottoms","Victor Marx","Barb Kirkmeyer","Write-in","Kelvin ""K-Man"" Wimberly","James Wiley","Kevin Grantham","Michael J. Allen","David Willson","Sherri M Wright","Naomi Riess","Daryl Z Crites","Cathy Lynn Seibel","Paul Noël Fiorino","Jeff Peckman","FOR THE ORDINANCE","AGAINST THE ORDINANCE"
"CvrNumber","TabulatorNum","BatchId","RecordId","ImprintedId","PrecinctPortion","BallotType","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","DEM","LBR","LBR","REP","REP","REP","REP","REP","REP",,,"REP","REP","REP","REP","REP","REP","REP","REP","UNI","UNI",,
26,103,1,13,"103-1-13","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,
27,103,1,42,"103-1-42","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
28,103,1,28,"103-1-28","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,,,,
29,103,1,12,"103-1-12","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,,,,
30,103,1,43,"103-1-43","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,
31,103,1,29,"103-1-29","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
32,103,1,6,"103-1-6","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
33,103,1,7,"103-1-7","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,,,,
34,103,1,31,"103-1-31","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,,,,
35,103,1,46,"103-1-46","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,,,,
36,103,1,32,"103-1-32","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
37,103,1,33,"103-1-33","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
38,103,1,11,"103-1-11","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,,,,
39,103,1,35,"103-1-35","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,,,,
40,103,1,18,"103-1-18","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
41,103,1,39,"103-1-39","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,,,,
42,103,1,9,"103-1-9","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,,,,
43,103,1,8,"103-1-8","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,,,,
44,103,1,1,"103-1-1","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,,,,
45,103,1,2,"103-1-2","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,,,,
46,103,1,3,"103-1-3","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,,,,
47,103,1,17,"103-1-17","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,
48,103,1,4,"103-1-4","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
49,103,1,30,"103-1-30","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,,,,
50,103,1,41,"103-1-41","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,,,,
51,103,2,42,"103-2-42","101 (101)","01-DEM",1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
52,103,2,41,"103-2-41","101 (101)","01-DEM",0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
53,103,2,29,"103-2-29","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
54,103,2,19,"103-2-19","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55,103,2,10,"103-2-10","101 (101)","01-DEM",0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
56,103,2,38,"103-2-38","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
57,103,2,37,"103-2-37","101 (101)","01-DEM",0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
58,103,2,30,"103-2-30","101 (101)","03-REP",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,,,,
59,103,2,20,"103-2-20","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
60,103,2,14,"103-2-14","101 (101)","01-DEM",0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
61,103,2,50,"103-2-50","101 (101)","01-DEM",0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
62,103,2,34,"103-2-34","101 (101)","01-DEM",0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
