2026 Weld County Primary Election,5.17.17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 4 - DEM (Vote For=1),Representative to the 120th United States Congress - District 7 - DEM (Vote For=1),Representative to the 120th United States Congress - District 8 - DEM (Vote For=1),Representative to the 120th United States Congress - District 8 - DEM (Vote For=1),Representative to the 120th United States Congress - District 8 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),State Board of Education Member - Congressional District 7 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 7 - DEM (Vote For=1),State Senator - District 1 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Senator - District 25 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 33 - DEM (Vote For=1),State Representative - District 33 - DEM (Vote For=1),State Representative - District 48 - DEM (Vote For=1),State Representative - District 50 - DEM (Vote For=1),State Representative - District 64 - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 4 - REP (Vote For=1),Representative to the 120th United States Congress - District 7 - REP (Vote For=1),Representative to the 120th United States Congress - District 8 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),State Board of Education Member - Congressional District 7 - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),Regent of the University of Colorado - Congressional District 7 - REP (Vote For=1),Regent of the University of Colorado - Congressional District 7 - REP (Vote For=1),State Senator - District 1 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Senator - District 25 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 33 - REP (Vote For=1),State Representative - District 48 - REP (Vote For=1),State Representative - District 50 - REP (Vote For=1),State Representative - District 63 - REP (Vote For=1),State Representative - District 64 - REP (Vote For=1),State Representative - District 65 - REP (Vote For=1),Weld County Commissioner - At-Large - REP (Vote For=1),Weld County Commissioner - District 2 - REP (Vote For=1),Weld County Clerk and Recorder - REP (Vote For=1),Weld County Assessor - REP (Vote For=1),Weld County Sheriff - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
"=""21""","=""101""","=""1""","=""37""","=""101-1-37""",Mail - Major Party,101 (101),01-DEM,0,1,,1,0,0,,,,,0,1,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=""22""","=""101""","=""1""","=""22""","=""101-1-22""",Mail - Major Party,101 (101),07-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,0,1,0,0,0,1,1,1,0,,,,,,,,,,,,,,1,1,,1,1,1,,
"=""23""","=""101""","=""1""","=""13""","=""101-1-13""",Mail - Major Party,101 (101),07-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,0,1,,1,1,1,,
"=""24""","=""101""","=""1""","=""82""","=""101-1-82""",Mail - Major Party,103 (103),03-DEM,0,1,,1,0,0,,,,,0,1,0,1,1,1,0,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=""25""","=""101""","=""1""","=""81""","=""101-1-81""",Mail - Major Party,103 (103),09-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,0,0,1,0,0,1,1,0,1,,,,,1,,,,,,,,,1,1,,1,1,1,,
"=""26""","=""101""","=""1""","=""39""","=""101-1-39""",Mail - Major Party,126 (126),55-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0,1,0,0,0,1,1,1,0,,,,,,,,,,1,,,,,1,,1,1,1,,
"=""27""","=""101""","=""1""","=""23""","=""101-1-23""",Mail - Major Party,101 (101),07-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,0,1,0,0,0,1,1,1,0,,,,,,,,,,,,,,1,1,,1,1,1,,
"=""28""","=""101""","=""1""","=""85""","=""101-1-85""",Mail - Major Party,103 (103),03-DEM,0,1,,1,0,0,,,,,0,1,0,1,1,1,0,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=""29""","=""101""","=""1""","=""84""","=""101-1-84""",Mail - Major Party,103 (103),09-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,0,1,0,0,0,1,1,1,0,,,,,1,,,,,,,,,1,1,,1,1,1,,
"=""30""","=""101""","=""1""","=""63""","=""101-1-63""",Mail - Major Party,126 (126),55-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0,1,0,0,0,1,1,0,1,,,,,,,,,,1,,,,,1,,1,1,1,,
"=""31""","=""101""","=""1""","=""24""","=""101-1-24""",Mail - Major Party,101 (101),01-DEM,0,1,,1,0,0,,,,,0,1,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=""32""","=""101""","=""1""","=""18""","=""101-1-18""",Mail - Major Party,101 (101),07-REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,1,1,,1,1,1,,
