County,Tabulator ID,Batch,# of Ballots,Location
Lake,2,63,10,Red Box 7
Lake,2,64,10,Red Box 7
Lake,2,65,10,Red Box 7
Lake,2,66,10,Red Box 7
Lake,2,67,10,Red Box 7
Lake,2,68,10,Red Box 7
Lake,2,69,10,Red Box 7
Lake,2,70,10,Red Box 7
Lake,2,71,10,Red Box 7
Lake,2,72,10,Red Box 7
Lake,2,73,10,Red Box 7
Lake,2,74,10,Red Box 7
Lake,2,75,10,Red Box 7
Lake,2,76,10,Red Box 7
Lake,2,77,10,Red Box 7
Lake,2,78,10,Red Box 7
Lake,2,79,10,Red Box 7
Lake,2,80,10,Red Box 7
Lake,2,81,10,Red Box 7
Lake,2,82,10,Red Box 7
Lake,2,83,10,Red Box 7
Lake,2,84,10,Red Box 7
Lake,2,85,14,Red Box 7
Lake,2,86,10,Gray Box 1
Lake,2,87,10,Gray Box 1
Lake,2,88,10,Gray Box 1
Lake,2,89,10,Gray Box 1
Lake,2,90,10,Gray Box 1
Lake,2,91,10,Gray Box 1
Lake,2,92,10,Gray Box 1
Lake,2,93,10,Gray Box 1
Lake,2,94,10,Gray Box 1
Lake,2,95,10,Gray Box 1
Lake,2,96,10,Gray Box 1
Lake,2,97,10,Gray Box 1
Lake,2,98,10,Gray Box 1
Lake,2,99,10,Gray Box 1
Lake,2,100,10,Gray Box 1
Lake,2,101,10,Gray Box 1
Lake,2,102,10,Gray Box 1
Lake,2,103,10,Gray Box 1
Lake,2,104,10,Gray Box 1
Lake,2,105,10,Gray Box 1
Lake,2,106,10,Gray Box 1
Lake,2,107,10,Gray Box 1
Lake,2,108,10,Gray Box 1
Lake,2,109,10,Gray Box 1
Lake,2,110,10,Gray Box 1
Lake,2,111,10,Gray Box 1
Lake,2,112,10,Gray Box 1
Lake,2,113,10,Gray Box 1
Lake,2,114,10,Gray Box 1
Lake,2,115,10,Gray Box 1
Lake,2,116,10,Gray Box 1
Lake,2,117,10,Gray Box 1
Lake,2,118,10,Gray Box 1
Lake,2,119,10,Gray Box 1
Lake,2,120,10,Gray Box 1
Lake,2,121,10,Gray Box 1
Lake,2,122,10,Gray Box 1
Lake,2,123,10,Gray Box 1
Lake,2,124,10,Gray Box 1
Lake,2,125,10,Gray Box 1
Lake,2,126,10,Gray Box 1
Lake,2,127,10,Gray Box 1
Lake,2,128,10,Gray Box 1
Lake,2,129,10,Gray Box 1
Lake,2,130,10,Gray Box 1
Lake,2,131,10,Gray Box 1
Lake,2,132,10,Gray Box 1
Lake,2,133,10,Gray Box 1
Lake,2,134,10,Gray Box 1
Lake,2,135,10,Gray Box 1
Lake,2,136,10,Gray Box 1
Lake,2,137,10,Gray Box 1
Lake,2,138,10,Gray Box 1
Lake,2,139,10,Gray Box 1
Lake,2,140,10,Gray Box 1
Lake,2,141,10,Gray Box 1
Lake,2,142,10,Gray Box 1
Lake,2,143,10,Gray Box 1
Lake,2,144,10,Gray Box 1
Lake,2,145,10,Gray Box 1
Lake,2,146,10,Gray Box 1
Lake,2,147,10,Gray Box 1
Lake,2,148,10,Gray Box 1
Lake,2,149,10,Gray Box 1
Lake,2,150,10,Gray Box 1
Lake,2,151,10,Gray Box 1
Lake,2,152,10,Gray Box 1
Lake,2,153,10,Gray Box 1
Lake,2,154,10,Gray Box 1
Lake,2,155,10,Gray Box 1
Lake,2,156,10,Gray Box 1
Lake,2,157,10,Gray Box 1
Lake,2,158,10,Gray Box 1
Lake,2,159,10,Gray Box 1
Lake,2,160,10,Gray Box 1
Lake,2,161,10,Gray Box 1
Lake,2,162,10,Gray Box 1
Lake,2,163,10,Gray Box 1
Lake,2,164,10,Gray Box 1
Lake,2,165,10,Gray Box 1
Lake,2,166,10,Gray Box 1
Lake,2,167,10,Gray Box 1
Lake,2,168,10,Gray Box 1
Lake,2,169,10,Gray Box 1
Lake,2,170,10,Gray Box 1
Lake,2,171,10,Gray Box 1
Lake,2,172,10,Gray Box 1
Lake,2,173,10,Gray Box 1
Lake,2,174,10,Gray Box 1
Lake,2,175,10,Gray Box 1
Lake,2,176,10,Gray Box 1
Lake,2,177,10,Gray Box 1
Lake,2,178,10,Gray Box 1
Lake,2,179,10,Gray Box 1
Lake,2,180,10,Gray Box 1
Lake,2,181,10,Gray Box 1
