County,Tabulator,Batch,# of Ballot Cards,Location
Teller,2,135,25,3
Teller,2,136,25,4
Teller,2,137,25,4
Teller,2,138,25,4
Teller,2,139,25,4
Teller,2,140,24,4
Teller,2,141,25,4
Teller,2,142,25,4
Teller,2,143,25,4
Teller,2,144,25,4
Teller,2,145,25,4
Teller,2,146,25,4
Teller,2,147,25,4
Teller,2,148,25,4
Teller,2,149,25,4
Teller,2,150,25,4
Teller,2,151,25,4
Teller,2,152,25,4
Teller,2,153,25,4
Teller,2,154,25,4
Teller,2,155,25,4
Teller,2,156,25,4
Teller,2,157,25,4
Teller,2,158,25,4
Teller,2,159,25,4
Teller,2,160,25,4
Teller,2,161,25,4
Teller,2,162,24,4
Teller,2,163,25,4
Teller,2,164,25,4
Teller,2,165,25,4
Teller,2,166,24,4
Teller,2,167,25,4
Teller,2,168,25,4
Teller,2,169,25,4
Teller,2,170,25,4
Teller,2,171,25,4
Teller,2,172,23,4
Teller,2,173,25,4
Teller,2,174,25,4
Teller,2,175,25,4
Teller,2,176,25,4
Teller,2,177,25,4
Teller,2,178,25,4
Teller,2,179,25,4
Teller,2,180,25,4
Teller,2,181,25,4
Teller,2,182,25,4
Teller,2,183,25,4
Teller,2,184,25,4
Teller,2,185,25,4
Teller,2,186,24,5
Teller,2,187,25,5
Teller,2,188,24,5
Teller,2,189,25,5
Teller,2,190,25,5
Teller,2,191,24,5
Teller,2,192,24,5
Teller,2,193,25,5
Teller,2,194,25,5
Teller,2,195,25,5
Teller,2,196,25,5
Teller,2,197,25,5
Teller,2,198,25,5
Teller,2,199,24,5
Teller,2,200,25,5
Teller,2,201,25,5
Teller,2,202,25,5
Teller,2,203,25,5
Teller,2,204,25,5
Teller,2,205,25,5
Teller,2,206,25,5
Teller,2,207,25,5
Teller,2,208,25,5
Teller,2,209,25,5
Teller,2,210,25,5
Teller,2,211,25,5
Teller,2,212,25,5
Teller,2,213,25,5
Teller,2,214,25,5
Teller,2,215,25,5
Teller,2,216,25,5
Teller,2,217,25,5
Teller,2,218,25,5
Teller,2,219,25,5
Teller,2,220,25,5
Teller,2,221,25,5
Teller,2,222,25,5
Teller,2,223,25,5
Teller,2,224,25,5
Teller,2,225,25,5
Teller,2,226,25,5
Teller,2,227,25,5
Teller,2,228,24,5
Teller,2,229,25,5
Teller,2,230,25,5
Teller,2,231,25,5
Teller,2,232,25,5
Teller,2,233,25,5
Teller,2,234,25,5
Teller,2,235,25,5
Teller,2,236,25,6
Teller,2,237,24,6
Teller,2,238,25,6
Teller,2,239,25,6
Teller,2,240,25,6
Teller,2,241,25,6
Teller,2,242,25,6
Teller,2,243,25,6
Teller,2,244,25,6
Teller,2,245,25,6
Teller,2,246,25,6
Teller,2,247,25,6
Teller,2,248,24,6
Teller,2,249,25,6
Teller,2,250,25,6
Teller,2,251,25,6
Teller,2,252,25,6
Teller,2,253,25,6
Teller,2,254,25,6
Teller,2,255,25,6
Teller,2,256,25,6
Teller,2,257,25,6
Teller,2,258,24,6
Teller,2,259,25,6
Teller,2,260,25,6
Teller,2,261,25,6
Teller,2,262,25,6
Teller,2,263,25,6
Teller,2,264,25,6
Teller,2,265,25,6
Teller,2,266,25,6
Teller,2,267,25,6
Teller,2,268,25,6
Teller,2,269,25,6
Teller,2,270,25,6
Teller,2,271,25,6
Teller,2,272,25,6
Teller,2,273,24,6
Teller,2,274,25,6
Teller,2,275,25,6
Teller,2,276,25,6
Teller,2,277,24,6
Teller,2,278,25,6
Teller,2,279,24,6
Teller,2,280,24,6
Teller,2,281,25,7
Teller,2,282,25,7
Teller,2,283,25,7
Teller,2,284,25,7
Teller,2,285,25,7
Teller,2,286,25,7
Teller,2,287,25,7
Teller,2,288,25,7
Teller,2,289,25,7
Teller,2,290,25,7
Teller,2,291,25,7
Teller,2,292,24,7
Teller,2,293,25,7
Teller,2,294,24,7
Teller,2,295,25,7
Teller,2,296,25,7
Teller,2,297,25,7
Teller,2,298,25,7
Teller,2,299,24,7
Teller,2,300,25,7
Teller,2,301,25,7
Teller,2,302,24,7
Teller,2,303,25,7
Teller,2,304,24,7
Teller,2,305,25,7
Teller,2,306,25,7
Teller,2,307,25,7
Teller,2,308,25,7
Teller,2,309,25,7
Teller,2,310,25,7
Teller,2,311,25,7
Teller,2,312,25,7
Teller,2,313,25,7
Teller,2,314,24,7
Teller,2,315,25,7
Teller,2,316,25,7
Teller,2,317,24,7
Teller,2,318,25,7
