contest_name,choice,votes
Elbert County Commissioner District 3 - REP,Byron P. McDaniel,6159
Elbert County Commissioner District 3 - REP,Barry Lemley,108
Elbert - State Board of Education Member - Congressional District 4 - REP,"Kristi ""KBB"" Burton Brown",3817
Elbert - State Board of Education Member - Congressional District 4 - REP,Saundra Larsen,2813
El Paso County Commissioner - District 2 - DEM,"Bernard ""BJ"" Byers",6570
El Paso County Commissioner - District 2 - REP,Carrie Geitner,11931
El Paso County Commissioner - District 2 - REP,Kristopher Guido,7040
El Paso County Commissioner - District 3 - DEM,Naomi Lopez,11384
El Paso County Commissioner - District 3 - REP,Bill Wysong,6879
El Paso County Commissioner - District 3 - REP,Don Wilson,6290
El Paso County Commissioner - District 3 - REP,Brandy Williams,3917
El Paso County Commissioner - District 3 - REP,David L Leinweber,3783
El Paso County Commissioner - District 4 - DEM,Detra Duncan,5172
El Paso County Commissioner - District 4 - REP,Cory Applegate,5383
El Paso County Commissioner - District 4 - REP,Brenda Delgado Miller,3651
El Paso County Commissioner - District 4 - REP,Raymond Garcia,1546
Fremont County Board of County Commissioners - District 1 - REP,Kevin J. Grantham,3893
Fremont County Board of County Commissioners - District 1 - REP,Justin Scott,2849
Fremont County Board of County Commissioners - District 3 - DEM,"Liane ""Buffie"" McFadyen",2283
Fremont County Board of County Commissioners - District 3 - REP,Dwayne McFall,5809
Garfield - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,2426
Garfield - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,1517
Garfield - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,581
Garfield - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,330
Garfield - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,302
Garfield - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,248
Gilpin County Commissioner - District 1 - DEM,Jeff Aiken,625
Gilpin County Commissioner - District 1 - REP,Marie Mornis,490
Gilpin County Commissioner - District 1 - REP,Jessica Kays,378
Gilpin County Commissioner - District 3 - DEM,Sandy Hollingsworth,587
Gilpin County Commissioner - District 3 - REP,Corey Marshall,663
Gilpin - State Representative - District 49 - DEM,Lesley Smith,410
Gilpin - State Representative - District 49 - DEM,Max Woodfin,242
Grand County Commissioner - District 1 - DEM,Meara McQuain,1341
Grand County Commissioner - District 1 - REP,Ed Raegner,1286
Grand County Commissioner - District 2 - DEM,Shanna Ganne,1309
Grand County Commissioner - District 2 - REP,Merrit S Linke,1337
Grand - State Board of Education Member - Congressional District 2 - DEM,Kathy Gebhardt,786
Grand - State Board of Education Member - Congressional District 2 - DEM,Marisol Lynda Rodriguez,555
Gunnison County Commissioner - District 1 - DEM,Liz Smith,1398
Gunnison County Commissioner - District 1 - REP,Lisa Henry,955
Gunnison County Commissioner - District 2 - DEM,Jonathan Houck,1396
Gunnison County Commissioner - District 2 - REP,Steve Bathje,1024
Gunnison - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,570
Gunnison - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,332
Gunnison - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,138
Gunnison - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,83
Gunnison - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,81
Gunnison - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,76
Hinsdale County Commissioner District 1 - REP,Steve Ryals,131
Hinsdale County Commissioner District 3 - REP,Robert Hurd,171
Hinsdale County Coroner - REP,Lori L Lawrence,171
Hinsdale - State Representative - District 58 - REP,J. Mark Roeber,99
Hinsdale - State Representative - District 58 - REP,Larry Don Suckla,38
Huerfano County Commissioner - District 1 - DEM,Dale Lyons,705
Huerfano County Commissioner - District 1 - DEM,Travis Star Nelson,469
Huerfano County Commissioner - District 1 - REP,Mitchell Wardell,809
Huerfano County Commissioner - District 2 - DEM,Arica D. Andreatta,993
Huerfano County Commissioner - District 2 - REP,Jim Chamberlain,834
Huerfano - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,340
Huerfano - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,303
Huerfano - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,124
Huerfano - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,75
Huerfano - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,46
Huerfano - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,44
Jackson County Commissioner Dist 2 - REP,"David H ""TY"" Wattenberg",305
Jackson County Commissioner Dist 2 - REP,Dustin W. Cochrane,114
Jackson County Commissioner Dist 2 - REP,Jim Dustin,105
Jackson County Commissioner Dist 3 - REP,Ronald F. Drinkwine,361
Jefferson County Commissioner - District 1 - DEM,Rachel Zenzinger,58473
Jefferson County Commissioner - District 1 - REP,Charlie Johnson,33881
Jefferson County Commissioner - District 2 - DEM,Andy Kerr,57934
Jefferson County Commissioner - District 2 - REP,Charlie Sturdavant,32949
Kiowa County Commissioner - District 1 - REP,Michael Lening,276
Kiowa County Commissioner - District 3 - REP,Donald E Oswald ,262
Kiowa - Representative to the 119th United States Congress - District 4 - REP,Lauren Boebert,175
Kiowa - Representative to the 119th United States Congress - District 4 - REP,Richard Holtorf,89
Kiowa - Representative to the 119th United States Congress - District 4 - REP,Jerry Sonnenberg,70
Kiowa - Representative to the 119th United States Congress - District 4 - REP,Mike Lynch,15
Kiowa - Representative to the 119th United States Congress - District 4 - REP,Deborah Flora,11
Kiowa - Representative to the 119th United States Congress - District 4 - REP,Peter Yu,4
Kit Carson County Commissioner - District 1 - REP,Stan Hitchcock,1474
Kit Carson County Commissioner - District 3 - REP,Dave Hornung,1204
Kit Carson County Commissioner - District 3 - REP,Thomas Bredehoft,539
La Plata County Commissioner District 2 - DEM,Marsha Porter-Norton,5177
La Plata County Commissioner District 3 - DEM,Matt Salka,5150
La Plata County Commissioner District 3 - REP,Paul Richard Black,4287
La Plata - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,2042
La Plata - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,1556
La Plata - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,1196
La Plata - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,468
La Plata - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,397
La Plata - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,185
