CountyName,ContestName,ContestChoices
Archuleta,State Senator - District 6 - DEM,Vivian Smotherman
Archuleta,State Representative - District 59 - DEM,Katie Stewart
Archuleta,District Attorney - 6th Judicial District - DEM,Sean Murray
Archuleta,State Board of Education Member - Congressional District 3 - REP,Sherri M Wright
Archuleta,Regent of the University of Colorado - At Large - REP,Eric Rinard
Archuleta,State Senator - District 6 - REP,Cleave Alan Simpson
Archuleta,State Representative - District 59 - REP,Clark Craig
Archuleta,Archuleta County Commissioner - District 1 - REP,Warren M. Brown
Archuleta,Archuleta County Coroner - REP,Brad Hunt
Baca,Baca - Representative to the 119th United States Congress - District 4 - REP,"Lauren Boebert, Richard Holtorf, Mike Lynch, Deborah Flora, Jerry Sonnenberg, Peter Yu"
Baca,Representative to the 118th United States Congress - District 4,"Frank Atwood, Hannah Goodman, Greg Lopez, Trisha Eloise Calvarese"
Baca,Representative to the 119th United States Congress - District 4 - DEM,"Trisha Calvarese, John Padora Jr., Ike McCorkle"
Baca,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Baca,State Board of Education Member - Congressional District 4 - REP,"Kristi ""KBB"" Burton Brown, Saundra Larsen"
Baca,State Board of Education Member - Congressional District 4 - DEM,Krista Holtzmann
Baca,State Representative - District 47 - DEM,Elizabeth Bulthuis
Baca,Regent of the University of Colorado - At Large - REP,Eric Rinard
Baca,State Representative - District 47 - REP,Ty S. Winter
Baca,District Attorney - 15th Judicial District - REP,Andrew J. Hayden
Baca,Baca County Commissioner - District 1 - REP,Race Chenoweth
Baca,Baca County Commissioner - District 3 - REP,Troy Devlin Bishop
Baca,Baca County Coroner - REP,Everett Brisendine
Bent,Representative to the 119th United States Congress - District 4 - REP,"Lauren Boebert, Richard Holtorf, Mike Lynch, Deborah Flora, Jerry Sonnenberg, Peter Yu"
Bent,Representative to the 118th United States Congress - District 4,"Frank Atwood, Hannah Goodman, Greg Lopez, Trisha Eloise Calvarese"
Bent,Representative to the 119th United States Congress - District 4 - DEM,"Trisha Calvarese, John Padora Jr., Ike McCorkle"
Bent,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Bent,State Board of Education Member - Congressional District 4 - REP,"Kristi ""KBB"" Burton Brown, Saundra Larsen"
Bent,Bent County Commissioner - District 3 - REP,"Curtis Tempel, Phil Hemphill"
Bent,State Board of Education Member - Congressional District 4 - DEM,Krista Holtzmann
Bent,State Representative - District 47 - DEM,Elizabeth Bulthuis
Bent,Regent of the University of Colorado - At Large - REP,Eric Rinard
Bent,State Representative - District 47 - REP,Ty S. Winter
Bent,District Attorney - 16th Judicial District - REP,James R. Bullock
Bent,Bent County Commissioner - District 1 - REP,Jennifer Scofield
Boulder,State Board of Education Member - Congressional District 2 - DEM,"Kathy Gebhardt, Marisol Lynda Rodriguez"
Boulder,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Boulder,State Representative - District 11 - REP,"Kathy Reeves, Terri Goon"
Boulder,State Representative - District 12 - REP,"Robert Mahler, Mark Milliman"
Boulder,State Representative - District 49 - DEM,"Lesley Smith, Max Woodfin"
Boulder,State Senator - District 18 - DEM,"Judy Amabile, Jovita Schiffer"
Boulder,State Representative - District 10 - DEM,"Junie Joseph, Tina Mueh"
Boulder,Representative to the 119th United States Congress - District 2 - DEM,Joe Neguse
Boulder,State Representative - District 11 - DEM,Karen McCormick
Boulder,District Attorney - 20th Judicial District - DEM,Michael T. Dougherty
Boulder,Boulder County Commissioner - District 1 - DEM,Claire Levy
Boulder,Boulder County Commissioner - District 2 - DEM,Marta Loachamin
Boulder,Boulder County Coroner - DEM,Jeff Martin
Boulder,Representative to the 119th United States Congress - District 2 - REP,Marshall Dawson
Boulder,Regent of the University of Colorado - At Large - REP,Eric Rinard
Boulder,Boulder County Commissioner - District 2 - REP,"Donald ""Don"" Lewis"
Boulder,State Representative - District 12 - DEM,Kyle Brown
Boulder,State Representative - District 19 - DEM,Jennifer Lea Parenti
Boulder,State Representative - District 19 - REP,Dan Woog
Boulder,State Representative - District 49 - REP,Steve Ferrante
Boulder,State Senator - District 17 - DEM,Sonya Jaquez Lewis
Boulder,State Senator - District 17 - REP,Tom Van Lone
Boulder,State Representative - District 10 - REP,William B. DeOreo
Broomfield,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Broomfield,Representative to the 119th United States Congress - District 7 - DEM,Brittany Pettersen
Broomfield,State Representative - District 33 - DEM,William Lindstedt
Broomfield,District Attorney - 17th Judicial District - DEM,Brian Mason
Broomfield,Representative to the 119th United States Congress - District 7 - REP,Sergei Matveyuk
Broomfield,Regent of the University of Colorado - At Large - REP,Eric Rinard
Broomfield,State Representative - District 33 - REP,Michael Martinez
Chaffee,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Chaffee,Representative to the 119th United States Congress - District 7 - DEM,Brittany Pettersen
Chaffee,State Representative - District 60 - DEM,Kathryn Green
Chaffee,Chaffee County Commissioner - District 1 - DEM,Gina Lucrezi
Chaffee,Chaffee County Commissioner - District 2 - DEM,Dave Armstrong
Chaffee,Representative to the 119th United States Congress - District 7 - REP,Sergei Matveyuk
Chaffee,Regent of the University of Colorado - At Large - REP,Eric Rinard
Chaffee,State Representative - District 60 - REP,Stephanie Luck
Chaffee,District Attorney - 11th Judicial District - REP,Jeffrey D. Lindsey
Chaffee,Chaffee County Commissioner - District 1 - REP,Norm Nyberg
Chaffee,Chaffee County Commissioner - District 2 - REP,Tom McCracken
Chaffee,State Representative - District 13 - DEM,Julie McCluskie
Chaffee,State Representative - District 13 - REP,Dave Williams
Cheyenne,Representative to the 119th United States Congress - District 4 - REP,"Lauren Boebert, Richard Holtorf, Mike Lynch, Deborah Flora, Jerry Sonnenberg, Peter Yu"
Cheyenne,Representative to the 118th United States Congress - District 4,"Frank Atwood, Hannah Goodman, Greg Lopez, Trisha Eloise Calvarese"
Cheyenne,Representative to the 119th United States Congress - District 4 - DEM,"Trisha Calvarese, John Padora Jr., Ike McCorkle"
Cheyenne,Cheyenne County Commissioner - District 3 - REP,"James Leroy Lengel, Rick Pelton, Brian Welsh"
Cheyenne,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Cheyenne,State Board of Education Member - Congressional District 4 - REP,"Kristi ""KBB"" Burton Brown, Saundra Larsen"
Cheyenne,State Board of Education Member - Congressional District 4 - DEM,Krista Holtzmann
Cheyenne,State Representative - District 56 - DEM,Alessandra A. Navetta
Cheyenne,Regent of the University of Colorado - At Large - REP,Eric Rinard
Cheyenne,State Representative - District 56 - REP,Chris Richardson
Cheyenne,District Attorney - 15th Judicial District - REP,Andrew J. Hayden
Cheyenne,Cheyenne County Commissioner - District 1 - REP,R.J. Jolly
Clear Creek,Clear Creek - State Board of Education Member - Congressional District 2 - DEM,"Kathy Gebhardt, Marisol Lynda Rodriguez"
Clear Creek,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Clear Creek,State Representative - District 49 - DEM,"Lesley Smith, Max Woodfin"
Clear Creek,Representative to the 119th United States Congress - District 2 - DEM,Joe Neguse
Clear Creek,District Attorney - 5th Judicial District - DEM,Heidi McCollum
Clear Creek,Clear Creek County Commissioner - District 2 - DEM,Rebecca Lloyd
Clear Creek,Clear Creek County Commissioner - District 3 - DEM,Jodie S. Hartman-Ball
Clear Creek,Representative to the 119th United States Congress - District 2 - REP,Marshall Dawson
Clear Creek,Regent of the University of Colorado - At Large - REP,Eric Rinard
Clear Creek,State Representative - District 49 - REP,Steve Ferrante
Clear Creek,Clear Creek County Commissioner - District 2 - REP,Eric Ginter
Clear Creek,Clear Creek County Commissioner - District 3 - REP,Robert J. Smith
Clear Creek,Clear Creek County Sheriff - REP,Matthew D. Harris
Conejos,Representative to the 119th United States Congress - District 3 - REP,"Stephen A. Varela, Ron Hanks, Lew Webb, Russ Andrews, Curtis M. McCrackin, Jeff Hurd"
Conejos,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Conejos,Conejos County Commissioner District 1 - DEM,"Guillermo A DeHerrera, Erwin Placido Romero "
Conejos,Regent of the University of Colorado - Congressional District 3 - REP,"Kristine Sposato, Ray Scott"
Conejos,Conejos County Commissioner District 3 - REP,"Lucas Moroni Larson, Justin Rogers "
Conejos,Representative to the 119th United States Congress - District 3 - DEM,Adam Frisch
Conejos,State Board of Education Member - Congressional District 3 - DEM,Ellen Angeles
Conejos,Regent of the University of Colorado - Congressional District 3 - DEM,Robert B. Logan
Conejos,State Senator - District 6 - DEM,Vivian Smotherman
Conejos,State Representative - District 62 - DEM,Matthew Martinez
Conejos,Conejos County Commissioner District 3 - DEM,Joseph Baroz 
Conejos,State Board of Education Member - Congressional District 3 - REP,Sherri M Wright
Conejos,Regent of the University of Colorado - At Large - REP,Eric Rinard
Conejos,State Senator - District 6 - REP,Cleave Alan Simpson
Conejos,State Representative - District 62 - REP,Carol Riggenbach
Conejos,District Attorney - 12th Judicial District - REP,Anne Kelly
Conejos,Conejos County Commissioner District 1 - REP,Delfino Garcia 
Costilla,Representative to the 119th United States Congress - District 3 - REP,"Stephen A. Varela, Ron Hanks, Lew Webb, Russ Andrews, Curtis M. McCrackin, Jeff Hurd"
Costilla,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Costilla,Costilla County Commissioner District 1 - DEM,"Robert Espinoza, Frank Martinez"
Costilla,Regent of the University of Colorado - Congressional District 3 - REP,"Kristine Sposato, Ray Scott"
Costilla,Representative to the 119th United States Congress - District 3 - DEM,Adam Frisch
Costilla,State Board of Education Member - Congressional District 3 - DEM,Ellen Angeles
Costilla,Regent of the University of Colorado - Congressional District 3 - DEM,Robert B. Logan
Costilla,State Senator - District 6 - DEM,Vivian Smotherman
Costilla,State Representative - District 62 - DEM,Matthew Martinez
Costilla,Costilla County Commissioner District 3 - DEM,Steven Romero 
Costilla,State Board of Education Member - Congressional District 3 - REP,Sherri M Wright
Costilla,Regent of the University of Colorado - At Large - REP,Eric Rinard
Costilla,State Senator - District 6 - REP,Cleave Alan Simpson
Costilla,State Representative - District 62 - REP,Carol Riggenbach
Costilla,District Attorney - 12th Judicial District - REP,Anne Kelly
Costilla,Costilla County Commissioner District 1 - REP,Brandy Napier
Costilla,Costilla County Commissioner District 3 - REP,Augustine Roy Esquibel
Crowley,Representative to the 119th United States Congress - District 4 - REP,"Lauren Boebert, Richard Holtorf, Mike Lynch, Deborah Flora, Jerry Sonnenberg, Peter Yu"
Crowley,Representative to the 118th United States Congress - District 4,"Frank Atwood, Hannah Goodman, Greg Lopez, Trisha Eloise Calvarese"
Crowley,Representative to the 119th United States Congress - District 4 - DEM,"Trisha Calvarese, John Padora Jr., Ike McCorkle"
Crowley,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Crowley,State Board of Education Member - Congressional District 4 - REP,"Kristi ""KBB"" Burton Brown, Saundra Larsen"
Crowley,Crowley County Commissioner - District 2 - REP,"Vicki Powell, Blaine Arbuthnot"
Crowley,State Board of Education Member - Congressional District 4 - DEM,Krista Holtzmann
Crowley,State Representative - District 47 - DEM,Elizabeth Bulthuis
Crowley,Regent of the University of Colorado - At Large - REP,Eric Rinard
Crowley,State Representative - District 47 - REP,Ty S. Winter
Crowley,District Attorney - 16th Judicial District - REP,James R. Bullock
Crowley,Crowley County Commissioner - District 3 - REP,Terry McMillian
Custer,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Custer,Custer County Board of County Commissioners - District 3 - REP,"Lucas Epp, Veronica L. Nicholson"
Custer,Representative to the 119th United States Congress - District 7 - DEM,Brittany Pettersen
Custer,State Representative - District 60 - DEM,Kathryn Green
Custer,Representative to the 119th United States Congress - District 7 - REP,Sergei Matveyuk
Custer,Regent of the University of Colorado - At Large - REP,Eric Rinard
Custer,State Representative - District 60 - REP,Stephanie Luck
Custer,District Attorney - 11th Judicial District - REP,Jeffrey D. Lindsey
Custer,Custer County Board of County Commissioners - District 2 - REP,Paul Raymond Vogelsong
Delta,Representative to the 119th United States Congress - District 3 - REP,"Stephen A. Varela, Ron Hanks, Lew Webb, Russ Andrews, Curtis M. McCrackin, Jeff Hurd"
Delta,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Delta,Regent of the University of Colorado - Congressional District 3 - REP,"Kristine Sposato, Ray Scott"
Delta,State Representative - District 58 - REP,"Larry Don Suckla, J. Mark Roeber"
Delta,Delta County Commissioner - District 2 - REP,"Craig Fuller, Candyce Blair"
Delta,Representative to the 119th United States Congress - District 3 - DEM,Adam Frisch
Delta,State Board of Education Member - Congressional District 3 - DEM,Ellen Angeles
Delta,Regent of the University of Colorado - Congressional District 3 - DEM,Robert B. Logan
Delta,State Senator - District 5 - DEM,Cole Buerger
Delta,State Representative - District 58 - DEM,Kathleen Curry
Delta,State Board of Education Member - Congressional District 3 - REP,Sherri M Wright
Delta,Regent of the University of Colorado - At Large - REP,Eric Rinard
Delta,State Senator - District 5 - REP,Marc Catlin
Delta,District Attorney - 7th Judicial District - REP,Seth Ryan
Delta,Delta County Commissioner - District 3 - REP,Wendell A. Koontz
Delta,State Representative - District 54 - REP,Matt Soper
Denver,Representative to the 119th United States Congress - District 1 - DEM,"Diana DeGette, John Wren"
Denver,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Denver,District Attorney - 2nd Judicial District - DEM,"John Walsh, Leora Joseph"
Denver,State Representative - District 4 - DEM,"Timothy Mariano Hernandez, Cecelia Espenoza"
Denver,State Representative - District 6 - DEM,"Sean Camacho, Elisabeth Epps"
Denver,Representative to the 119th United States Congress - District 1 - REP,Valdamar Archuleta
Denver,Regent of the University of Colorado - At Large - REP,Eric Rinard
Denver,State Representative - District 1 - DEM,Javier Mabrey
Denver,State Representative - District 1 - REP,Barbara DeHaan
Denver,District Attorney - 2nd Judicial District - REP,No Candidate
Denver,State Senator - District 26 - DEM,Jeff Bridges
Denver,State Senator - District 26 - REP,Bob Lane
Denver,State Senator - District 31 - DEM,Chris Hansen
Denver,State Senator - District 31 - REP,No Candidate
Denver,State Representative - District 2 - DEM,Steven Woodrow
Denver,State Representative - District 2 - REP,Michael F. DiManna
Denver,State Representative - District 3 - DEM,Meg Froelich
Denver,State Representative - District 3 - REP,Mickey Neal
Denver,State Representative - District 4 - REP,Jack Daus
Denver,State Representative - District 5 - DEM,Alex Valdez
Denver,State Representative - District 5 - REP,Johnnie Wesley Johnson
Denver,State Representative - District 6 - REP,Kyle Witter
Denver,State Senator - District 33 - DEM,James Coleman
Denver,State Senator - District 33 - REP,Max Minnig
Denver,State Representative - District 7 - DEM,Jennifer Bacon
Denver,State Representative - District 7 - REP,Tom Swift
Denver,State Representative - District 8 - DEM,Lindsay Gilchrist
Denver,State Representative - District 8 - REP,Philip Borrelli
Denver,State Representative - District 9 - DEM,Emily Sirota
Denver,State Representative - District 9 - REP,Tom Cowhick
Denver,Representative to the 119th United States Congress - District 6 - DEM,Jason Crow
Denver,Representative to the 119th United States Congress - District 6 - REP,John E. Fabbricatore
Dolores,Dolores - Representative to the 119th United States Congress - District 3 - REP,"Stephen A. Varela, Ron Hanks, Lew Webb, Russ Andrews, Curtis M. McCrackin, Jeff Hurd"
Dolores,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Dolores,Regent of the University of Colorado - Congressional District 3 - REP,"Kristine Sposato, Ray Scott"
Dolores,State Representative - District 58 - REP,"Larry Don Suckla, J. Mark Roeber"
Dolores,Dolores County Commissioner District 3 - REP,"Margret Daves, Phyllis Davis"
Dolores,Representative to the 119th United States Congress - District 3 - DEM,Adam Frisch
Dolores,State Board of Education Member - Congressional District 3 - DEM,Ellen Angeles
Dolores,Regent of the University of Colorado - Congressional District 3 - DEM,Robert B. Logan
Dolores,State Senator - District 6 - DEM,Vivian Smotherman
Dolores,State Representative - District 58 - DEM,Kathleen Curry
Dolores,District Attorney - 22nd Judicial District - DEM,Christian A. Hatfield
Dolores,State Board of Education Member - Congressional District 3 - REP,Sherri M Wright
Dolores,Regent of the University of Colorado - At Large - REP,Eric Rinard
Dolores,State Senator - District 6 - REP,Cleave Alan Simpson
Dolores,District Attorney - 22nd Judicial District - REP,Jeremy E. Reed
