County,Device ID,Batch,# of Ballots,Location
Delta,1,320,49,18
Delta,1,321,50,18
Delta,1,322,53,18
Delta,1,323,49,18
Delta,1,324,50,18
Delta,1,325,48,18
Delta,1,326,46,18
Delta,1,327,66,18
Delta,1,328,49,18
Delta,1,329,50,18
Delta,1,330,50,18
Delta,1,331,48,18
Delta,1,332,55,18
Delta,1,333,18,18
Delta,1,334,49,19
Delta,1,335,50,19
Delta,1,336,50,19
Delta,1,337,50,19
Delta,1,338,46,19
Delta,1,339,51,19
Delta,1,340,50,19
Delta,1,341,50,19
Delta,1,342,48,19
Delta,1,343,46,19
Delta,1,344,47,19
Delta,1,345,47,19
Delta,1,346,48,19
Delta,1,347,30,19
Delta,1,348,48,19
Delta,1,349,51,19
Delta,1,350,49,19
Delta,1,351,7,19
Delta,1,352,30,20
Delta,1,353,50,20
Delta,1,354,50,20
Delta,1,355,50,20
Delta,1,356,50,20
Delta,1,357,50,20
Delta,1,358,50,20
Delta,1,359,50,20
Delta,1,360,50,20
Delta,1,361,50,20
Delta,1,362,50,20
Delta,1,363,50,20
Delta,1,364,50,20
Delta,1,365,50,20
Delta,1,366,50,20
Delta,1,367,54,21
Delta,1,368,36,21
Delta,1,369,51,21
Delta,1,370,54,21
Delta,1,371,49,21
Delta,1,372,49,21
Delta,1,373,11,21
Delta,1,374,48,21
Delta,1,375,46,21
Delta,1,376,48,21
Delta,1,377,44,21
Delta,1,378,51,21
Delta,1,379,50,21
Delta,1,380,49,21
Delta,1,381,51,21
Delta,1,382,49,21
Delta,1,383,49,21
Delta,1,384,49,21
Delta,1,385,50,21
Delta,1,386,42,21
Delta,1,387,9,21
Delta,1,388,49,22
Delta,1,389,53,22
Delta,1,390,46,22
Delta,1,391,11,22
Delta,1,392,49,22
Delta,1,393,45,22
Delta,1,394,22,22
Delta,1,395,50,22
Delta,1,396,48,22
Delta,1,397,37,22
Delta,1,398,50,22
Delta,1,399,50,22
Delta,1,400,50,22
Delta,1,401,51,22
Delta,1,402,50,22
Delta,1,403,28,22
Delta,1,404,50,22
Delta,1,405,13,22
Delta,1,406,50,22
Delta,1,407,50,22
Delta,1,408,50,22
Delta,1,409,53,22
Delta,1,410,41,22
Delta,1,411,53,22
Delta,1,412,24,22
Delta,1,413,5,22
Delta,1,414,21,22
Delta,1,415,30,22
Delta,1,416,28,22
Delta,1,417,20,22
Delta,1,418,1,22
