County,Device,Batch,#of Ballots,Location
Routt,101,254,50,13
Routt,101,255,50,13
Routt,101,256,50,13
Routt,101,257,50,13
Routt,101,258,50,13
Routt,101,259,50,13
Routt,101,260,50,13
Routt,101,261,50,13
Routt,101,262,50,13
Routt,101,263,50,13
Routt,101,264,50,13
Routt,101,265,48,13
Routt,101,266,48,13
Routt,101,267,48,13
Routt,101,268,40,13
Routt,101,269,50,13
Routt,101,270,50,13
Routt,101,271,50,13
Routt,101,272,50,13
Routt,101,273,50,13
Routt,101,274,50,13
Routt,101,275,50,13
Routt,101,276,50,14
Routt,101,277,50,14
Routt,101,278,50,14
Routt,101,279,48,14
Routt,101,280,46,14
Routt,101,281,52,14
Routt,101,282,48,14
Routt,101,283,46,14
Routt,101,284,46,14
Routt,101,285,50,14
Routt,101,286,50,14
Routt,101,287,50,14
Routt,101,288,50,14
Routt,101,289,48,14
Routt,101,290,48,14
Routt,101,291,50,15
Routt,101,292,50,15
Routt,101,293,50,15
Routt,101,294,50,15
Routt,101,295,50,15
Routt,101,296,50,15
Routt,101,297,50,15
Routt,101,298,50,15
Routt,101,299,50,15
Routt,101,300,50,15
Routt,101,301,50,15
Routt,101,302,50,15
Routt,101,303,50,15
Routt,101,304,50,15
Routt,101,305,48,15
Routt,101,306,48,15
Routt,101,307,48,15
Routt,101,308,52,15
Routt,101,309,42,15
Routt,101,310,44,15
Routt,101,311,48,16
Routt,101,312,48,16
Routt,101,313,48,16
Routt,101,314,48,16
Routt,101,315,48,16
Routt,101,316,54,16
Routt,101,317,50,16
Routt,101,318,50,16
Routt,101,319,50,16
Routt,101,320,48,16
Routt,101,321,50,16
Routt,101,322,50,16
Routt,101,323,50,16
Routt,101,324,50,16
Routt,101,325,46,16
Routt,101,326,48,16
Routt,101,327,48,16
Routt,101,328,17,16
Routt,101,329,50,16
Routt,101,330,48,16
Routt,101,331,50,17
Routt,101,332,50,17
Routt,101,333,50,17
Routt,101,334,50,17
Routt,101,335,50,17
Routt,101,336,50,17
Routt,101,337,50,17
Routt,101,338,48,17
Routt,101,339,48,17
Routt,101,340,52,17
Routt,101,341,50,17
Routt,101,342,48,17
Routt,101,343,50,17
Routt,101,344,50,17
Routt,101,345,50,17
Routt,101,346,50,17
Routt,101,347,50,17
Routt,101,348,50,17
Routt,101,349,50,17
Routt,101,350,50,17
Routt,101,351,50,18
Routt,101,352,50,18
Routt,101,353,51,18
Routt,101,354,50,18
Routt,101,355,42,18
Routt,101,356,44,18
Routt,101,357,50,18
Routt,101,358,50,18
Routt,101,359,50,18
Routt,101,360,50,18
Routt,101,361,50,18
Routt,101,362,50,18
Routt,101,363,50,18
Routt,101,364,50,18
Routt,101,365,50,18
Routt,101,366,50,18
Routt,101,367,50,18
Routt,101,368,48,18
Routt,101,369,50,18
Routt,101,370,48,18
Routt,101,371,50,19
Routt,101,372,48,19
Routt,101,373,50,19
Routt,101,374,50,19
Routt,101,375,50,19
Routt,101,376,50,19
Routt,101,377,48,19
Routt,101,378,48,19
Routt,101,379,50,19
Routt,101,380,50,19
Routt,101,381,50,19
Routt,101,382,50,19
Routt,101,383,50,19
Routt,101,384,50,19
Routt,101,385,50,19
Routt,101,386,50,20
Routt,101,387,48,20
Routt,101,388,50,20
Routt,101,389,50,20
Routt,101,390,50,20
Routt,101,391,44,20
Routt,101,392,46,20
Routt,101,393,48,20
Routt,101,394,50,20
Routt,101,395,50,20
Routt,101,396,48,20
Routt,101,397,50,20
Routt,101,398,50,20
Routt,101,399,50,20
Routt,101,400,50,20
Routt,101,401,50,20
Routt,101,402,50,20
Routt,101,403,50,20
Routt,101,404,50,20
Routt,101,405,50,20
Routt,101,406,50,20
Routt,101,407,48,20
Routt,101,408,50,21
Routt,101,409,50,21
Routt,101,410,50,21
Routt,101,411,50,21
Routt,101,412,50,21
Routt,101,413,50,21
Routt,101,414,50,21
Routt,101,415,48,21
Routt,101,416,76,21
Routt,101,417,10,21
Routt,101,418,50,22
Routt,101,419,50,22
Routt,101,420,50,22
Routt,101,421,50,22
Routt,101,422,50,22
Routt,101,423,50,22
Routt,101,424,50,22
Routt,101,425,50,22
Routt,101,426,50,22
Routt,101,427,50,22
Routt,101,428,50,22
Routt,101,429,50,22
Routt,101,430,50,22
Routt,101,431,44,22
Routt,101,432,46,22
Routt,101,433,48,22
Routt,101,434,40,22
Routt,101,435,48,22
Routt,101,436,46,22
Routt,101,437,48,22
Routt,101,438,50,23
Routt,101,439,50,23
Routt,101,440,50,23
Routt,101,441,50,23
Routt,101,442,50,23
Routt,101,443,50,23
Routt,101,444,50,23
Routt,101,445,50,23
Routt,101,446,50,23
Routt,101,447,50,23
Routt,101,448,50,23
Routt,101,449,50,23
Routt,101,450,50,23
Routt,101,451,50,23
Routt,101,452,50,23
Routt,101,453,50,23
Routt,101,454,50,23
Routt,101,455,50,23
Routt,101,456,48,23
Routt,101,457,48,23
Routt,101,458,46,24
Routt,101,459,48,24
Routt,101,460,48,24
Routt,101,461,48,24
Routt,101,462,46,24
Routt,101,463,48,24
Routt,101,464,48,24
Routt,101,465,50,24
Routt,101,466,50,24
Routt,101,467,50,24
Routt,101,468,50,24
Routt,101,469,50,24
Routt,101,470,50,24
Routt,101,471,50,24
Routt,101,472,50,24
Routt,101,473,50,24
Routt,101,474,50,24
Routt,101,475,50,24
Routt,101,476,50,24
Routt,101,477,50,24
Routt,101,478,46,24
Routt,101,479,48,24
Routt,101,480,52,24
Routt,101,481,46,24
Routt,101,482,50,25
Routt,101,483,50,25
Routt,101,484,50,25
Routt,101,485,50,25
Routt,101,486,48,25
Routt,101,487,50,25
Routt,101,488,50,25
Routt,101,489,36,25
Routt,101,490,50,25
Routt,101,491,48,25
Routt,101,492,48,25
Routt,101,493,48,25
Routt,101,494,48,25
Routt,101,495,46,25
Routt,101,496,50,25
Routt,101,497,50,25
Routt,101,498,58,25
Routt,101,499,48,25
Routt,101,500,46,25
Routt,101,501,50,25
Routt,101,502,48,25
Routt,101,503,48,25
Routt,101,504,14,25
Routt,101,505,50,25
Routt,101,506,50,25
Routt,101,507,50,25
Routt,101,508,50,25
Routt,101,509,50,25
Routt,101,510,50,25
Routt,101,511,50,26
Routt,101,512,50,26
Routt,101,513,50,26
Routt,101,514,50,26
Routt,101,515,50,26
Routt,101,516,50,26
Routt,101,517,50,26
Routt,101,518,50,26
Routt,101,519,48,26
Routt,101,520,48,26
Routt,101,521,48,26
Routt,101,522,48,26
Routt,101,523,44,26
Routt,101,524,31,26
Routt,101,525,50,26
Routt,101,526,50,26
Routt,101,527,50,26
Routt,101,528,50,26
Routt,101,529,50,26
Routt,101,530,48,26
Routt,101,531,48,26
Routt,101,532,50,26
Routt,101,533,50,26
Routt,101,534,50,26
Routt,101,535,50,26
Routt,101,536,50,26
Routt,101,537,50,26
Routt,101,538,50,26
Routt,101,539,50,26
Routt,101,540,50,26
Routt,101,541,50,27
Routt,101,542,50,27
Routt,101,543,50,27
Routt,101,544,50,27
Routt,101,545,50,27
Routt,101,546,50,27
Routt,101,547,50,27
Routt,101,548,50,27
Routt,101,549,50,27
Routt,101,550,50,27
Routt,101,551,50,27
Routt,101,552,50,27
Routt,101,553,50,27
Routt,101,554,50,27
Routt,101,555,48,27
Routt,101,556,48,27
Routt,101,557,48,27
Routt,101,558,46,27
Routt,101,559,48,27
Routt,101,560,46,27
Routt,101,561,50,27
Routt,101,562,44,27
Routt,101,563,48,27
Routt,101,564,48,27
Routt,101,565,50,27
Routt,101,566,50,28
Routt,101,567,48,28
Routt,101,568,50,28
Routt,101,569,50,28
Routt,101,570,44,28
Routt,101,571,48,28
Routt,101,572,48,28
Routt,101,573,48,28
Routt,101,574,50,28
Routt,101,575,50,28
Routt,101,576,50,28
Routt,101,577,48,28
Routt,101,578,50,28
Routt,101,579,50,28
Routt,101,580,50,28
Routt,101,581,50,28
Routt,101,582,50,28
Routt,101,583,50,28
Routt,101,584,50,28
Routt,101,585,50,28
Routt,101,586,50,28
Routt,101,587,50,28
Routt,101,588,48,28
Routt,101,589,48,28
Routt,101,590,46,28
Routt,101,591,48,29
Routt,101,592,48,29
Routt,101,593,28,29
Routt,101,594,46,29
Routt,101,595,44,29
Routt,101,596,40,29
Routt,101,597,50,29
Routt,101,598,50,29
Routt,101,599,50,29
Routt,101,600,50,29
Routt,101,601,50,29
Routt,101,602,46,29
Routt,101,603,48,29
Routt,101,604,48,29
Routt,101,605,48,29
Routt,101,606,52,29
Routt,101,607,22,29
Routt,101,608,50,29
Routt,101,609,50,29
Routt,101,610,50,29
Routt,101,611,50,29
Routt,101,612,50,29
Routt,101,613,48,29
Routt,101,614,48,29
Routt,101,615,48,29
Routt,101,616,48,29
Routt,101,617,48,29
Routt,101,618,50,29
Routt,101,619,50,29
Routt,101,620,50,29
Routt,101,621,50,30
Routt,101,622,50,30
Routt,101,623,50,30
Routt,101,624,50,30
Routt,101,625,48,30
Routt,101,626,46,30
Routt,101,627,48,30
Routt,101,628,48,30
Routt,101,629,8,30
Routt,101,630,50,30
Routt,101,631,50,30
Routt,101,632,50,30
Routt,101,633,46,30
Routt,101,634,24,30
Routt,101,635,44,30
Routt,101,636,44,30
Routt,101,637,48,30
Routt,101,638,26,30
Routt,101,639,48,30
Routt,101,640,5,30
Routt,101,641,48,30
Routt,101,642,50,30
Routt,101,643,23,30
Routt,101,644,15,30
Routt,101,645,14,30
Routt,101,646,90,30
Routt,101,647,26,30
Routt,101,648,14,30
Routt,101,649,24,30
Routt,101,650,18,30
Routt,101,651,25,30
Routt,101,652,45,30
Routt,101,653,35,30
Routt,101,654,22,30
Routt,101,655,33,30
Routt,101,656,67,30
Routt,101,657,50,30
Routt,101,658,48,30
Routt,101,659,111,30
Routt,101,660,42,30
Routt,101,661,101,30
Routt,101,662,60,30
Routt,101,663,67,30
Routt,101,664,50,31
Routt,101,665,48,31
Routt,101,666,38,31
Routt,101,667,48,31
Routt,101,668,48,31
Routt,101,669,48,31
Routt,101,670,50,31
Routt,101,671,46,31
Routt,101,672,12,31
Routt,101,673,48,31
Routt,101,674,50,31
Routt,101,675,54,31
Routt,101,676,32,31
Routt,101,677,50,31
Routt,101,678,48,31
Routt,101,679,2,31
Routt,101,680,96,32
Routt,101,681,10,32
Routt,101,682,104,32
