County,Tabulator,Batch,Ballots,Location
Douglas,1,GEN-0400,100,59
Douglas,1,GEN-0401,20,42
Douglas,1,GEN-0402,100,68
Douglas,1,GEN-0403,60,76
Douglas,1,GEN-0404,97,80
Douglas,1,GEN-0405,100,76
Douglas,1,GEN-0406,100,70
Douglas,1,GEN-0407,100,76
Douglas,1,GEN-0408,100,70
Douglas,1,GEN-0409,100,81
Douglas,1,GEN-0410,100,76
Douglas,1,GEN-0411,100,75
Douglas,1,GEN-0412,100,59
Douglas,1,GEN-0413,100,90
Douglas,1,GEN-0414,100,59
Douglas,1,GEN-0415,100,75
Douglas,1,GEN-0416,100,76
Douglas,1,GEN-0417,100,97
Douglas,1,GEN-0418,100,59
Douglas,1,GEN-0419,100,71
Douglas,1,GEN-0420,100,80
Douglas,1,GEN-0421,100,79
Douglas,1,GEN-0422,75,71
Douglas,1,GEN-0423,100,81
Douglas,1,GEN-0424,100,76
Douglas,1,GEN-0425,100,76
Douglas,1,GEN-0426,100,70
Douglas,1,GEN-0427,100,76
Douglas,1,GEN-0428,100,83
Douglas,1,GEN-0429,100,80
Douglas,1,GEN-0430,100,80
Douglas,1,GEN-0431,100,89
Douglas,1,GEN-0432,100,70
Douglas,1,GEN-0433,100,83
Douglas,1,GEN-0434,31,75
Douglas,1,GEN-0435,100,76
Douglas,1,GEN-0436,100,76
Douglas,1,GEN-0437,100,80
Douglas,1,GEN-0438,100,115
Douglas,1,GEN-0439,100,80
Douglas,1,GEN-0440,100,83
Douglas,1,GEN-0441,100,71
Douglas,1,GEN-0442,100,81
Douglas,1,GEN-0443,100,115
Douglas,1,GEN-0444,100,79
Douglas,1,GEN-0445,100,88
Douglas,1,GEN-0446,100,79
Douglas,1,GEN-0447,100,75
Douglas,1,GEN-0448,100,79
Douglas,1,GEN-0449,100,79
Douglas,1,GEN-0450,100,79
Douglas,1,GEN-0451,100,76
Douglas,1,GEN-0452,100,117
Douglas,1,GEN-0453,100,81
Douglas,1,GEN-0454,100,80
Douglas,1,GEN-0455,100,79
Douglas,1,GEN-0456,100,88
Douglas,1,GEN-0457,71,75
Douglas,1,GEN-0458,100,88
Douglas,1,GEN-0459,100,71
Douglas,1,GEN-0460,100,80
Douglas,1,GEN-0461,100,88
Douglas,1,GEN-0462,100,80
Douglas,1,GEN-0463,100,711
Douglas,1,GEN-0464,100,82
Douglas,1,GEN-0465,100,73
Douglas,1,GEN-0466,100,97
Douglas,1,GEN-0467,18,80
Douglas,1,GEN-0468,100,82
Douglas,1,GEN-0469,100,80
Douglas,1,GEN-0470,100,85
Douglas,1,GEN-0471,100,81
Douglas,1,GEN-0472,100,80
Douglas,1,GEN-0473,100,79
Douglas,1,GEN-0474,100,85
Douglas,1,GEN-0475,100,71
Douglas,1,GEN-0476,100,83
Douglas,1,GEN-0477,100,80
Douglas,1,GEN-0478,100,97
Douglas,1,GEN-0479,100,81
Douglas,1,GEN-0480,100,59
Douglas,1,GEN-0481,100,81
Douglas,1,GEN-0482,88,81
Douglas,1,GEN-0483,100,73
Douglas,1,GEN-0484,100,73
Douglas,1,GEN-0485,100,99
Douglas,1,GEN-0486,100,82
Douglas,1,GEN-0487,100,88
Douglas,1,GEN-0488,100,70
Douglas,1,GEN-0489,100,70
Douglas,1,GEN-0490,100,83
Douglas,1,GEN-0491,100,91
Douglas,1,GEN-0492,100,82
Douglas,1,GEN-0493,100,85
Douglas,1,GEN-0494,100,81
Douglas,1,GEN-0495,100,81
Douglas,1,GEN-0496,100,81
Douglas,1,GEN-0497,100,83
Douglas,1,GEN-0498,100,79
Douglas,1,GEN-0499,100,91
Douglas,1,GEN-0500,21,85
Douglas,1,GEN-0501,100,91
Douglas,1,GEN-0502,100,89
Douglas,1,GEN-0503,100,90
Douglas,1,GEN-0504,100,82
Douglas,1,GEN-0505,100,70
Douglas,1,GEN-0506,100,79
Douglas,1,GEN-0507,100,91
Douglas,1,GEN-0508,100,91
Douglas,1,GEN-0509,100,99
Douglas,1,GEN-0510,100,88
Douglas,1,GEN-0511,100,99
Douglas,1,GEN-0512,100,90
Douglas,1,GEN-0513,100,83
Douglas,1,GEN-0514,100,88
Douglas,1,GEN-0515,38,88
Douglas,1,GEN-0516,100,83
Douglas,1,GEN-0517,100,92
Douglas,1,GEN-0518,100,99
