County,Tabulator ID,Batch,# of Ballot Cards,Location,
Pueblo,104,587,100,Tub27,
Pueblo,104,588,100,Tub27,
Pueblo,104,589,100,Tub27,
Pueblo,104,590,100,Tub27,
Pueblo,104,591,100,Tub27,
Pueblo,104,592,100,Tub27,
Pueblo,104,593,98,Tub27,
Pueblo,104,594,100,Tub29,
Pueblo,104,595,100,Tub29,
Pueblo,104,596,100,Tub29,
Pueblo,104,597,100,Tub29,
Pueblo,104,598,100,Tub29,
Pueblo,104,599,100,Tub29,
Pueblo,104,600,100,Tub29,
Pueblo,104,601,100,Tub29,
Pueblo,104,602,100,Tub29,
Pueblo,104,603,80,Tub29,
Pueblo,104,604,98,Tub29,
Pueblo,104,605,98,Tub29,
Pueblo,104,606,100,Tub29,
Pueblo,104,607,42,Tub29,
Pueblo,104,608,100,Tub29,
Pueblo,104,609,100,Tub29,
Pueblo,104,610,100,Tub29,
Pueblo,104,611,2,Tub29,
Pueblo,104,612,100,Tub29,
Pueblo,104,613,100,Tub29,
Pueblo,104,614,100,Tub29,
Pueblo,104,615,32,Tub31,
Pueblo,104,616,100,Tub31,
Pueblo,104,617,100,Tub31,
Pueblo,104,618,64,Tub31,
Pueblo,104,619,100,Tub31,
Pueblo,104,620,80,Tub31,
Pueblo,104,621,100,Tub31,
Pueblo,104,622,100,Tub31,
Pueblo,104,623,100,Tub31,
Pueblo,104,624,100,Tub31,
Pueblo,104,625,100,Tub31,
Pueblo,104,626,100,Tub31,
Pueblo,104,627,100,Tub31,
Pueblo,104,628,100,Tub31,
Pueblo,104,629,100,Tub31,
Pueblo,104,630,100,Tub31,
Pueblo,104,631,100,Tub31,
Pueblo,104,632,100,Tub31,
Pueblo,104,633,100,Tub31,
Pueblo,104,634,100,Tub31,
Pueblo,104,635,100,Tub33,
Pueblo,104,636,100,Tub33,
Pueblo,104,637,100,Tub33,
Pueblo,104,638,100,Tub33,
Pueblo,104,639,100,Tub33,
Pueblo,104,640,100,Tub33,
Pueblo,104,641,100,Tub33,
Pueblo,104,642,100,Tub33,
Pueblo,104,643,72,Tub33,
Pueblo,104,644,12,Tub33,
Pueblo,104,645,98,Tub33,
Pueblo,104,646,100,Tub33,
Pueblo,104,647,44,Tub33,
Pueblo,104,648,100,Tub33,
Pueblo,104,649,100,Tub33,
Pueblo,104,650,100,Tub33,
Pueblo,104,651,100,Tub33,
Pueblo,104,652,100,Tub33,
Pueblo,104,653,100,Tub33,
Pueblo,104,654,100,Tub33,
Pueblo,104,655,100,Tub33,
Pueblo,104,656,4,Tub33,
Pueblo,104,657,2,Tub35,
Pueblo,104,658,100,Tub35,
Pueblo,104,659,100,Tub35,
Pueblo,104,660,100,Tub35,
Pueblo,104,661,100,Tub35,
Pueblo,104,662,100,Tub35,
Pueblo,104,663,100,Tub35,
Pueblo,104,664,56,Tub35,
Pueblo,104,665,100,Tub35,
Pueblo,104,666,100,Tub35,
Pueblo,104,667,98,Tub35,
Pueblo,104,668,100,Tub35,
Pueblo,104,669,100,Tub35,
Pueblo,104,670,98,Tub35,
Pueblo,104,671,100,Tub35,
Pueblo,104,672,100,Tub35,
Pueblo,104,673,100,Tub35,
Pueblo,104,674,100,Tub35,
Pueblo,104,675,100,Tub35,
Pueblo,104,676,82,Tub35,
Pueblo,104,677,100,Tub35,
Pueblo,104,678,2,Tub35,
Pueblo,104,679,6,Tub35,
Pueblo,104,680,2,Tub35,
Pueblo,104,681,4,Tub37,
Pueblo,104,682,100,Tub37,
Pueblo,104,683,100,Tub37,
Pueblo,104,684,100,Tub37,
Pueblo,104,685,100,Tub37,
Pueblo,104,686,100,Tub37,
Pueblo,104,687,100,Tub37,
Pueblo,104,688,100,Tub37,
Pueblo,104,689,100,Tub37,
Pueblo,104,690,100,Tub37,
Pueblo,104,691,100,Tub37,
Pueblo,104,692,100,Tub37,
Pueblo,104,693,100,Tub37,
Pueblo,104,694,100,Tub37,
Pueblo,104,695,100,Tub37,
Pueblo,104,696,100,Tub37,
Pueblo,104,697,100,Tub37,
Pueblo,104,698,100,Tub37,
Pueblo,104,699,100,Tub37,
Pueblo,104,700,100,Tub37,
Pueblo,104,702,100,Tub37,
Pueblo,104,703,100,Tub39,
Pueblo,104,704,100,Tub39,
Pueblo,104,705,100,Tub39,
Pueblo,104,706,100,Tub39,
Pueblo,104,707,100,Tub39,
Pueblo,104,708,100,Tub39,
Pueblo,104,709,100,Tub39,
Pueblo,104,710,100,Tub39,
Pueblo,104,711,100,Tub39,
Pueblo,104,712,100,Tub39,
Pueblo,104,713,100,Tub39,
Pueblo,104,714,100,Tub39,
Pueblo,104,715,66,Tub39,
Pueblo,104,716,100,Tub39,
Pueblo,104,717,100,Tub39,
Pueblo,104,718,100,Tub39,
Pueblo,104,719,72,Tub39,
Pueblo,104,720,100,Tub39,
Pueblo,104,721,68,Tub39,
Pueblo,104,722,100,Tub39,
Pueblo,104,723,100,Tub41,
Pueblo,104,724,100,Tub41,
Pueblo,104,725,100,Tub41,
Pueblo,104,726,100,Tub41,
Pueblo,104,727,100,Tub41,
Pueblo,104,728,100,Tub41,
Pueblo,104,729,100,Tub41,
Pueblo,104,730,100,Tub41,
Pueblo,104,731,100,Tub41,
Pueblo,104,732,100,Tub41,
Pueblo,104,733,98,Tub41,
Pueblo,104,734,10,Tub41,
Pueblo,104,735,100,Tub41,
Pueblo,104,736,100,Tub41,
Pueblo,104,737,100,Tub41,
Pueblo,104,738,100,Tub41,
Pueblo,104,739,100,Tub41,
Pueblo,104,740,100,Tub41,
Pueblo,104,741,100,Tub41,
Pueblo,104,742,100,Tub41,
Pueblo,104,743,100,Tub43,
Pueblo,104,744,100,Tub43,
Pueblo,104,745,100,Tub43,
Pueblo,104,746,100,Tub43,
Pueblo,104,747,100,Tub43,
Pueblo,104,748,100,Tub43,
Pueblo,104,749,100,Tub43,
Pueblo,104,750,100,Tub43,
Pueblo,104,751,98,Tub43,
Pueblo,104,752,100,Tub43,
Pueblo,104,753,6,Tub43,
Pueblo,104,754,100,Tub43,
Pueblo,104,755,100,Tub43,
Pueblo,104,756,100,Tub43,
Pueblo,104,757,100,Tub43,
Pueblo,104,758,100,Tub43,
Pueblo,104,759,98,Tub43,
Pueblo,104,760,100,Tub43,
Pueblo,104,761,12,Tub43,
Pueblo,104,762,52,Tub43,
Pueblo,104,763,84,Tub43,
Pueblo,104,764,62,Tub43,
Pueblo,104,765,100,Tub45,
Pueblo,104,766,98,Tub45,
Pueblo,104,767,100,Tub45,
Pueblo,104,768,98,Tub45,
Pueblo,104,769,100,Tub45,
Pueblo,104,770,100,Tub45,
Pueblo,104,771,100,Tub45,
Pueblo,104,772,100,Tub45,
Pueblo,104,773,100,Tub45,
Pueblo,104,774,100,Tub45,
Pueblo,104,775,100,Tub45,
Pueblo,104,776,100,Tub45,
Pueblo,104,777,100,Tub45,
Pueblo,104,778,100,Tub45,
Pueblo,104,779,100,Tub45,
Pueblo,104,780,100,Tub45,
Pueblo,104,781,100,Tub45,
Pueblo,104,782,100,Tub45,
Pueblo,104,783,100,Tub45,
Pueblo,104,784,100,Tub45,
Pueblo,104,785,64,Tub45,
Pueblo,104,786,100,Tub47,
Pueblo,104,787,100,Tub47,
Pueblo,104,788,100,Tub47,
Pueblo,104,789,100,Tub47,
Pueblo,104,790,100,Tub47,
Pueblo,104,791,98,Tub47,
Pueblo,104,792,100,Tub47,
Pueblo,104,793,100,Tub47,
Pueblo,104,794,100,Tub47,
Pueblo,104,795,100,Tub47,
Pueblo,104,796,100,Tub47,
Pueblo,104,797,100,Tub47,
Pueblo,104,798,100,Tub47,
Pueblo,104,799,100,Tub47,
Pueblo,104,800,100,Tub47,
Pueblo,104,801,100,Tub47,
Pueblo,104,802,100,Tub47,
Pueblo,104,803,100,Tub47,
Pueblo,104,804,100,Tub47,
Pueblo,104,805,100,Tub47,
Pueblo,104,806,100,Tub49,
Pueblo,104,807,100,Tub49,
Pueblo,104,808,100,Tub49,
Pueblo,104,809,100,Tub49,
Pueblo,104,810,100,Tub49,
Pueblo,104,811,100,Tub49,
Pueblo,104,812,100,Tub49,
Pueblo,104,813,100,Tub49,
Pueblo,104,814,100,Tub49,
Pueblo,104,815,100,Tub49,
Pueblo,104,816,100,Tub49,
Pueblo,104,817,100,Tub49,
Pueblo,104,818,100,Tub49,
Pueblo,104,819,100,Tub49,
Pueblo,104,820,100,Tub49,
Pueblo,104,821,100,Tub49,
Pueblo,104,822,100,Tub49,
Pueblo,104,823,100,Tub49,
Pueblo,104,824,100,Tub49,
Pueblo,104,825,100,Tub49,
Pueblo,104,826,100,Tub51,
Pueblo,104,827,100,Tub51,
Pueblo,104,828,100,Tub51,
Pueblo,104,829,100,Tub51,
Pueblo,104,830,100,Tub51,
Pueblo,104,831,100,Tub51,
Pueblo,104,832,100,Tub51,
Pueblo,104,833,100,Tub51,
Pueblo,104,834,100,Tub51,
Pueblo,104,835,100,Tub51,
Pueblo,104,836,100,Tub51,
Pueblo,104,837,100,Tub51,
Pueblo,104,838,100,Tub51,
Pueblo,104,839,100,Tub51,
Pueblo,104,840,100,Tub51,
Pueblo,104,841,100,Tub51,
Pueblo,104,842,100,Tub51,
Pueblo,104,843,100,Tub51,
Pueblo,104,844,100,Tub51,
Pueblo,104,845,100,Tub51,
Pueblo,104,846,100,Tub53,
Pueblo,104,847,100,Tub53,
Pueblo,104,848,100,Tub53,
Pueblo,104,849,100,Tub53,
Pueblo,104,850,100,Tub53,
Pueblo,104,851,100,Tub53,
Pueblo,104,852,100,Tub53,
Pueblo,104,853,100,Tub53,
Pueblo,104,854,100,Tub53,
Pueblo,104,855,100,Tub53,
Pueblo,104,856,100,Tub53,
Pueblo,104,857,100,Tub53,
Pueblo,104,858,100,Tub53,
Pueblo,104,859,100,Tub53,
Pueblo,104,860,100,Tub53,
Pueblo,104,861,100,Tub53,
Pueblo,104,862,100,Tub53,
Pueblo,104,863,100,Tub53,
Pueblo,104,864,100,Tub53,
Pueblo,104,865,98,Tub53,
Pueblo,104,866,100,Tub55,
Pueblo,104,867,100,Tub55,
Pueblo,104,868,100,Tub55,
Pueblo,104,869,100,Tub55,
Pueblo,104,870,100,Tub55,
Pueblo,104,871,100,Tub55,
Pueblo,104,872,78,Tub55,
Pueblo,104,873,100,Tub55,
Pueblo,104,874,100,Tub55,
Pueblo,104,875,102,Tub55,
Pueblo,104,876,100,Tub55,
Pueblo,104,877,100,Tub55,
Pueblo,104,878,100,Tub55,
Pueblo,104,879,98,Tub55,
Pueblo,104,880,100,Tub55,
Pueblo,104,881,98,Tub55,
Pueblo,104,882,100,Tub55,
Pueblo,104,883,100,Tub55,
Pueblo,104,884,100,Tub55,
Pueblo,104,885,100,Tub55,
Pueblo,104,886,100,Tub57,
Pueblo,104,887,100,Tub57,
Pueblo,104,888,100,Tub57,
Pueblo,104,889,100,Tub57,
Pueblo,104,890,100,Tub57,
Pueblo,104,891,100,Tub57,
Pueblo,104,892,98,Tub57,
Pueblo,104,893,100,Tub57,
Pueblo,104,894,100,Tub57,
Pueblo,104,895,96,Tub57,
Pueblo,104,896,100,Tub57,
Pueblo,104,897,100,Tub57,
Pueblo,104,898,100,Tub57,
Pueblo,104,899,100,Tub57,
Pueblo,104,900,100,Tub57,
Pueblo,104,901,100,Tub57,
Pueblo,104,902,100,Tub57,
Pueblo,104,903,100,Tub57,
Pueblo,104,904,100,Tub57,
Pueblo,104,905,100,Tub57,
Pueblo,104,906,2,Tub57,
Pueblo,104,907,4,Tub57,
Pueblo,104,908,2,Tub57,
Pueblo,104,909,2,Tub57,
Pueblo,104,910,2,Tub57,
Pueblo,104,911,100,Tub59,
Pueblo,104,912,72,Tub59,
Pueblo,104,913,100,Tub59,
Pueblo,104,914,100,Tub59,
Pueblo,104,915,100,Tub59,
Pueblo,104,916,100,Tub59,
Pueblo,104,917,100,Tub59,
Pueblo,104,918,100,Tub59,
Pueblo,104,919,100,Tub59,
Pueblo,104,920,100,Tub59,
Pueblo,104,921,100,Tub59,
Pueblo,104,922,100,Tub59,
Pueblo,104,923,100,Tub59,
Pueblo,104,924,100,Tub59,
Pueblo,104,925,100,Tub59,
Pueblo,104,926,100,Tub59,
Pueblo,104,927,100,Tub59,
Pueblo,104,928,100,Tub59,
Pueblo,104,929,100,Tub59,
Pueblo,104,930,100,Tub59,
Pueblo,104,931,100,Tub61,
Pueblo,104,932,100,Tub61,
Pueblo,104,933,100,Tub61,
Pueblo,104,934,100,Tub61,
Pueblo,104,935,100,Tub61,
Pueblo,104,936,100,Tub61,
Pueblo,104,937,100,Tub61,
Pueblo,104,938,100,Tub61,
Pueblo,104,939,100,Tub61,
Pueblo,104,940,100,Tub61,
Pueblo,104,941,100,Tub61,
Pueblo,104,942,100,Tub61,
Pueblo,104,943,100,Tub61,
Pueblo,104,944,100,Tub61,
Pueblo,104,945,100,Tub61,
Pueblo,104,946,100,Tub61,
Pueblo,104,947,100,Tub61,
Pueblo,104,948,100,Tub61,
Pueblo,104,949,100,Tub61,
Pueblo,104,950,100,Tub61,
Pueblo,104,951,100,Tub61,
Pueblo,104,952,100,Tub61,
Pueblo,104,953,100,Tub61,
Pueblo,104,954,100,Tub61,
Pueblo,104,955,100,Tub61,
Pueblo,104,956,60,Tub61,
Pueblo,104,957,70,Tub61,
Pueblo,104,958,98,Tub61,
Pueblo,204,1,100,Tub 20,
Pueblo,204,2,70,Tub 20,
Pueblo,204,3,100,Tub 20,
Pueblo,204,4,98,Tub 20,
Pueblo,204,5,100,Tub 20,
Pueblo,204,6,100,Tub 20,
Pueblo,204,7,100,Tub 20,
Pueblo,204,8,100,Tub 20,
Pueblo,204,9,100,Tub 20,
Pueblo,204,10,100,Tub 20,
Pueblo,204,11,100,Tub 20,
Pueblo,204,12,100,Tub 20,
Pueblo,204,13,100,Tub 20,
Pueblo,204,14,100,Tub 20,
Pueblo,204,15,100,Tub 20,
Pueblo,204,16,100,Tub 20,
Pueblo,204,17,100,Tub 20,
Pueblo,204,18,100,Tub 20,
Pueblo,204,19,100,Tub 20,
Pueblo,204,20,100,Tub 20,
Pueblo,204,21,100,Tub 22,
Pueblo,204,22,100,Tub 22,
Pueblo,204,23,100,Tub 22,
Pueblo,204,24,100,Tub 22,
Pueblo,204,25,100,Tub 22,
Pueblo,204,26,100,Tub 22,
Pueblo,204,27,100,Tub 22,
Pueblo,204,28,100,Tub 22,
Pueblo,204,29,100,Tub 22,
Pueblo,204,30,100,Tub 22,
Pueblo,204,31,100,Tub 22,
