County,Tabulator ID,Batch,# of Ballots,Location
Lake,103,96,10,Grey 1
Lake,103,97,10,Grey 1
Lake,103,98,10,Grey 1
Lake,103,99,10,Grey 1
Lake,103,100,10,Grey 1
Lake,103,101,10,Grey 1
Lake,103,102,10,Grey 1
Lake,103,103,10,Grey 1
Lake,103,104,10,Grey 1
Lake,103,105,10,Grey 1
Lake,103,106,10,Grey 1
Lake,103,107,10,Grey 1
Lake,103,108,10,Grey 1
Lake,103,109,10,Grey 1
Lake,103,110,10,Grey 1
Lake,103,111,11,Grey 1
Lake,103,112,11,Grey 1
Lake,103,113,10,Grey 1
Lake,103,114,10,Grey 1
Lake,103,115,10,Grey 1
Lake,103,116,10,Grey 1
Lake,103,117,10,Grey 1
Lake,103,118,10,Grey 1
Lake,103,119,10,Grey 1
Lake,103,120,10,Grey 1
Lake,103,121,10,Grey 1
Lake,103,122,10,Grey 1
Lake,103,123,10,Grey 1
Lake,103,124,10,Grey 1
Lake,103,125,10,Grey 1
Lake,103,126,10,Grey 1
Lake,103,127,10,Grey 1
Lake,103,128,10,Grey 1
Lake,103,129,10,Grey 1
Lake,103,130,10,Grey 1
Lake,103,131,10,Grey 1
Lake,103,132,10,Grey 1
Lake,103,133,8,Grey 1
Lake,103,134,10,Red 7
Lake,103,135,10,Red 7
Lake,103,136,10,Red 7
Lake,103,137,10,Red 7
Lake,103,138,10,Red 7
Lake,103,139,10,Red 7
Lake,103,140,10,Red 7
Lake,103,141,10,Red 7
Lake,103,142,10,Red 7
Lake,103,143,10,Red 7
Lake,103,144,10,Red 7
Lake,103,145,10,Red 7
Lake,103,146,10,Red 7
Lake,103,147,10,Red 7
Lake,103,148,10,Red 7
Lake,103,149,10,Red 7
Lake,103,150,10,Red 7
Lake,103,151,10,Red 7
Lake,103,152,10,Red 7
Lake,103,153,10,Red 7
Lake,103,154,10,Red 7
Lake,103,155,10,Red 7
Lake,103,156,10,Red 7
Lake,103,157,10,Red 7
Lake,103,158,10,Red 7
Lake,103,159,10,Red 7
Lake,103,160,10,Red 7
Lake,103,161,10,Red 7
Lake,103,162,10,Red 7
Lake,103,163,10,Red 7
Lake,103,164,10,Red 7
Lake,103,165,6,Red 7
Lake,103,166,10,Red 7
Lake,103,167,10,Red 7
Lake,103,168,10,Red 7
Lake,103,169,10,Red 7
Lake,103,170,10,Red 7
Lake,103,171,10,Red 7
Lake,103,172,10,Red 7
Lake,103,173,10,Red 7
Lake,103,174,10,Red 7
Lake,103,175,10,Red 7
Lake,103,176,10,Red 7
Lake,103,177,10,Red 7
Lake,103,178,10,Red 7
Lake,103,179,10,Red 7
Lake,103,180,10,Red 7
Lake,103,181,10,Red 7
Lake,103,182,10,Red 7
Lake,103,183,10,Red 7
Lake,103,184,10,Red 7
Lake,103,185,10,Red 7
Lake,103,186,10,Red 7
Lake,103,187,10,Red 7
Lake,103,188,10,Red 7
Lake,103,189,10,Red 7
Lake,103,190,10,Red 7
Lake,103,191,10,Red 7
Lake,103,192,10,Red 7
Lake,103,193,10,Red 7
Lake,103,194,10,Red 7
Lake,103,195,10,Red 7
Lake,103,196,10,Red 7
Lake,103,197,10,Red 7
Lake,103,198,10,Red 7
Lake,103,199,10,Red 7
Lake,103,200,10,Red 7
Lake,103,201,10,Red 7
Lake,103,202,10,Red 7
Lake,103,203,10,Red 7
Lake,103,204,10,Blue8
Lake,103,205,10,Blue8
Lake,103,206,10,Blue8
Lake,103,207,10,Blue8
Lake,103,208,10,Blue8
Lake,103,209,10,Blue8
Lake,103,210,10,Blue8
Lake,103,211,10,Blue8
Lake,103,212,10,Blue8
Lake,103,213,10,Blue8
Lake,103,214,10,Blue8
Lake,103,215,10,Blue8
Lake,103,216,10,Blue8
Lake,103,217,10,Blue8
Lake,103,218,10,Blue8
Lake,103,219,10,Blue8
Lake,103,220,10,Blue8
Lake,103,221,10,Blue8
Lake,103,222,10,Blue8
Lake,103,223,10,Blue8
Lake,103,224,10,Blue8
Lake,103,225,10,Blue8
Lake,103,226,10,Blue8
Lake,103,227,10,Blue8
Lake,103,228,10,Blue8
Lake,103,229,10,Blue8
Lake,103,230,10,Blue8
Lake,103,231,10,Blue8
Lake,103,232,10,Blue8
Lake,103,233,10,Blue8
Lake,103,234,10,Blue8
Lake,103,235,10,Blue8
Lake,103,236,10,Blue8
Lake,103,237,10,Blue8
Lake,103,238,10,Blue8
Lake,103,239,10,Blue8
Lake,103,240,10,Blue8
Lake,103,241,10,Blue8
Lake,103,242,10,Blue8
Lake,103,243,10,Blue8
Lake,103,244,10,Blue8
Lake,103,245,10,Blue8
Lake,103,246,10,Blue8
Lake,103,247,10,Blue8
Lake,103,248,10,Blue8
Lake,103,249,10,Blue8
Lake,103,250,10,Blue8
Lake,103,251,10,Blue8
Lake,103,252,10,Blue8
Lake,103,253,10,Blue8
Lake,103,254,10,Blue8
Lake,103,255,10,Blue8
Lake,103,256,10,Blue8
Lake,103,257,10,Blue8
Lake,103,258,10,Blue8
Lake,103,259,10,Blue8
Lake,103,260,10,Blue 8
Lake,103,261,10,Blue 8
Lake,103,262,10,Blue 8
Lake,103,263,10,Blue 8
Lake,103,264,10,Blue 8
Lake,103,265,10,Blue 8
Lake,103,266,10,Blue 8
Lake,103,267,10,Blue 8
Lake,103,268,10,Blue 8
Lake,103,269,10,Blue 8
Lake,103,270,10,Blue 8
Lake,103,271,10,Blue 8
Lake,103,272,10,Blue 8
Lake,103,273,10,Blue 8
Lake,103,274,10,Blue 8
Lake,103,275,5,Blue 8
Lake,103,276,25,Red 6
Lake,103,277,25,Red 6
Lake,103,278,25,Red 6
Lake,103,279,25,Red 6
Lake,103,280,25,Red 6
Lake,103,281,25,Red 6
Lake,103,282,25,Red 6
Lake,103,283,25,Red 6
Lake,103,284,25,Red 6
Lake,103,285,25,Red 6
Lake,103,286,25,Red 6
Lake,103,287,9,Red 6
Lake,103,288,9,Red 6
Lake,103,289,8,Red 6
Lake,103,290,4,Red 6
