Otero,Tabulator,Batch,# of Ballots,Location
Otero,103,129,24,16
Otero,103,130,25,16
Otero,103,131,24,16
Otero,103,132,25,16
Otero,103,133,25,16
Otero,103,134,25,16
Otero,103,135,25,16
Otero,103,136,25,16
Otero,103,137,24,16
Otero,103,138,25,16
Otero,103,139,25,16
Otero,103,140,25,16
Otero,103,141,25,16
Otero,103,142,25,16
Otero,103,143,25,16
Otero,103,144,25,16
Otero,103,145,25,16
Otero,103,146,25,16
Otero,103,147,25,16
Otero,103,148,25,16
Otero,103,149,25,16
Otero,103,150,25,16
Otero,103,151,25,16
Otero,103,152,25,4
Otero,103,153,25,4
Otero,103,154,25,4
Otero,103,155,25,4
Otero,103,156,25,4
Otero,103,157,25,4
Otero,103,158,25,4
Otero,103,159,25,4
Otero,103,160,25,4
Otero,103,161,25,4
Otero,103,162,25,4
Otero,103,163,25,4
Otero,103,164,25,4
Otero,103,165,25,4
Otero,103,166,25,4
Otero,103,167,25,4
Otero,103,168,25,4
Otero,103,169,24,4
Otero,103,170,25,4
Otero,103,171,25,4
Otero,103,172,25,4
Otero,103,173,25,4
Otero,103,174,25,4
Otero,103,175,24,4
Otero,103,176,25,4
Otero,103,177,25,4
Otero,103,178,25,4
Otero,103,179,25,4
Otero,103,180,24,4
Otero,103,181,22,5
Otero,103,182,24,5
Otero,103,183,25,5
Otero,103,184,25,5
Otero,103,185,25,5
Otero,103,186,25,5
Otero,103,187,7,5
Otero,203,1,25,1
Otero,203,2,25,1
Otero,203,3,25,1
Otero,203,4,25,1
Otero,203,5,25,1
Otero,203,6,25,1
Otero,203,7,25,1
Otero,203,8,25,1
Otero,203,9,25,1
Otero,203,10,25,1
Otero,203,11,25,1
Otero,203,12,25,1
Otero,203,13,25,1
Otero,203,14,25,1
Otero,203,15,25,1
Otero,203,16,25,1
Otero,203,17,25,1
Otero,203,18,25,1
Otero,203,19,25,1
Otero,203,20,25,1
Otero,203,21,25,1
Otero,203,22,25,1
Otero,203,23,25,1
Otero,203,24,25,1
Otero,203,25,25,1
Otero,203,26,25,1
Otero,203,27,25,1
Otero,203,28,25,1
Otero,203,29,25,1
Otero,203,30,25,1
Otero,203,31,25,1
Otero,203,32,25,1
Otero,203,33,25,1
Otero,203,34,25,1
Otero,203,35,25,1
Otero,203,36,25,1
Otero,203,37,25,1
Otero,203,38,25,2
Otero,203,39,25,2
Otero,203,40,25,2
Otero,203,41,25,2
Otero,203,42,25,2
Otero,203,43,25,2
Otero,203,44,25,2
Otero,203,45,25,2
Otero,203,46,25,2
Otero,203,47,25,2
Otero,203,48,25,2
Otero,203,49,24,2
Otero,203,50,25,2
Otero,203,51,25,2
Otero,203,52,25,2
Otero,203,53,25,2
Otero,203,54,25,2
Otero,203,55,25,2
Otero,203,56,25,2
Otero,203,57,25,2
Otero,203,58,25,2
Otero,203,59,25,2
Otero,203,60,25,2
Otero,203,61,24,2
Otero,203,62,25,2
Otero,203,63,25,2
Otero,203,64,25,2
Otero,203,65,25,2
Otero,203,66,25,2
Otero,203,67,25,2
Otero,203,68,25,2
Otero,203,69,25,2
Otero,203,70,25,2
Otero,203,71,25,14
Otero,203,72,22,14
Otero,203,73,23,14
Otero,203,74,25,14
Otero,203,75,24,14
Otero,203,76,25,14
Otero,203,77,25,14
Otero,203,78,25,14
Otero,203,79,25,14
Otero,203,80,25,14
Otero,203,81,25,14
Otero,203,82,25,14
Otero,203,83,25,14
Otero,203,84,25,14
Otero,203,85,25,14
Otero,203,86,25,14
Otero,203,87,25,14
Otero,203,88,24,14
Otero,203,89,25,14
Otero,203,90,25,14
Otero,203,91,25,14
Otero,203,92,25,14
Otero,203,93,24,14
Otero,203,94,26,14
Otero,203,95,25,14
Otero,203,96,25,14
Otero,203,97,25,14
Otero,203,98,25,14
Otero,203,99,25,14
Otero,203,100,25,14
Otero,203,101,25,14
Otero,203,102,25,14
Otero,203,103,25,14
Otero,203,104,25,14
Otero,203,105,15,14
Otero,203,106,25,14
Otero,203,107,25,14
Otero,203,108,25,14
Otero,203,109,25,14
