county,contest,record_type,cvr_number,imprinted_id,raw_vote,valid_interpretation
Larimer,City of Fort Collins Mayor,UPLOADED,90340,109-114-25,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Adam Eggleston(3)"",""Jeffrey Shumway(4)"",""Shirley Peel(5)"",""Emily Francis(6)"",""Adam Hirschhorn(7)""","""Tricia Canonico"",""Emily Francis"",""Adam Eggleston"",""Jeffrey Shumway"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,90341,109-114-69,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Scotty V VanTatenhove(3)"",""Shirley Peel(5)"",""Adam Hirschhorn(6)"",""Adam Eggleston(7)""","""Emily Francis"",""Tricia Canonico"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,90342,109-114-86,"""Emily Francis(1)"",""Jeffrey Shumway(2)"",""Scotty V VanTatenhove(3)"",""Shirley Peel(4)"",""Tricia Canonico(5)"",""Emily Francis(6)"",""Adam Hirschhorn(7)""","""Emily Francis"",""Jeffrey Shumway"",""Scotty V VanTatenhove"",""Shirley Peel"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,90897,105-144-30,"""Shirley Peel(1)"",""Adam Eggleston(3)"",""Tricia Canonico(4)"",""Emily Francis(5)"",""Shirley Peel(5)"",""Jeffrey Shumway(6)"",""Scotty V VanTatenhove(7)""","""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,90899,105-144-33,"""Emily Francis(1)"",""Adam Hirschhorn(2)"",""Scotty V VanTatenhove(3)"",""Tricia Canonico(4)"",""Adam Hirschhorn(5)"",""Adam Eggleston(6)"",""Jeffrey Shumway(7)""","""Emily Francis"",""Adam Hirschhorn"",""Scotty V VanTatenhove"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,90900,105-144-25,"""Shirley Peel(1)"",""Shirley Peel(2)"",""Shirley Peel(3)"",""Shirley Peel(4)""","""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,90901,105-144-18,"""Emily Francis(1)"",""Shirley Peel(2)"",""Scotty V VanTatenhove(7)""","""Emily Francis"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,91296,110-111-49,"""Jeffrey Shumway(1)"",""Jeffrey Shumway(2)"",""Jeffrey Shumway(3)"",""Jeffrey Shumway(4)"",""Jeffrey Shumway(5)"",""Jeffrey Shumway(6)"",""Jeffrey Shumway(7)""","""Jeffrey Shumway"""
Larimer,City of Fort Collins Mayor,UPLOADED,91297,110-111-79,"""Shirley Peel(1)"",""Jeffrey Shumway(2)"",""Tricia Canonico(3)"",""Emily Francis(4)"",""Adam Hirschhorn(5)"",""Jeffrey Shumway(6)"",""Adam Eggleston(7)""","""Shirley Peel"",""Jeffrey Shumway"",""Tricia Canonico"",""Emily Francis"",""Adam Hirschhorn"""
Larimer,City of Fort Collins Councilmember - District 1,UPLOADED,91298,110-111-19,"""Chris Conway(3)""",""
